CONTROL_NUMBER,DONATED,CLUSTER_CODE,CARD_PROM_12,MONTHS_SINCE_FIRST_GIFT,LAST_GIFT_AMT,PCT_ATTRIBUTE1,NUMBER_PROM_12,MOR_HIT_RATE,INCOME_GROUP,RECENT_RESPONSE_COUNT,MONTHS_SINCE_ORIGIN,PUBLISHED_PHONE,LIFETIME_MAX_GIFT_AMT,RECENCY_STATUS_96NK,FILE_CARD_GIFT,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_PROP,PCT_OWNER_OCCUPIED,FREQUENCY_STATUS_97NK
78253,0,10,6,75,8.0,0,13,10,2.0,6,77,1,10.0,S,5,15.0,0.3,30,3
24311,1,42,5,105,16.0,0,11,0,,2,113,0,17.0,A,7,24.0,0.111,61,1
44060,1,28,5,68,30.0,0,10,0,,2,77,0,50.0,A,2,26.0,0.095,77,1
40921,0,24,4,29,20.0,0,11,0,,2,29,0,20.0,A,1,18.0,0.25,60,1
152714,0,12,6,38,25.0,1,13,0,5.0,2,41,0,25.0,A,0,17.0,0.095,89,1
141223,0,17,6,57,25.0,0,13,0,,2,65,0,25.0,A,3,23.0,0.111,54,1
81823,1,48,4,24,25.0,0,10,0,,1,29,0,25.0,N,1,24.0,0.1,70,1
39168,0,29,5,52,5.0,0,11,3,6.0,3,53,1,10.0,A,4,17.0,0.167,83,3
48878,0,51,6,77,10.0,0,14,0,,10,77,0,12.0,S,12,18.0,0.476,86,4
55787,0,31,5,76,20.0,12,14,0,,1,77,0,20.0,A,2,15.0,0.056,45,1
172278,0, .,4,32,15.0,0,10,0,4.0,2,29,1,15.0,A,0,18.0,0.154,78,1
129174,1, .,6,33,15.0,0,15,0,3.0,5,29,0,15.0,A,4,17.0,0.313,77,4
20751,0,28,4,104,13.0,0,11,0,4.0,6,113,0,15.0,A,8,17.0,0.375,84,4
82212,0,36,5,88,3.0,0,11,17,2.0,7,89,1,6.0,S,9,15.0,0.389,73,4
156877,0,03,4,31,20.0,2,10,13,1.0,1,29,1,20.0,A,0,18.0,0.083,94,1
56831,1,14,6,45,15.0,0,14,1,7.0,2,41,1,15.0,A,3,17.0,0.095,98,1
28392,0,14,4,21,20.0,0,10,0,7.0,1,17,0,20.0,F,1,21.0,0.143,95,1
136245,0,12,5,73,15.0,2,12,0,4.0,3,77,0,20.0,A,3,15.0,0.15,78,1
100728,0,16,6,110,10.0,0,13,0,1.0,4,113,0,10.0,S,19,17.0,0.211,79,3
49614,0,50,2,42,15.0,1,8,0,1.0,2,41,1,15.0,E,1,15.0,0.154,82,1
87417,0,43,5,75,25.0,0,11,0,2.0,4,77,0,25.0,A,7,27.0,0.182,70,1
187764,1, .,1,53,25.0,0,5,0,,2,53,1,25.0,E,2,18.0,0.25,99,1
170643,0,07,4,44,15.0,2,12,0,1.0,1,41,1,15.0,A,1,18.0,0.059,73,1
137842,0,27,6,44,15.0,22,13,0,2.0,3,41,1,20.0,A,3,22.0,0.143,55,1
185771,0,43,9,80,50.0,2,22,1,7.0,2,89,1,50.0,A,6,21.0,0.111,89,1
152281,0,18,5,44,25.0,0,10,1,7.0,1,41,1,25.0,A,1,26.0,0.063,86,1
138308,0,13,6,65,10.0,0,11,2,7.0,6,65,1,15.0,A,5,24.0,0.273,91,3
96273,0,31,6,41,15.0,0,13,0,,3,41,0,20.0,A,2,18.0,0.136,11,1
14808,0, .,5,122,9.0,0,12,0,,6,137,0,12.0,S,14,15.0,0.3,79,3
80958,0,44,5,127,25.0,0,12,7,7.0,1,137,1,26.0,A,14,15.0,0.056,87,1
11201,0,50,7,105,10.0,0,31,0,2.0,6,113,1,12.0,S,16,16.0,0.316,70,4
1350,0,35,6,65,25.0,2,15,7,5.0,1,65,1,33.0,A,2,18.0,0.053,89,1
181581,0,35,4,24,25.0,4,9,8,5.0,1,29,1,25.0,N,1,24.0,0.1,77,1
89512,0,25,3,15,20.0,0,8,0,2.0,1,17,0,20.0,E,1,15.0,0.5,42,1
123862,1,22,5,36,4.0,1,10,0,5.0,4,41,0,6.0,A,2,15.0,0.235,40,4
66059,0,40,3,26,20.0,0,8,0,4.0,1,29,0,20.0,N,0,26.0,0.077,78,1
128806,0,11,5,41,20.0,3,10,4,5.0,2,41,1,20.0,A,1,26.0,0.091,66,1
59368,0,44,4,52,20.0,0,12,0,,2,53,1,20.0,F,1,19.0,0.111,82,1
169760,0,24,2,124,12.0,0,5,0,,2,125,0,15.0,A,7,26.0,0.133,72,1
84840,1,24,5,101,14.0,0,13,1,7.0,2,101,1,14.0,A,9,16.0,0.105,83,1
110789,1,47,6,123,15.0,0,13,0,4.0,3,137,0,15.0,S,7,18.0,0.136,64,2
92147,0,24,6,23,12.0,0,14,3,5.0,3,29,1,12.0,N,3,16.0,0.273,78,3
85400,0,38,5,113,3.0,1,9,0,4.0,6,113,1,7.0,S,10,23.0,0.333,65,3
167165,1,03,6,57,17.0,0,12,5,5.0,3,65,1,17.0,A,5,20.0,0.158,43,2
178433,1,11,6,113,30.0,0,15,13,6.0,1,113,0,30.0,A,2,17.0,0.067,70,1
128451,0,23,5,17,10.0,0,13,19,7.0,2,17,1,10.0,N,1,16.0,0.5,76,3
27041,0,43,6,130,20.0,0,13,0,,4,137,0,27.0,A,11,21.0,0.19,79,3
144671,0,08,6,102,33.0,0,14,0,2.0,4,101,0,33.0,S,6,19.0,0.2,70,2
44020,0,21,4,28,20.0,0,10,9,4.0,1,29,1,20.0,A,0,28.0,0.077,74,1
171588,0,35,4,112,15.0,0,11,2,7.0,1,113,1,25.0,A,6,18.0,0.067,93,1
5510,1, .,10,128,15.0,0,29,0,,8,137,0,19.0,A,14,17.0,0.4,39,1
27366,1,44,6,128,11.0,0,16,19,3.0,4,137,1,12.0,S,14,17.0,0.25,86,2
121654,1,24,6,63,15.0,0,13,1,5.0,1,65,1,15.0,A,4,18.0,0.05,92,1
141483,0,03,6,69,30.0,1,13,0,,3,77,0,30.0,S,8,18.0,0.143,66,3
156437,1,07,4,16,15.0,0,11,22,4.0,1,17,1,15.0,F,1,16.0,0.2,29,1
92620,0,13,5,21,16.0,0,11,0,6.0,2,17,0,16.0,N,1,15.0,0.286,87,2
149959,0,21,6,115,19.0,0,14,0,1.0,6,137,1,20.0,S,13,19.0,0.316,63,3
142830,0,01,5,17,25.0,0,11,0,,1,17,0,25.0,F,1,17.0,0.25,31,1
104413,1,49,6,77,6.0,0,12,0,5.0,5,77,0,7.0,A,2,18.0,0.263,61,4
29499,0,39,4,128,15.0,0,10,0,5.0,2,137,1,15.0,A,11,23.0,0.1,72,1
59584,0,37,3,130,5.0,2,8,0,,2,137,1,7.0,A,9,15.0,0.2,77,3
40956,1,37,2,15,15.0,1,7,0,2.0,1,17,0,15.0,E,0,15.0,0.5,86,1
123940,0,51,4,20,5.0,0,12,0,5.0,2,17,0,10.0,F,1,15.0,0.333,88,3
70814,0,45,6,44,21.0,0,13,5,4.0,2,41,1,21.0,A,1,18.0,0.1,92,1
31905,0,12,6,33,10.0,7,12,0,,4,29,0,10.0,S,2,16.0,0.222,88,3
22492,0,42,6,103,20.0,0,12,5,6.0,2,113,1,20.0,A,10,23.0,0.095,93,1
62665,0,36,6,65,15.0,0,13,24,4.0,2,65,0,18.0,A,3,18.0,0.1,66,1
103468,1,36,6,91,15.0,1,13,11,2.0,2,101,1,15.0,A,5,18.0,0.095,79,1
164246,1,02,6,128,13.0,3,13,3,6.0,3,137,1,14.0,A,12,20.0,0.143,71,1
139940,0,34,5,42,5.0,0,12,24,4.0,2,41,1,15.0,A,2,15.0,0.105,71,2
77700,0,44,6,33,8.0,0,13,0,2.0,5,29,1,10.0,S,4,21.0,0.333,83,3
144445,0,07,6,64,25.0,0,13,10,3.0,2,65,0,25.0,A,3,18.0,0.1,61,1
107560,0,41,3,23,20.0,0,8,0,,1,29,0,20.0,N,1,23.0,0.143,54,1
111597,0,32,5,20,15.0,0,13,0,2.0,2,17,0,15.0,N,1,15.0,0.333,64,3
13806,1,45,10,158,7.0,0,29,0,,8,101,0,8.0,S,13,12.0,0.444,76,3
7330,1,38,7,128,5.0,0,32,14,6.0,8,137,1,6.0,S,24,17.0,0.4,19,4
97838,0,43,6,29,10.0,0,12,0,2.0,3,29,0,20.0,A,3,22.0,0.214,88,2
35346,0,27,6,32,15.0,0,13,6,4.0,3,29,1,16.0,A,1,19.0,0.167,86,2
58203,1,51,4,32,7.0,0,7,0,2.0,6,29,0,7.0,A,3,18.0,0.375,79,4
7583,0,25,5,122,20.0,16,20,0,2.0,1,137,0,25.0,A,8,31.0,0.05,17,1
51204,0,42,4,40,16.0,1,10,8,5.0,2,41,0,16.0,A,2,25.0,0.111,90,1
104283,0,44,5,28,20.0,0,10,1,3.0,1,29,1,20.0,A,0,28.0,0.071,84,1
43981,0,18,4,17,15.0,0,10,0,4.0,1,17,0,15.0,F,1,17.0,0.2,81,1
93824,1,07,5,126,10.0,0,12,11,1.0,5,137,1,10.0,S,16,16.0,0.25,57,3
77465,0,30,6,53,7.0,0,12,5,5.0,6,53,1,7.0,A,5,15.0,0.316,48,4
85913,1,43,6,111,14.0,0,15,14,4.0,3,113,1,14.0,A,9,16.0,0.15,78,3
62687,0,51,6,69,7.0,0,14,12,4.0,3,77,0,15.0,A,3,15.0,0.176,82,3
124985,0,12,6,69,17.0,12,13,6,5.0,3,77,1,17.0,A,2,18.0,0.158,73,2
27657,0,24,6,32,25.0,0,13,0,,2,29,0,25.0,A,1,26.0,0.118,29,2
168317,1,03,6,68,13.0,0,13,0,5.0,4,77,0,13.0,A,7,19.0,0.19,43,2
114598,0,30,6,110,7.0,0,13,0,1.0,5,113,0,11.0,A,8,18.0,0.278,60,4
147804,0,24,5,17,25.0,1,11,0,7.0,1,17,0,25.0,F,1,17.0,0.2,77,1
65189,1,16,4,90,12.0,0,8,5,2.0,4,101,1,12.0,A,4,16.0,0.267,89,3
141209,1,18,6,40,20.0,0,14,0,,4,41,0,20.0,S,5,20.0,0.19,28,2
172965,0,39,6,32,3.0,0,14,0,1.0,6,29,0,7.0,A,4,16.0,0.375,79,4
78447,1,03,4,130,7.0,0,6,0,,4,137,0,7.0,S,9,17.0,0.5,46,3
62745,0,45,3,23,15.0,0,8,0,,1,29,0,15.0,N,1,23.0,0.143,70,1
41537,1,18,6,44,15.0,0,13,0,,6,41,0,20.0,A,3,17.0,0.333,85,4
190558,1,01,6,120,10.0,1,23,2,1.0,2,137,1,14.0,A,11,30.0,0.095,50,1
92231,0,24,6,68,30.0,0,13,0,7.0,1,77,1,30.0,A,1,18.0,0.063,97,1
125601,0,11,3,22,15.0,0,8,0,5.0,1,29,0,15.0,N,1,22.0,0.143,75,1
105417,0,53,6,127,4.0,0,13,0,2.0,2,137,0,17.0,S,11,21.0,0.1,76,3
123651,0,22,6,53,14.0,3,14,18,7.0,5,53,1,18.0,A,5,18.0,0.25,63,2
151498,0,38,6,126,25.0,1,13,3,2.0,2,125,1,25.0,S,7,19.0,0.167,25,2
130926,1,35,4,41,6.0,0,7,15,3.0,6,41,1,7.0,S,5,21.0,0.316,87,4
14799,0,18,7,125,10.0,0,16,0,4.0,5,125,0,12.0,S,13,20.0,0.25,82,2
160424,1,40,4,87,17.0,0,10,0,5.0,1,89,0,17.0,A,2,18.0,0.071,73,1
89397,0,18,2,113,23.0,0,6,31,4.0,1,113,1,25.0,A,4,17.0,0.2,92,1
21539,1,46,6,113,3.0,0,13,0,3.0,8,113,0,10.0,S,14,18.0,0.421,85,4
16670,0,40,6,44,6.0,0,14,0,,6,41,0,6.0,S,5,17.0,0.3,85,4
69653,0,51,6,64,6.0,0,13,2,2.0,6,65,1,10.0,S,10,17.0,0.333,79,4
82235,0,24,6,57,10.0,0,14,0,4.0,6,65,1,10.0,A,5,18.0,0.273,86,4
77441,1,39,6,23,11.0,1,12,0,2.0,2,29,1,11.0,N,1,17.0,0.25,43,3
34429,1,47,6,87,15.0,0,12,0,2.0,3,89,1,15.0,A,8,15.0,0.15,85,2
101606,0,51,4,65,15.0,0,10,7,2.0,1,65,1,15.0,A,1,20.0,0.25,74,1
87889,0,05,4,29,20.0,0,10,0,4.0,2,29,1,20.0,A,2,21.0,0.167,83,1
166705,0,13,6,29,10.0,2,14,0,,4,29,0,10.0,A,2,18.0,0.308,69,4
154158,1,49,4,30,7.0,0,8,0,2.0,5,29,0,9.0,A,1,15.0,0.385,43,4
143324,0,09,6,45,6.0,0,12,0,1.0,7,41,0,10.0,S,8,21.0,0.368,44,4
36682,0,13,6,39,15.0,0,12,1,6.0,3,41,0,15.0,A,1,20.0,0.158,92,2
180654,0,36,6,43,25.0,0,13,37,1.0,3,41,0,26.0,A,2,29.0,0.143,56,1
77049,0,28,6,28,25.0,0,12,31,4.0,2,29,1,25.0,A,1,24.0,0.143,91,1
69188,0,31,6,77,15.0,0,13,0,2.0,3,77,0,15.0,A,5,19.0,0.136,18,2
32604,0,36,3,75,14.0,0,10,0,2.0,3,77,0,14.0,A,6,16.0,0.188,70,1
169077,0,24,3,23,15.0,0,8,0,3.0,0,29,1,15.0,N,0,,0.0,75,1
6351,1,28,6,125,11.0,0,12,2,5.0,2,125,1,11.0,S,10,17.0,0.111,82,2
162625,0,17,6,123,17.0,3,12,0,,3,137,0,19.0,A,8,22.0,0.143,8,2
142901,1,03,5,29,10.0,0,11,13,2.0,3,29,1,10.0,A,3,15.0,0.25,63,3
34121,0,27,5,105,10.0,12,13,42,5.0,3,113,1,10.0,A,12,22.0,0.158,65,1
129602,1,26,5,93,13.0,2,15,1,4.0,2,101,1,13.0,A,9,16.0,0.111,10,1
93099,0,01,6,32,10.0,0,13,0,5.0,3,29,1,10.0,A,2,20.0,0.214,20,3
50360,0,51,3,121,5.0,0,6,0,5.0,3,137,0,6.0,A,2,16.0,0.231,87,3
146491,0,10,6,29,10.0,1,13,3,2.0,4,29,0,11.0,A,3,17.0,0.308,47,3
105756,0,11,6,88,15.0,1,13,0,6.0,2,89,1,16.0,A,3,19.0,0.095,49,2
67542,0,30,6,92,15.0,0,12,15,1.0,3,101,0,15.0,S,6,22.0,0.167,83,2
25678,1,23,5,88,15.0,0,13,5,5.0,3,89,0,15.0,A,6,16.0,0.167,86,2
113780,0,53,6,29,20.0,1,14,0,,4,29,0,20.0,A,3,18.0,0.308,79,3
150096,0,30,6,32,17.0,0,13,0,4.0,3,29,0,17.0,A,0,18.0,0.188,78,2
54848,0,37,6,129,20.0,0,12,5,5.0,1,137,1,20.0,A,7,25.0,0.048,84,1
29236,0,34,4,65,20.0,0,9,0,,1,65,1,20.0,A,1,26.0,0.091,62,1
121264,0,21,6,52,25.0,0,13,0,,8,53,0,30.0,S,8,20.0,0.364,75,3
39826,0,13,6,113,25.0,0,13,0,7.0,3,113,0,26.0,L,9,17.0,0.167,60,2
79774,0,37,6,32,15.0,0,13,0,3.0,6,29,1,20.0,A,4,17.0,0.429,68,4
6669,0,35,6,124,20.0,0,23,2,7.0,2,125,1,50.0,A,12,19.0,0.091,96,1
186133,0,45,6,125,5.0,0,19,2,7.0,4,125,1,5.0,S,13,17.0,0.211,66,3
156903,1,06,5,68,5.0,0,12,2,2.0,6,77,0,7.0,S,5,15.0,0.545,76,4
125446,1,21,6,128,13.0,4,13,28,5.0,3,137,1,15.0,S,14,21.0,0.15,80,1
31262,0,47,4,29,15.0,0,10,0,,2,29,0,15.0,A,1,18.0,0.167,76,1
101209,0,43,6,128,15.0,0,11,0,,1,137,0,22.0,A,8,25.0,0.048,81,1
60031,0,12,4,17,15.0,0,10,0,5.0,1,17,1,15.0,F,1,17.0,0.2,68,1
95180,0,45,4,17,20.0,0,10,6,5.0,1,17,1,20.0,F,1,17.0,0.2,65,1
61222,0,12,6,63,16.0,0,12,9,6.0,2,65,1,16.0,A,3,21.0,0.111,80,1
95351,1,35,2,124,10.0,0,5,24,4.0,2,125,1,15.0,A,11,30.0,0.125,88,1
47531,1,25,4,65,15.0,1,9,3,5.0,1,65,1,15.0,A,2,26.0,0.053,39,1
173200,0, .,4,119,12.0,0,11,0,3.0,2,137,1,12.0,A,8,19.0,0.118,59,1
100555,0,12,6,63,19.0,1,14,0,7.0,6,65,1,19.0,S,11,21.0,0.333,95,3
106965,0,17,5,90,27.0,0,15,0,7.0,1,101,0,27.0,A,6,17.0,0.091,62,1
150036,0,17,6,130,15.0,0,13,2,4.0,9,137,1,25.0,S,21,15.0,0.429,42,4
3143,0,29,6,17,15.0,0,37,1,3.0,3,17,0,15.0,N,2,14.0,0.75,68,3
111459,1,24,6,62,16.0,0,12,1,7.0,7,65,1,20.0,S,6,22.0,0.318,93,3
171286,0,12,6,53,30.0,0,12,0,4.0,2,53,0,30.0,A,2,24.0,0.143,82,1
67294,0,33,4,30,20.0,0,9,14,2.0,2,29,1,20.0,A,2,24.0,0.154,94,1
77185,0,34,6,66,10.0,0,12,0,3.0,5,77,1,10.0,A,4,19.0,0.263,92,3
182459,0,24,6,36,8.0,0,13,0,,7,41,1,9.0,A,4,19.0,0.368,66,4
50666,0,43,4,40,25.0,0,10,5,4.0,1,41,1,25.0,A,1,26.0,0.063,84,1
160528,0,24,6,33,6.0,0,13,1,5.0,5,29,0,11.0,A,5,16.0,0.278,88,3
15059,0,40,5,130,20.0,0,13,6,5.0,3,137,1,20.0,A,16,27.0,0.136,80,1
86205,1,36,6,124,20.0,0,13,1,7.0,1,137,1,20.0,A,8,18.0,0.053,79,1
113882,1,41,6,81,7.0,0,11,0,1.0,4,89,0,8.0,S,10,23.0,0.182,71,4
15522,0,24,6,105,30.0,0,13,2,4.0,2,113,1,30.0,A,7,20.0,0.105,91,1
86355,0,40,5,41,20.0,2,10,0,6.0,2,41,0,20.0,A,2,26.0,0.1,79,1
84708,1,39,6,29,24.0,0,12,0,2.0,2,29,0,24.0,A,1,18.0,0.143,72,1
4152,0,24,13,128,21.0,0,42,47,3.0,3,137,0,25.0,A,5,19.0,0.136,80,3
167528,0,01,4,20,20.0,0,10,0,2.0,1,17,0,20.0,F,1,20.0,0.143,19,1
167720,0,34,4,40,20.0,0,9,7,7.0,1,41,1,20.0,A,0,26.0,0.059,62,1
153982,0,21,6,30,30.0,5,13,2,4.0,2,29,0,30.0,A,1,17.0,0.133,71,1
156266,1,42,5,81,18.0,0,12,4,7.0,1,89,0,18.0,A,1,18.0,0.056,84,1
109644,1,39,6,56,14.0,0,14,14,4.0,8,65,1,15.0,S,10,17.0,0.4,72,4
107844,0,51,6,128,6.0,0,12,0,,7,137,0,10.0,S,20,19.0,0.368,62,4
90483,0,24,4,77,3.0,0,7,1,7.0,8,77,1,5.0,S,12,20.0,0.381,98,4
123942,0,51,6,31,16.0,0,13,0,4.0,3,29,0,20.0,A,1,18.0,0.2,86,2
34646,0,12,6,51,30.0,1,13,0,,2,53,1,30.0,A,3,22.0,0.111,86,1
92891,1,10,3,128,5.0,0,5,0,1.0,4,137,0,15.0,S,11,25.0,0.222,50,2
112638,0,43,6,88,20.0,1,12,0,,3,89,1,25.0,A,6,24.0,0.143,69,1
81435,0,53,6,65,31.0,0,13,0,2.0,4,65,0,31.0,A,5,18.0,0.19,79,2
77724,0,11,6,77,2.0,0,14,0,,4,77,0,6.0,S,13,17.0,0.235,91,4
45385,0,16,6,57,7.0,1,13,0,,7,65,1,10.0,A,6,17.0,0.318,91,4
155851,1,29,3,23,20.0,0,9,3,4.0,1,29,0,20.0,N,1,23.0,0.1,73,1
18481,0,36,4,17,20.0,0,10,0,4.0,1,17,0,20.0,F,1,17.0,0.2,81,1
42342,0,37,5,124,0.0,0,14,8,3.0,4,137,1,9.0,S,14,17.0,0.235,82,3
136175,0,41,6,92,50.0,0,13,0,,4,101,0,50.0,A,9,19.0,0.182,71,1
101492,0,36,6,39,10.0,0,12,6,5.0,3,41,1,10.0,A,2,19.0,0.158,47,3
162610,0,17,6,29,12.0,3,12,0,,4,29,0,12.0,A,2,18.0,0.308,8,3
69397,0,40,6,111,16.0,0,13,15,3.0,3,113,1,16.0,S,8,18.0,0.167,73,2
60563,0,23,4,126,15.0,0,13,1,6.0,1,137,1,15.0,A,10,18.0,0.059,64,1
58884,0,43,6,33,5.0,0,12,0,,4,29,0,6.0,S,3,21.0,0.267,84,4
152260,0,28,6,129,14.06,0,13,0,4.0,3,137,0,15.0,S,14,19.0,0.143,74,2
151054,1,20,6,123,10.0,0,14,1,5.0,4,125,0,20.0,S,14,19.0,0.19,87,3
57014,0,38,5,126,8.0,0,13,0,,5,137,1,10.0,S,14,17.0,0.263,54,3
175354,0,21,6,104,15.0,0,14,12,7.0,5,113,1,16.0,A,8,18.0,0.238,66,3
99484,0,24,6,126,20.0,1,11,3,5.0,3,137,1,20.0,A,6,24.0,0.136,94,1
20593,0,40,6,44,20.0,0,13,0,4.0,2,41,0,20.0,A,1,17.0,0.111,54,1
148931,0,28,6,92,36.0,0,13,0,,3,89,0,36.0,S,6,18.0,0.136,87,2
186375,1,23,5,18,10.0,0,18,0,,1,17,0,20.0,F,2,18.0,0.2,57,1
148328,0,14,6,24,12.0,0,14,2,6.0,3,29,0,16.0,N,2,17.0,0.273,98,3
75709,0,53,6,53,50.0,0,13,4,5.0,1,53,1,50.0,A,2,18.0,0.045,64,1
135159,0,15,5,68,19.0,0,11,3,7.0,2,77,1,25.0,A,2,26.0,0.095,52,1
