CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_CARD_PROM,LIFETIME_PROM,DONOR_AGE,PCT_ATTRIBUTE3,MOR_HIT_RATE,URBANICITY,PCT_OWNER_OCCUPIED,RECENT_CARD_RESPONSE_PROP,CARD_PROM_12,RECENT_RESPONSE_PROP,MONTHS_SINCE_ORIGIN,LAST_GIFT_AMT,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,LIFETIME_GIFT_COUNT,PER_CAPITA_INCOME,LIFETIME_MIN_GIFT_AMT
42600,0,32,26,60,48.0,9,7,C,47,0.2,6,0.2,137,10.0,1,S,14,5940,5.0
153708,1,07,5,13,,81,0,U,84,0.5,4,0.2,17,15.0,0,F,1,21369,15.0
145010,1,03,26,69,,26,0,U,62,0.0,4,0.083,137,20.0,0,A,17,18890,3.0
83765,0,20,27,64,80.0,38,1,S,46,0.091,6,0.182,113,9.0,0,A,15,12332,5.0
70433,0,53,11,26,,23,0,R,60,0.429,6,0.214,29,8.0,0,A,4,9670,6.0
23292,0,38,10,25,67.0,41,0,T,50,0.5,6,0.5,29,7.0,0,A,7,12073,5.0
177554,0,27,15,40,49.0,25,1,C,0,0.1,6,0.19,41,15.0,0,A,5,0,5.0
58703,0,53,8,23,21.0,17,0,R,81,0.2,4,0.154,29,20.0,0,A,2,7532,10.0
41931,0,38,17,44,80.0,33,1,T,73,0.455,6,0.286,41,12.0,1,S,10,15020,5.0
182279,1,31,27,70,35.0,30,0,C,20,0.273,6,0.136,89,10.0,1,S,25,10959,4.0
169126,0,52,11,27,33.0,43,5,R,85,0.286,6,0.308,29,10.0,0,A,5,7274,5.0
33883,0,27,32,88,79.0,44,0,C,67,0.0,5,0.095,137,15.0,5,A,34,14689,5.0
103965,0,43,28,60,71.0,24,0,R,68,0.75,5,0.438,137,5.0,1,S,23,9387,1.0
94039,0,05,20,56,74.0,29,0,U,70,0.222,6,0.158,77,10.0,1,S,11,15373,5.0
160729,0,44,8,22,35.0,25,0,R,66,0.5,5,0.5,29,10.0,0,N,5,12493,3.0
88003,0,12,22,53,79.0,41,0,S,91,0.273,6,0.238,65,15.0,1,S,12,17846,3.0
68650,1,12,23,55,39.0,33,11,S,81,0.333,6,0.2,101,10.0,1,S,10,20563,3.0
73296,0,36,5,15,80.0,15,14,T,47,0.333,3,0.143,17,15.0,0,F,1,11002,15.0
24311,1,42,25,60,,23,0,R,61,0.222,5,0.111,113,16.0,0,A,9,13707,5.0
180005,0,07,22,54,76.0,25,0,U,51,0.0,6,0.143,89,15.0,0,A,6,11467,10.0
36987,0,40,12,28,,0,0,T,0,0.4,5,0.2,53,15.0,0,A,4,10133,10.0
147206,0,09,8,18,,10,0,U,10,0.5,6,0.25,17,15.0,0,N,2,5851,10.0
527,0,39,32,76,64.0,26,2,T,61,0.455,10,0.364,89,5.0,0,A,23,13025,3.0
86494,0,46,13,33,57.0,32,0,R,74,0.25,6,0.105,41,20.0,0,A,4,12052,5.0
25680,0,12,26,64,87.0,11,2,S,87,0.091,6,0.095,101,25.0,0,A,8,23837,5.0
104834,0,15,9,21,,26,1,S,5,0.4,6,0.182,29,15.0,0,N,2,20996,15.0
8912,1,16,8,42,57.0,23,0,S,83,0.2,4,0.083,29,20.0,0,N,7,15051,10.0
11510,0,39,6,34,66.0,32,26,T,64,0.0,4,0.143,17,15.0,0,F,2,11412,15.0
65656,1,21,9,22,,0,0,S,25,0.333,4,0.154,29,20.0,0,A,2,23732,10.0
139837,0,36,6,15,49.0,7,7,T,82,0.333,4,0.143,17,15.0,0,F,1,11905,15.0
42021,0,10,7,22,39.0,14,0,U,46,0.0,4,0.182,29,20.0,0,A,2,9481,5.0
90503,0,24,30,78,72.0,65,0,C,86,0.25,5,0.167,137,10.0,4,A,26,17418,4.0
27987,1,35,13,30,47.0,67,0,T,95,0.333,6,0.316,29,12.0,0,A,6,16019,10.0
167401,0,03,14,33,52.0,19,2,U,56,0.1,6,0.095,41,25.0,0,A,3,23523,5.0
10248,0,49,29,91,,30,0,R,79,0.0,4,0.0,137,20.0,0,A,11,9578,5.0
191296,1, .,30,69,50.0,26,10,?,88,0.364,6,0.273,113,10.0,1,S,14,35842,5.0
160970,1,35,25,63,76.0,58,6,T,59,0.5,5,0.316,113,5.0,1,S,22,12060,5.0
59598,1,36,22,57,,33,0,T,67,0.0,4,0.067,113,100.0,0,A,11,10057,3.0
108705,0,40,22,58,67.0,18,26,T,82,0.143,4,0.118,101,20.0,0,A,6,13267,5.0
34617,0,20,24,63,73.0,29,9,S,67,0.222,6,0.222,101,10.0,0,A,10,13435,10.0
143406,0,06,10,22,39.0,42,1,U,65,0.333,6,0.231,29,20.0,0,A,3,13571,5.0
129274,0,11,5,13,87.0,24,16,S,54,0.5,4,0.2,17,18.0,0,F,1,25662,18.0
15810,0,36,8,22,57.0,37,0,T,65,0.4,4,0.167,29,15.0,0,A,2,11277,8.0
21034,0,36,12,28,50.0,24,5,T,70,0.125,6,0.133,29,18.0,0,A,3,9903,10.0
478,0,36,45,120,82.0,26,0,T,80,0.556,9,0.3,137,10.0,3,A,42,10815,2.0
96039,1,45,30,78,63.0,23,0,R,70,0.273,6,0.318,113,8.0,1,S,28,11653,2.0
68556,0,24,5,13,72.0,19,0,C,94,0.5,4,0.2,17,15.0,0,F,1,32328,15.0
141223,0,17,16,40,47.0,41,0,S,54,0.25,6,0.111,65,25.0,0,A,3,16015,10.0
168557,0,13,21,55,7.0,14,1,S,95,0.111,5,0.053,77,35.0,0,A,4,44438,25.0
160701,0,27,14,35,,38,9,C,81,0.0,5,0.053,53,40.0,0,A,3,13195,3.0
146693,0,33,6,13,,0,1,C,48,0.5,5,0.25,17,20.0,0,F,1,35713,20.0
125576,0,15,21,54,63.0,10,0,S,46,0.222,6,0.167,77,17.0,1,S,9,22226,3.0
44020,0,21,9,22,68.0,8,9,S,74,0.0,4,0.077,29,20.0,0,A,2,13732,10.0
22206,1, .,30,74,62.0,0,0,?,78,0.0,4,0.056,137,25.0,0,A,18,16489,5.0
51057,0,43,12,35,33.0,29,0,R,85,0.0,3,0.133,53,15.0,0,E,4,9352,10.0
72359,0,39,9,23,39.0,34,0,T,90,0.167,4,0.143,29,20.0,0,A,2,13386,10.0
124328,0,24,31,75,78.0,27,16,C,80,0.2,5,0.19,125,10.0,4,A,23,20391,2.0
21240,0,42,20,46,53.0,33,0,R,74,0.182,6,0.1,89,40.0,0,A,6,15119,5.0
17006,0,24,31,78,76.0,28,0,C,79,0.333,6,0.211,137,10.0,1,S,23,17584,5.0
102292,0,30,21,52,84.0,8,15,C,59,0.333,6,0.368,65,15.0,0,A,14,8277,3.0
28040,1,40,20,48,68.0,39,2,T,94,0.1,6,0.15,65,12.0,1,S,11,15563,5.0
117092,0,03,5,13,50.0,20,0,U,65,0.333,3,0.143,17,15.0,0,F,1,19391,15.0
32622,1,45,23,62,17.0,23,0,R,80,0.0,6,0.053,101,37.0,0,A,6,10597,10.0
153049,0,04,9,24,,31,0,U,15,0.4,6,0.385,29,10.0,0,A,5,15290,5.0
1505,0,44,26,69,,38,0,R,26,0.4,11,0.238,41,10.0,0,A,8,12868,10.0
109353,0,42,9,21,,35,0,R,88,0.333,4,0.154,29,15.0,0,A,2,12306,10.0
183312,0,45,23,55,51.0,30,0,R,57,0.545,6,0.429,77,9.0,0,A,15,10100,8.0
175589,0,16,22,57,,12,0,S,3,0.3,6,0.263,77,30.0,0,A,8,9106,5.0
104202,0,30,21,54,6.0,32,0,C,39,0.6,6,0.333,77,6.0,1,S,18,7485,1.0
35996,0,39,22,58,,39,0,T,74,0.333,6,0.389,101,5.0,1,S,15,10323,5.0
98709,0,24,20,54,62.0,17,10,C,89,0.2,6,0.111,65,15.0,0,A,9,17285,5.0
111212,0,50,23,56,55.0,28,0,R,83,0.0,6,0.048,77,32.0,0,A,7,8185,5.0
3891,1,39,33,124,82.0,53,0,T,73,0.222,6,0.176,137,25.0,0,A,18,9043,5.0
164593,0,11,6,15,37.0,43,4,S,63,0.333,4,0.143,17,15.0,0,F,1,23144,15.0
4060,0, .,26,97,55.0,0,1,?,51,0.4,7,0.19,101,10.0,0,A,14,20741,10.0
12677,0, .,25,76,,0,0,?,75,0.091,9,0.238,29,10.0,0,A,20,12651,0.0
148711,0,12,20,49,49.0,48,3,S,94,0.0,6,0.143,65,16.0,0,A,8,21791,5.0
71830,0,28,33,83,62.0,34,0,C,83,0.636,6,0.471,137,7.0,1,S,33,12908,3.0
67793,0,10,18,47,,0,0,U,58,0.444,6,0.263,65,10.0,0,A,9,8944,3.0
13566,1,05,20,68,,0,0,U,91,0.143,7,0.235,65,10.0,0,A,12,16740,3.0
37542,0,10,17,39,37.0,0,0,U,45,0.091,6,0.136,41,20.0,0,A,5,6590,5.0
140613,0,36,13,34,,44,0,T,75,0.0,6,0.053,41,35.0,0,A,4,9299,3.0
29288,0,43,12,27,,32,0,R,85,0.286,5,0.125,41,20.0,0,A,3,11472,3.0
64192,0,38,16,42,69.0,25,1,T,67,0.25,6,0.167,53,10.0,0,A,6,13995,5.0
72417,0,36,27,64,64.0,22,2,T,86,0.273,6,0.182,89,15.0,0,A,12,12463,3.0
74021,0,51,22,54,,17,0,R,88,0.5,5,0.381,77,5.0,1,S,24,9203,2.0
159659,0,46,22,54,17.0,21,5,R,71,0.444,6,0.412,89,5.0,0,A,16,13898,5.0
102379,0,16,18,47,7.0,13,23,S,86,0.222,6,0.235,65,20.0,0,A,7,12283,5.0
47353,0,16,11,23,33.0,61,0,S,34,0.286,6,0.214,29,15.0,0,A,3,4728,10.0
165177,1,02,22,57,,50,0,U,65,0.125,6,0.118,77,14.0,1,S,11,18228,5.0
36479,1,29,29,74,82.0,7,9,C,70,0.455,6,0.286,113,10.0,1,S,21,22670,5.0
10736,0,39,11,37,,37,0,T,85,0.429,6,0.231,29,25.0,0,A,4,11939,10.0
109194,0,36,27,69,83.0,23,8,T,77,0.1,5,0.095,101,15.0,8,A,13,10302,5.0
68881,0,13,5,13,51.0,8,0,S,77,0.5,4,0.2,17,15.0,0,F,1,44632,15.0
24919,0, .,12,29,49.0,0,1,?,86,0.0,4,0.053,41,20.0,0,A,2,10795,5.0
33522,0,47,31,76,62.0,33,0,R,76,0.111,5,0.15,137,12.0,4,A,18,9429,5.0
120249,1,42,23,53,63.0,42,7,R,86,0.0,6,0.05,101,20.0,0,A,9,15428,5.0
122393,0,49,5,13,38.0,35,1,R,81,0.5,4,0.2,17,20.0,0,F,1,12287,20.0
190462,0,01,17,33,61.0,21,0,U,28,1.0,2,0.625,137,15.0,1,E,14,18252,3.0
106425,0,40,19,56,63.0,23,0,T,64,0.0,4,0.067,113,20.0,0,A,6,13461,5.0
134920,0,48,10,25,65.0,0,1,R,56,0.667,6,0.636,29,6.0,0,N,8,9870,5.0
156651,0,07,11,25,,30,0,U,58,0.143,6,0.143,29,100.0,0,A,2,13652,53.0
137569,0,30,21,44,,0,2,C,0,0.333,6,0.294,89,4.0,1,S,21,0,1.0
167221,0,40,31,75,56.0,56,0,T,91,0.1,5,0.286,137,5.0,1,S,27,12620,3.0
148336,0,11,9,22,33.0,30,0,S,73,0.333,4,0.143,29,20.0,0,A,2,25666,10.0
92801,1,02,14,37,62.0,0,0,U,97,0.0,5,0.105,41,15.0,0,A,5,26708,5.0
136283,0,11,13,32,73.0,43,1,S,57,0.333,6,0.235,29,25.0,1,S,5,19014,25.0
82503,0,04,27,63,,25,3,U,31,0.444,6,0.222,113,15.0,1,S,15,14773,2.0
142742,1,08,11,24,49.0,33,0,U,32,0.286,6,0.2,29,15.0,0,A,3,9763,15.0
152745,0,24,27,63,,51,0,C,75,0.0,4,0.063,125,15.0,0,A,13,15976,3.0
175333,0,07,31,73,78.0,43,0,U,66,0.222,6,0.211,137,12.0,7,A,15,14756,5.0
113783,0,53,29,68,41.0,31,0,R,79,0.125,6,0.111,137,20.0,0,A,10,8913,5.0
38266,1,08,4,10,75.0,38,0,U,85,0.0,2,0.0,29,15.0,0,N,1,8625,15.0
47385,1,13,5,12,37.0,15,4,S,99,0.5,4,0.25,17,15.0,0,F,1,55765,15.0
185817,0,43,12,31,,34,0,R,73,0.143,6,0.214,29,20.0,0,L,4,9503,20.0
137637,0,48,20,51,,24,0,R,83,0.0,6,0.045,65,40.0,0,A,4,11162,25.0
147406,1,01,45,119,69.0,18,0,U,89,0.182,10,0.136,113,25.0,3,L,17,52654,10.0
78228,0,01,5,14,65.0,28,0,U,16,0.5,3,0.25,17,6.0,0,N,2,23315,6.0
18089,1,22,22,55,47.0,30,0,C,83,0.5,6,0.278,77,17.0,0,A,9,17420,5.0
144914,0,15,10,25,,24,0,S,20,0.143,4,0.063,41,21.0,0,A,2,28376,15.0
98452,0,45,8,19,,23,0,R,77,0.5,6,0.25,17,20.0,0,N,2,12912,10.0
105325,1,36,31,67,,12,4,T,75,0.545,6,0.476,137,5.0,1,S,37,8250,1.0
110799,0,41,30,70,81.0,38,0,T,43,0.0,5,0.048,113,15.0,17,A,13,9048,3.0
63135,1,30,27,71,64.0,14,2,C,90,0.273,6,0.286,113,5.0,1,S,20,14465,3.0
179936,0,04,21,55,51.0,27,7,U,70,0.111,6,0.053,77,15.0,0,A,10,19442,5.0
137197,0,29,15,41,62.0,11,0,C,92,0.125,6,0.111,65,25.0,0,A,4,14485,5.0
21003,1,50,20,56,,37,0,R,76,0.333,6,0.25,77,10.0,1,S,9,8518,5.0
156335,0,13,25,61,76.0,37,0,S,86,0.182,6,0.1,77,25.0,0,A,11,32704,10.0
69576,0,44,12,27,66.0,31,1,R,90,0.125,6,0.176,29,25.0,0,A,3,12870,15.0
130302,0,18,20,45,,20,0,S,71,0.182,6,0.136,53,20.0,5,A,9,15105,3.0
93114,0,01,22,54,53.0,25,0,U,29,0.111,6,0.05,89,25.0,0,A,5,44177,5.0
18466,1,47,18,46,39.0,42,0,R,81,0.429,5,0.267,77,5.0,1,S,14,10466,3.0
44634,1,26,16,46,60.0,15,4,C,50,0.6,6,0.364,89,10.0,0,A,7,15970,3.0
112375,0,40,29,66,74.0,63,4,T,85,0.0,6,0.045,137,30.0,0,A,10,11840,3.0
81293,1,30,10,35,27.0,53,2,C,59,0.75,3,0.5,113,2.0,0,A,17,9583,2.0
137835,1,40,14,35,,44,0,T,29,0.3,6,0.238,41,12.0,0,A,6,10191,10.0
178985,0,18,12,27,44.0,26,3,S,90,0.25,6,0.25,29,20.0,0,A,5,16257,15.0
179249,0,12,24,63,72.0,52,5,S,88,0.364,6,0.25,77,17.0,1,S,14,15585,5.0
174096,0,41,5,12,,48,0,T,0,0.5,4,0.2,17,15.0,0,F,1,11143,15.0
87210,1,46,19,49,,34,0,R,71,0.0,4,0.133,113,15.0,0,A,5,10311,5.0
139227,1,39,28,72,,31,0,T,87,0.333,5,0.316,113,20.0,0,A,20,11069,2.0
98964,0,43,28,68,27.0,29,0,R,82,0.0,4,0.105,137,10.0,0,A,15,11773,2.0
43267,0,29,29,78,81.0,18,5,C,88,0.25,4,0.278,137,3.0,1,S,26,12397,3.0
104283,0,44,10,22,61.0,55,1,R,84,0.0,5,0.071,29,20.0,0,A,2,14287,5.0
171396,1,27,15,38,,60,0,C,65,0.25,6,0.222,53,10.0,0,A,10,15438,3.0
62166,0,44,10,27,68.0,53,1,R,87,0.167,5,0.143,29,6.0,0,A,3,14941,6.0
66845,0,11,6,14,57.0,25,37,S,74,0.5,5,0.2,17,20.0,0,F,1,19514,20.0
107046,0,15,5,12,,46,4,S,35,0.5,4,0.2,17,20.0,0,F,1,14303,20.0
25734,0,12,10,21,,55,0,S,91,0.143,5,0.143,29,15.0,0,N,2,16451,15.0
22188,1, .,7,20,48.0,0,4,?,80,0.667,5,0.286,17,6.0,0,N,3,11352,6.0
181796,0,40,19,44,,56,0,T,98,0.091,6,0.143,53,15.0,0,A,6,20403,10.0
68468,0,10,29,65,71.0,25,0,U,27,0.222,5,0.1,137,10.0,0,A,14,8160,2.0
23412,1,43,10,27,45.0,48,0,R,71,0.5,6,0.308,29,12.0,0,A,4,9638,5.0
88363,0,13,13,31,,23,0,S,77,0.333,6,0.211,29,25.0,0,A,5,32244,10.0
121955,0,15,5,14,,43,0,S,74,0.0,3,0.0,29,15.0,0,N,1,18212,15.0
187902,0,46,13,32,,33,0,R,69,0.75,2,0.5,77,12.0,1,E,11,12997,5.0
113031,0,35,7,16,47.0,48,0,T,69,0.333,5,0.143,17,25.0,0,N,1,18793,25.0
182076,0,10,17,39,,42,0,U,0,0.091,6,0.091,41,25.0,0,A,5,0,5.0
14875,0,51,26,99,58.0,33,0,R,83,0.0,7,0.067,101,50.0,0,A,10,9775,20.0
152412,0,21,28,69,69.0,0,3,S,15,0.0,4,0.077,137,11.0,0,A,25,9458,2.0
95917,0,44,15,37,37.0,36,8,R,94,0.6,6,0.333,41,5.0,1,S,10,18514,3.0
83155,0,40,14,32,31.0,42,0,T,96,0.111,6,0.15,41,10.0,0,A,5,15799,4.0
149560,1,13,31,71,69.0,19,0,S,95,0.091,6,0.091,137,100.0,0,A,8,29646,15.0
82596,0,12,4,11,23.0,26,13,S,96,0.0,3,0.25,17,20.0,0,F,1,12503,20.0
179821,0,07,14,37,71.0,15,0,U,55,0.2,5,0.182,77,18.0,0,A,4,12041,10.0
186016,1,43,35,87,,41,0,R,84,0.182,8,0.2,137,13.0,1,S,21,9078,5.0
132366,0,39,14,33,,42,0,T,58,0.0,4,0.05,41,16.0,0,A,3,8676,10.0
73461,0,39,27,68,30.0,35,0,T,88,0.0,6,0.136,101,10.0,1,S,15,10438,5.0
138758,1,40,18,43,,15,5,T,74,0.0,6,0.143,65,20.0,0,A,5,14174,10.0
38273,0,08,17,46,68.0,0,9,U,83,0.2,6,0.19,53,20.0,1,S,7,7627,5.0
56124,1, .,19,45,46.0,0,0,?,1,0.091,6,0.1,53,20.0,0,A,6,9800,5.0
31127,0,44,12,35,41.0,66,2,R,86,0.5,6,0.294,29,21.0,0,A,5,12950,15.0
