CONTROL_NUMBER,DONATED,CLUSTER_CODE,MOR_HIT_RATE,MEDIAN_HOME_VALUE,PUBLISHED_PHONE,INCOME_GROUP,IN_HOUSE,DONOR_GENDER,LIFETIME_CARD_PROM,SES,DONOR_AGE,LIFETIME_MAX_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,PCT_ATTRIBUTE3,FILE_CARD_GIFT,RECENCY_STATUS_96NK,MONTHS_SINCE_FIRST_GIFT,PCT_ATTRIBUTE4
111711,0,11,0,901,1,,0,F,27,1,,16.0,26,13.0,29,6,A,98,41
43258,0,37,7,695,1,4.0,0,F,29,2,73.0,19.0,22,18.0,18,9,A,125,63
87459,1,25,0,446,1,2.0,0,F,13,2,,5.0,18,3.0,23,6,S,55,33
81945,1,12,0,840,0,6.0,0,M,10,1,33.0,25.0,18,20.0,42,1,A,28,17
45023,0,28,0,686,0,,0,F,9,2,,25.0,15,15.0,0,1,N,24,0
130330,0,10,0,644,0,4.0,0,F,22,4,72.0,45.0,25,42.0,35,9,A,56,22
115499,0,43,0,364,1,2.0,0,F,33,2,53.0,25.0,17,20.0,35,10,A,126,36
177664,0,36,28,380,1,4.0,0,M,20,2,59.0,20.0,15,15.0,38,2,A,89,28
119576,1,12,2,916,0,5.0,0,M,12,1,38.0,10.0,15,2.0,36,3,A,33,0
137510,0,29,13,1011,1,4.0,0,F,22,2,76.0,11.0,18,6.0,5,6,S,77,95
92620,0,13,0,1548,0,6.0,0,M,7,1,37.0,16.0,15,6.0,34,1,N,21,29
86771,0,49,0,581,0,2.0,0,M,25,2,,20.0,15,17.0,40,8,E,119,20
119543,0,12,0,869,1,6.0,0,F,4,1,53.0,20.0,15,0.0,65,1,E,15,0
160729,0,44,0,1239,0,2.0,0,F,8,2,35.0,10.0,15,7.0,25,2,N,23,29
41094,0,30,0,832,1,3.0,0,M,31,3,,25.0,16,20.0,22,10,S,123,30
7261,0,41,0,251,0,,1,F,35,3,16.0,16.0,16,11.0,20,10,A,129,36
31183,1,38,4,621,1,6.0,0,M,21,2,54.0,15.0,16,10.0,59,3,A,80,30
144926,1,11,0,5139,0,,0,F,20,1,,20.0,26,15.0,17,2,A,66,51
185149,1,41,24,396,1,2.0,0,M,28,3,76.0,12.0,4,12.0,30,11,A,113,32
33444,0,35,0,1247,1,,0,M,13,1,,20.0,19,15.0,31,0,A,40,27
133029,1,25,2,488,1,3.0,0,F,32,2,59.0,20.0,25,17.0,21,10,A,124,40
137465,0,30,0,446,0,,0,M,20,3,82.0,28.0,26,18.0,15,1,A,64,50
91101,1,18,2,889,1,6.0,0,M,19,2,52.0,20.0,21,10.0,39,3,A,88,9
162140,0,02,1,4176,0,6.0,0,F,26,1,69.0,15.0,16,10.0,0,5,A,90,66
96079,0,36,0,407,0,2.0,0,F,32,2,66.0,5.0,20,3.0,15,14,S,122,22
33135,1,21,0,754,0,1.0,0,F,32,3,63.0,13.0,16,10.0,38,7,S,124,33
66847,0,17,0,907,1,2.0,0,F,15,2,32.0,10.0,18,5.0,65,2,N,30,17
185593,0,36,0,627,0,3.0,1,M,11,2,63.0,35.0,4,10.0,33,2,A,29,38
147782,0,15,0,2179,0,,0,U,11,1,,20.0,25,15.0,6,3,A,75,46
44060,1,28,0,896,0,,0,M,20,2,78.0,50.0,26,40.0,18,2,A,68,59
50869,0,18,0,727,0,3.0,0,F,29,2,47.0,25.0,19,20.0,23,8,A,128,26
71426,0,30,0,271,0,,0,U,16,3,39.0,20.0,24,17.0,50,3,A,73,50
57461,0,11,0,669,1,4.0,0,F,30,1,,20.0,15,17.0,20,13,S,104,33
64776,0,20,1,1488,0,3.0,0,M,17,2,45.0,15.0,20,5.0,7,2,A,89,42
149502,0,13,3,5853,1,3.0,0,M,25,1,,17.0,18,12.0,34,7,A,92,42
164246,1,02,3,2982,1,6.0,0,F,31,1,47.0,14.0,20,11.0,58,12,A,128,7
2492,0,12,0,2216,0,7.0,0,F,30,1,73.0,18.0,6,13.0,66,6,N,76,15
184261,0,27,0,493,0,2.0,0,M,22,2,74.0,20.0,19,15.0,29,1,A,78,41
44989,0,51,6,623,1,2.0,0,F,27,3,44.0,20.0,16,17.0,24,7,A,113,48
44567,0,29,0,780,1,2.0,0,M,14,2,,10.0,18,7.0,7,2,A,41,74
126749,0,48,6,645,1,2.0,0,F,33,2,86.0,20.0,22,17.0,10,13,A,123,64
73682,0,05,1,626,1,5.0,0,F,24,2,46.0,19.0,26,9.0,17,3,A,116,37
145561,0,15,0,3608,0,,0,F,25,1,63.0,20.0,18,17.0,20,5,A,81,37
156715,0,06,0,1908,0,,0,F,8,2,,15.0,16,5.0,23,2,N,20,41
169190,0,46,0,1026,1,1.0,0,M,20,2,73.0,30.0,25,15.0,23,4,A,57,48
39374,0,07,0,895,0,4.0,0,F,24,2,46.0,30.0,26,20.0,34,2,A,98,30
67541,1,27,0,558,0,5.0,0,F,23,2,41.0,10.0,15,7.0,44,5,S,92,17
71645,0,14,16,952,1,6.0,0,M,19,1,59.0,30.0,15,10.0,31,2,A,78,47
45458,0,33,0,384,1,2.0,0,F,27,3,77.0,12.0,17,9.0,8,4,A,111,69
26534,0,49,1,497,1,7.0,0,F,20,2,54.0,20.0,21,15.0,47,4,A,67,13
43674,1,29,0,888,0,,0,F,13,2,,10.0,17,8.0,9,10,S,130,67
152470,1,13,0,5725,0,,0,F,30,1,,45.0,22,43.0,10,8,A,130,76
57784,0,51,0,417,0,,0,F,9,3,,25.0,26,0.0,27,0,A,31,33
93926,0,08,0,800,0,5.0,0,M,33,3,,15.0,20,12.0,0,15,A,127,74
165378,1,13,0,3997,0,,0,F,20,1,37.0,17.0,16,12.0,28,5,A,68,49
46203,1,03,9,2347,1,6.0,0,F,10,1,60.0,10.0,17,6.0,39,3,A,28,13
42791,0,28,1,1231,1,5.0,0,F,22,2,,15.0,18,10.0,20,7,S,107,56
24919,0, .,1,338,1,5.0,0,F,12,?,49.0,20.0,27,15.0,0,0,A,40,0
81014,0,48,0,807,1,,0,M,34,2,,20.0,17,15.0,22,8,S,126,38
2628,0,14,0,4474,1,5.0,0,F,12,1,87.0,15.0,16,10.0,99,2,N,18,0
97221,1,49,0,418,0,2.0,0,F,18,2,66.0,25.0,15,20.0,31,2,A,67,36
127346,1,14,0,2189,1,,0,F,4,1,47.0,15.0,19,0.0,77,1,E,19,0
21665,0,49,0,633,0,4.0,0,F,15,2,28.0,8.0,17,5.0,48,5,S,41,16
112500,0,30,0,453,1,,0,M,14,3,51.0,7.0,20,2.0,31,4,A,40,28
44219,0,28,0,591,1,,0,F,14,2,,10.0,18,5.0,20,3,A,41,59
72204,0,27,0,615,0,,0,M,18,2,66.0,20.0,18,15.0,41,2,A,64,37
109083,0,39,17,616,1,7.0,0,F,13,2,45.0,11.0,22,6.0,34,4,A,33,41
42146,0,39,0,581,1,,0,F,5,2,,15.0,16,0.0,29,0,F,16,30
22170,0,38,6,687,1,1.0,0,M,32,2,47.0,13.0,19,10.0,45,16,S,128,22
150043,1,14,0,3491,0,4.0,0,M,6,1,65.0,20.0,24,0.0,40,1,N,24,27
38997,0,23,0,3310,1,,0,F,25,1,,15.0,17,10.0,20,8,S,92,47
74472,0,49,0,515,1,4.0,0,M,14,2,70.0,20.0,26,15.0,38,3,A,57,28
143080,0,07,0,1500,0,1.0,0,M,20,2,66.0,25.0,17,22.0,19,3,S,62,19
31953,1,34,0,1210,1,4.0,0,M,24,1,,15.0,25,10.0,29,6,A,86,38
640,0,31,0,1781,0,,0,F,41,3,70.0,11.0,26,10.0,0,24,A,123,45
51506,0,27,5,475,1,1.0,0,F,26,2,78.0,8.0,17,3.0,3,6,S,130,62
114891,0,51,0,363,0,,0,F,33,3,,20.0,24,17.0,31,15,A,130,40
61598,0,35,7,831,1,1.0,0,M,33,1,66.0,30.0,21,25.0,38,15,S,128,35
30067,0,47,0,544,0,,0,M,31,2,59.0,30.0,17,25.0,38,11,S,129,30
186580,1,36,0,651,0,,1,F,23,2,67.0,15.0,4,13.0,19,6,A,81,46
153026,1,31,0,1625,0,2.0,0,F,27,3,71.0,11.0,18,8.0,9,11,S,103,29
25458,0,50,0,389,0,4.0,0,M,20,3,,9.0,17,6.0,19,5,A,65,17
191673,0,23,240,2152,1,2.0,1,F,29,1,64.0,36.0,16,31.0,20,7,S,121,52
163057,0,04,28,2250,1,3.0,0,F,28,2,87.0,17.0,15,12.0,32,7,A,126,22
171855,1,16,9,1504,1,5.0,0,M,24,2,76.0,20.0,17,17.0,14,9,A,79,66
148841,0,06,7,2046,1,2.0,0,M,34,2,76.0,10.0,20,7.0,40,14,S,124,45
184277,0,28,22,506,1,5.0,0,F,29,2,53.0,30.0,17,25.0,36,3,A,120,62
179454,1,09,0,936,0,2.0,0,F,19,3,72.0,15.0,16,10.0,51,2,A,67,13
134007,0,21,0,523,0,,0,F,13,3,,14.0,15,11.0,26,4,A,112,36
60271,0,17,2,573,0,4.0,0,M,6,2,29.0,20.0,16,0.0,29,1,F,16,24
177839,0,48,6,529,1,3.0,0,M,15,2,,20.0,18,10.0,27,1,A,39,54
69116,1,15,0,1151,0,,0,F,20,1,52.0,20.0,16,15.0,34,4,S,53,12
26607,0, .,1,852,1,5.0,0,M,24,?,,20.0,17,10.0,0,5,A,92,0
99947,0,13,13,3412,1,7.0,0,F,22,1,51.0,30.0,17,20.0,41,5,S,63,41
80165,0,36,2,481,1,5.0,0,F,26,2,45.0,15.0,18,12.0,11,11,S,87,54
84359,0,51,0,384,0,1.0,0,M,30,3,,25.0,18,20.0,36,8,S,125,31
1198,0,12,1,2491,1,7.0,0,M,15,1,56.0,15.0,5,5.0,20,2,F,57,25
12209,0, .,0,494,0,2.0,1,F,20,?,87.0,16.0,18,9.0,0,2,S,56,0
83151,0,40,0,878,0,5.0,0,F,5,2,43.0,15.0,16,0.0,42,1,F,16,6
175074,0,18,0,890,0,5.0,0,F,10,2,32.0,20.0,20,17.0,33,3,A,29,17
82909,0,12,2,904,1,7.0,0,F,16,1,39.0,15.0,17,10.0,50,3,A,52,11
89452,0,12,0,1059,1,4.0,0,M,31,1,57.0,12.0,18,7.0,39,6,A,114,14
177224,0,30,10,440,1,1.0,0,M,22,3,45.0,25.0,18,20.0,43,5,A,68,9
163903,0,03,0,3428,0,5.0,0,F,33,1,,13.0,20,10.0,15,16,S,130,48
16049,0,36,0,617,0,,0,F,10,2,67.0,16.0,19,6.0,33,2,A,53,31
162698,0,13,0,2793,0,6.0,0,M,16,1,47.0,18.0,18,8.0,15,5,S,64,46
132522,1,27,0,1188,1,,0,M,16,2,,7.0,17,2.0,28,7,S,41,30
14982,1,01,0,3370,1,,0,F,16,1,,25.0,27,21.0,36,7,E,93,20
132212,0,49,6,752,1,6.0,0,M,18,2,81.0,60.0,18,35.0,42,4,A,76,12
183670,0,43,0,413,1,2.0,0,F,24,2,75.0,15.0,15,10.0,29,3,A,79,46
34777,0,37,0,920,0,6.0,0,M,14,2,52.0,100.0,17,95.0,24,4,A,40,58
47446,0,12,6,707,1,6.0,0,F,11,1,,25.0,22,5.0,37,2,A,29,23
141483,0,03,0,1475,0,,0,U,22,1,,30.0,18,27.0,32,8,S,69,34
156390,0,02,1,3365,1,6.0,0,F,3,1,68.0,15.0,15,0.0,6,0,E,15,39
140250,0,27,15,630,1,4.0,0,M,17,2,75.0,15.0,19,5.0,21,1,A,79,37
36673,0,13,2,1985,1,6.0,0,F,6,1,34.0,20.0,16,0.0,12,0,F,16,56
132726,0,40,3,679,1,4.0,0,M,10,2,,15.0,17,10.0,24,1,A,28,34
154483,0,33,0,744,0,,0,F,27,3,79.0,15.0,21,10.0,17,8,A,105,55
37932,0,31,0,0,0,,0,F,29,3,,22.0,17,20.0,0,13,S,84,0
25981,0,14,1,1481,1,5.0,0,F,6,1,53.0,25.0,16,0.0,68,0,F,16,7
47428,0,13,0,1273,0,,0,M,26,1,65.0,22.0,21,17.0,13,9,A,101,51
36371,1,23,3,4259,1,5.0,0,M,27,1,,10.0,19,5.0,4,7,A,104,79
39721,0,34,0,1814,0,5.0,0,F,15,1,72.0,18.0,17,13.0,27,2,A,63,49
119635,0,25,6,686,1,5.0,0,F,19,2,40.0,15.0,15,10.0,92,4,E,77,0
10384,1,24,0,1266,0,,1,M,31,1,73.0,18.0,17,15.0,32,7,A,128,5
66087,1,38,17,554,1,5.0,0,F,31,2,47.0,15.0,22,13.0,48,9,A,128,13
15079,0,43,0,497,0,4.0,0,F,24,2,35.0,21.0,16,11.0,29,3,A,96,33
174470,0,44,4,924,1,3.0,0,F,9,2,45.0,11.0,15,6.0,46,3,A,32,19
73504,1,46,0,460,1,2.0,0,F,19,2,58.0,20.0,19,10.0,22,5,A,75,42
118554,0,48,0,435,0,,0,F,15,2,,37.0,20,32.0,13,3,A,40,76
65195,0,30,1,326,1,3.0,0,M,31,3,70.0,10.0,18,7.0,32,15,S,121,38
87359,0,43,0,438,1,5.0,0,F,29,2,,25.0,20,22.0,20,9,A,120,38
93538,1,10,0,438,0,1.0,0,F,17,4,72.0,26.0,26,11.0,0,2,A,67,70
35728,1,39,0,786,0,5.0,0,M,23,2,49.0,24.0,23,20.0,43,5,A,79,16
80800,1,49,31,677,1,5.0,0,F,15,2,67.0,12.0,17,7.0,37,5,A,53,28
161499,0,11,0,1408,0,5.0,0,M,17,1,57.0,30.0,18,15.0,29,1,A,44,33
131502,0,34,1,1693,0,7.0,0,M,11,1,42.0,21.0,26,16.0,54,1,A,45,14
80246,0,53,0,470,0,,0,M,27,3,,10.0,26,9.0,35,12,A,110,31
61620,0,35,4,1247,1,5.0,0,M,23,1,,20.0,18,17.0,40,6,A,75,24
80508,0,42,17,823,1,2.0,0,F,29,1,78.0,10.0,15,8.0,38,10,A,127,26
186015,0, .,0,689,0,2.0,1,M,35,?,,15.0,5,12.0,0,14,A,126,0
174358,1,18,0,1550,1,5.0,0,M,19,2,55.0,25.0,24,20.0,42,4,A,89,21
112309,1,39,1,622,1,7.0,0,F,11,2,35.0,25.0,18,5.0,33,0,A,32,24
110047,0,50,0,340,1,5.0,0,U,18,3,71.0,14.0,15,9.0,28,4,S,65,38
44418,0,36,4,666,1,2.0,0,M,28,2,75.0,6.0,16,4.0,6,15,S,127,58
114987,0,45,0,405,0,1.0,0,F,14,2,73.0,6.0,18,3.0,20,3,A,40,46
149164,1,13,0,3385,0,,0,M,15,1,,25.0,18,20.0,33,2,A,41,32
191127,0,35,0,1989,1,,1,U,29,1,,9.0,18,6.0,33,7,A,124,11
7059,1,12,0,1015,0,3.0,1,F,20,1,77.0,14.0,17,11.0,33,12,A,129,32
168987,0,21,0,0,0,,0,F,27,3,,17.0,18,15.0,31,4,A,113,51
88347,0,11,1,1494,1,5.0,0,M,21,1,85.0,15.0,17,5.0,9,5,A,105,66
145313,0,06,26,2683,1,4.0,0,M,28,2,78.0,27.0,21,22.0,26,8,A,105,41
28210,0,10,0,351,0,,0,M,31,4,,18.0,24,13.0,33,12,A,126,28
82252,0,35,6,1189,1,7.0,0,M,27,1,66.0,14.0,19,9.0,34,10,A,128,15
59533,0,49,0,448,0,,0,M,21,2,,20.0,27,17.0,25,6,A,104,34
104527,0,43,0,292,0,4.0,0,F,26,2,48.0,16.0,17,11.0,32,8,A,113,29
158198,0,01,0,2909,0,,0,M,10,1,,20.0,15,0.0,18,1,L,29,32
24302,0,47,0,450,0,1.0,0,F,34,2,40.0,19.0,24,16.0,31,14,S,129,33
12832,1,36,18,662,1,3.0,1,F,10,2,74.0,15.0,15,10.0,35,2,A,31,26
183296,0,39,0,612,0,,0,F,31,2,,21.0,22,18.0,22,10,S,124,33
87052,0,45,0,367,0,4.0,0,F,32,2,59.0,11.0,21,8.0,24,12,A,128,37
78270,1,10,7,277,1,1.0,0,M,6,4,63.0,15.0,15,10.0,14,2,E,29,72
30539,0,49,0,678,0,,0,M,27,2,76.0,15.0,16,12.0,42,6,A,99,22
151702,1,34,0,2145,0,4.0,0,F,21,1,54.0,15.0,23,10.0,37,6,A,65,21
169760,0,24,0,1992,0,,0,F,16,1,80.0,15.0,26,12.0,40,7,A,124,22
176443,1,46,4,641,0,2.0,0,F,32,2,76.0,30.0,18,25.0,29,13,A,129,51
57929,1,51,0,453,0,4.0,0,F,24,3,62.0,11.0,19,8.0,32,10,S,93,31
53701,0,18,3,591,0,5.0,0,F,9,2,55.0,16.0,16,6.0,59,2,N,24,8
37909,0,23,0,2693,0,,0,F,11,1,30.0,30.0,17,25.0,16,2,A,45,61
134739,0,40,0,666,0,,0,F,10,2,,10.0,15,5.0,0,1,A,32,51
147785,0,11,0,4932,0,3.0,0,F,21,1,42.0,13.0,17,10.0,34,2,S,65,48
108290,0,03,0,1583,1,7.0,0,F,6,1,39.0,20.0,16,0.0,21,1,F,16,40
5420,0,11,3,2932,0,5.0,1,F,23,1,36.0,9.0,19,5.0,17,13,S,112,46
83132,0,49,3,785,1,4.0,0,F,21,2,65.0,15.0,19,12.0,29,3,A,77,27
81630,1,31,0,182,0,,0,F,30,3,,7.0,18,5.0,45,12,S,123,43
165049,0,22,16,3567,0,6.0,0,F,18,1,50.0,42.0,19,37.0,57,4,A,57,12
70697,0,30,1,348,1,2.0,0,F,33,3,75.0,8.0,15,4.0,16,9,S,126,27
144445,0,07,10,2006,0,3.0,0,F,18,2,66.0,25.0,18,20.0,18,3,A,64,39
70976,0,42,13,880,1,2.0,0,M,6,1,65.0,20.0,15,5.0,29,1,N,17,31
157529,0,13,0,3465,1,1.0,0,M,12,1,49.0,20.0,26,7.0,29,2,A,33,47
60943,0,27,0,475,0,,0,F,25,2,,10.0,18,8.0,31,7,A,93,28
141710,0,18,0,892,0,4.0,0,M,30,2,68.0,50.0,25,40.0,42,7,A,130,26
147855,1,13,2,4548,1,6.0,0,M,28,1,80.0,13.0,17,10.0,13,15,S,125,57
143626,0,13,5,5952,0,7.0,0,F,10,1,73.0,15.0,15,0.0,25,2,A,29,47
92652,0,42,0,1008,0,2.0,0,M,8,1,65.0,17.0,18,2.0,34,0,A,31,19
160850,0,27,0,1372,0,6.0,0,F,22,2,55.0,14.0,21,9.0,41,8,A,92,21
80153,1,30,1,416,1,3.0,0,M,6,3,74.0,15.0,24,0.0,28,1,N,24,36
112217,0,36,0,729,0,,0,F,12,2,,15.0,16,10.0,28,2,A,38,36
183207,0,18,15,737,1,4.0,0,F,12,2,56.0,15.0,24,10.0,61,3,A,35,20
30660,0,35,12,1634,1,5.0,0,F,8,1,59.0,16.0,22,6.0,38,1,A,31,24
167010,0,27,0,1086,0,6.0,0,F,11,2,49.0,15.0,15,10.0,29,1,E,53,46
14927,0,45,0,420,0,,1,F,23,2,,12.0,18,7.0,30,7,A,93,33
133888,0,49,0,679,0,5.0,0,F,6,2,39.0,23.0,17,0.0,35,1,F,17,37
31262,0,47,0,412,0,,0,F,8,2,43.0,15.0,18,10.0,22,1,A,29,39
135336,0,14,0,1445,0,4.0,0,F,9,1,59.0,15.0,19,5.0,31,1,A,33,46
43764,0,26,2,912,0,4.0,0,M,23,2,74.0,22.0,17,12.0,15,8,S,69,63
143714,0,10,0,1044,0,1.0,0,F,10,4,77.0,10.0,15,0.0,39,4,A,29,32
161967,0,13,5,3228,1,6.0,0,M,29,1,77.0,10.0,17,8.0,8,15,S,125,25
110822,1,24,0,576,0,,0,F,13,1,,18.0,15,8.0,12,2,A,41,52
19961,0,27,0,722,0,2.0,0,M,11,2,,15.0,15,10.0,44,1,A,41,21
