CONTROL_NUMBER,DONATED,CLUSTER_CODE,PER_CAPITA_INCOME,RECENT_CARD_RESPONSE_COUNT,HOME_OWNER,RECENCY_STATUS_96NK,PCT_ATTRIBUTE1,RECENT_RESPONSE_PROP,DONOR_AGE,RECENT_STAR_STATUS,LIFETIME_PROM,PEP_STAR,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,INCOME_GROUP,PCT_ATTRIBUTE4,NUMBER_PROM_12,MOR_HIT_RATE,RECENT_RESPONSE_COUNT
89592,0,30,9869,3,U,S,0,0.316,84.0,1,56,1,18.0,18.17,1.0,20,14,0,6
150776,1,09,9856,2,U,S,3,0.238,55.0,1,74,1,18.0,6.62,,7,14,0,5
173200,0, .,11964,1,H,A,0,0.118,,0,69,1,19.0,7.53,3.0,0,11,0,2
176779,0,12,12832,2,H,A,0,0.286,62.0,0,25,1,18.0,8.0,5.0,41,13,9,4
105736,0,31,10206,1,U,N,0,0.1,81.0,0,17,0,24.0,25.0,1.0,26,9,2,1
30623,0,41,10714,1,U,F,2,0.167,,0,14,0,19.0,20.0,,0,10,0,1
181755,1,23,20659,5,U,S,0,0.471,,1,34,1,16.0,5.0,3.0,89,8,5,8
130671,0,34,17295,0,H,A,0,0.125,87.0,11,62,1,18.0,11.69,6.0,17,8,0,2
167121,0,34,19950,0,H,F,0,0.143,51.0,0,14,0,20.0,20.0,7.0,24,10,0,1
156473,1,07,11583,5,H,S,0,0.412,81.0,1,59,1,17.0,5.71,4.0,34,13,3,7
123380,0,40,12923,1,H,A,0,0.091,56.0,8,68,1,30.0,10.5,5.0,14,13,0,2
136442,0,31,8996,0,U,F,0,0.0,,0,12,0,,15.0,3.0,37,8,9,0
16326,0,39,12241,5,U,A,0,0.444,,0,31,1,18.0,13.0,3.0,18,14,0,8
102967,0,27,11098,1,U,A,1,0.1,39.0,5,55,1,21.0,11.22,4.0,39,13,1,2
37489,0,21,16354,3,H,S,0,0.222,41.0,1,33,1,20.0,20.4,4.0,0,13,0,4
179225,0,18,17714,2,H,A,0,0.25,57.0,0,23,1,21.0,5.6,6.0,24,12,4,3
154311,0,34,24445,1,U,F,0,0.2,,0,14,0,16.0,25.0,,56,12,0,1
118033,0,46,11609,1,U,A,0,0.154,,0,25,0,17.0,13.0,5.0,42,11,0,2
188656,0,02,21349,1,U,N,0,0.182,53.0,0,22,0,18.0,22.33,7.0,55,13,1,2
10127,0,17,16668,0,H,A,0,0.0,51.0,0,81,1,,20.86,7.0,38,28,0,0
22053,0,48,10587,2,H,A,0,0.154,77.0,0,24,0,20.0,27.5,5.0,58,13,0,2
71376,0,51,10407,3,H,S,0,0.417,55.0,1,61,1,16.0,4.7,7.0,12,11,2,5
122311,0,21,14748,3,H,A,0,0.2,,0,25,0,22.0,19.75,7.0,0,12,0,3
44567,0,29,13247,1,H,A,0,0.158,,0,35,0,21.0,6.83,2.0,74,13,0,3
38989,0,23,44774,1,U,F,0,0.2,,0,13,0,16.0,15.0,7.0,68,11,1,1
94218,0,10,18878,5,H,S,0,0.389,83.0,1,63,1,16.0,3.25,1.0,28,13,6,7
124980,0,11,16191,1,H,N,29,0.1,,0,18,0,24.0,25.0,5.0,22,10,0,1
166752,0,13,13130,2,H,A,0,0.125,53.0,0,24,0,24.0,14.0,5.0,31,10,0,2
36595,0,12,10949,0,U,A,0,0.167,64.0,0,21,0,17.0,15.0,,27,9,0,2
167376,0,15,48402,0,U,A,0,0.056,51.0,0,45,0,17.0,9.8,,50,13,0,1
146289,0,06,17392,1,H,N,0,0.143,45.0,0,15,0,23.0,25.0,7.0,30,10,0,1
27933,1,35,17607,2,U,S,2,0.167,,1,79,1,17.0,12.2,,17,14,0,3
29141,1,43,10246,1,H,A,0,0.15,50.0,0,49,1,16.0,11.86,7.0,40,13,13,3
86775,1,53,8988,3,U,S,0,0.2,,1,65,1,17.0,4.23,2.0,40,13,0,3
75515,0,24,16314,4,H,S,0,0.286,56.0,1,36,1,17.0,5.44,6.0,41,12,1,6
105415,0,53,9538,0,U,A,0,0.111,80.0,0,60,0,18.0,11.67,1.0,67,13,1,2
54992,0,40,10832,2,U,A,0,0.267,,0,50,1,22.0,14.33,,23,5,0,4
48260,0,24,19077,1,U,A,0,0.125,,16,64,1,18.0,8.6,,35,11,0,2
135286,0,02,24492,1,H,F,0,0.2,33.0,0,13,0,17.0,15.0,5.0,47,10,22,1
98267,0,44,11757,1,U,A,0,0.091,84.0,0,77,1,18.0,14.38,5.0,44,13,0,2
185194,0,43,11261,0,U,A,0,0.056,59.0,11,66,1,15.0,10.8,5.0,35,25,0,1
35653,0,12,21162,4,H,A,0,0.333,43.0,0,29,0,17.0,9.0,6.0,25,13,15,5
146182,1,06,15069,3,U,S,0,0.2,,1,60,1,17.0,8.64,2.0,48,13,0,4
86818,0,45,11064,1,U,A,0,0.118,34.0,0,21,0,20.0,20.0,1.0,21,5,0,2
50905,1,20,16926,3,H,A,1,0.222,74.0,0,37,1,16.0,8.67,5.0,34,12,0,4
51011,0,35,20816,5,H,S,0,0.3,26.0,1,45,1,16.0,3.31,6.0,12,12,0,6
70144,1,21,8656,0,U,S,0,0.143,80.0,1,74,1,20.0,13.58,4.0,28,13,1,3
182413,0,27,13834,3,H,A,1,0.222,40.0,0,30,0,21.0,16.5,5.0,30,13,3,4
39105,0,33,13567,0,H,S,0,0.1,51.0,1,75,1,17.0,4.89,4.0,68,13,5,2
180175,1,17,15721,2,U,A,0,0.143,70.0,0,71,0,24.0,14.07,,20,11,0,3
104237,0,36,11194,1,U,F,0,0.2,,0,12,0,19.0,15.0,,30,10,0,1
3825,1,18,15479,0,H,S,0,0.095,73.0,1,122,1,24.0,11.56,2.0,31,38,20,2
127997,0,44,11145,1,U,A,0,0.059,27.0,0,52,0,16.0,13.75,3.0,48,10,0,1
66762,1, .,12653,1,U,S,0,0.19,,1,76,1,15.0,8.53,2.0,0,19,0,4
134115,1,39,0,4,U,S,87,0.227,40.0,1,54,1,15.0,11.45,5.0,0,15,2,5
186830,0,08,12872,0,H,A,0,0.091,63.0,11,59,1,18.0,18.8,2.0,24,12,20,2
103426,0,36,13528,2,U,S,0,0.136,30.0,1,70,1,26.0,8.33,,44,11,0,3
57022,0,45,10805,0,U,A,0,0.067,,0,41,0,20.0,14.2,,39,13,0,1
187501,1,34,12365,2,U,E,64,0.429,,0,13,0,18.0,5.75,,0,6,0,3
43165,0,28,12921,1,H,A,1,0.045,74.0,0,57,0,25.0,17.13,2.0,44,11,5,1
45696,0,33,11443,1,H,A,0,0.143,47.0,5,81,1,17.0,9.5,2.0,61,13,7,3
37464,0,27,11260,0,U,A,0,0.059,,0,36,0,17.0,12.33,5.0,22,11,0,1
653,0,14,16840,1,H,A,2,0.1,40.0,0,92,1,19.0,18.38,7.0,18,23,0,2
54502,0,27,8662,1,H,F,0,0.2,45.0,0,13,0,17.0,15.0,4.0,35,10,0,1
95089,0,27,13381,0,U,A,0,0.133,,0,25,0,20.0,25.0,,9,13,0,2
94213,0,10,11575,5,H,S,0,0.421,38.0,1,70,1,18.0,4.32,1.0,76,11,1,8
114995,0,45,9765,1,U,A,0,0.19,,0,71,1,19.0,7.5,,47,14,0,4
173165,0,36,9541,3,H,A,0,0.333,27.0,0,25,1,15.0,5.8,5.0,37,12,0,5
190824,0,51,6810,2,U,N,0,0.286,65.0,0,17,0,17.0,8.33,7.0,36,12,0,2
99711,0,11,19201,3,H,A,0,0.316,60.0,0,52,0,18.0,5.7,4.0,22,12,8,6
90551,0,14,21855,6,H,S,0,0.438,43.0,1,29,1,17.0,5.33,5.0,20,13,2,7
16574,0,20,20378,1,H,N,0,0.429,87.0,0,18,0,15.0,8.67,4.0,54,13,3,3
155604,0,27,13921,0,H,A,0,0.176,77.0,0,48,1,15.0,16.25,5.0,28,10,2,3
170866,0,11,20470,5,H,S,0,0.333,63.0,1,29,1,17.0,7.5,4.0,14,12,0,5
22161,0,36,12572,0,U,A,1,0.0,,0,33,0,,50.0,,31,11,0,0
113753,0,45,9594,5,U,A,1,0.5,36.0,0,29,1,18.0,5.25,4.0,35,13,14,8
187259,1,13,31730,1,U,E,0,0.5,,0,7,0,16.0,15.0,,62,6,0,1
34457,0, .,8358,1,H,L,0,0.182,83.0,5,58,1,15.0,12.0,7.0,0,13,0,4
191663,1,14,9299,3,U,A,0,0.19,70.0,0,50,1,20.0,9.31,,24,8,0,4
67304,1,35,28770,2,H,A,0,0.105,49.0,0,46,0,21.0,22.25,7.0,24,14,7,2
104283,0,44,14287,0,H,A,0,0.071,61.0,0,22,0,28.0,12.5,3.0,27,10,1,1
3160,0,11,23222,2,H,A,0,0.158,87.0,0,66,0,18.0,14.0,4.0,58,30,2,3
39484,0,21,10837,3,H,A,0,0.308,69.0,0,24,1,18.0,7.5,5.0,24,13,0,4
115378,0,43,8291,0,U,A,0,0.063,,13,74,1,19.0,12.44,,37,8,0,1
125180,0,25,14586,0,U,F,0,0.143,,0,16,0,20.0,25.0,,17,11,0,1
17664,0,32,7391,0,H,E,0,0.5,59.0,0,10,0,15.0,20.0,1.0,29,8,0,1
69188,0,31,7302,1,H,A,0,0.136,48.0,0,57,1,19.0,9.64,2.0,27,13,0,3
144339,1,02,28577,1,H,A,0,0.158,31.0,0,49,0,22.0,11.67,7.0,50,12,22,3
144113,0,10,33566,1,U,A,0,0.182,,3,71,1,19.0,7.95,,0,13,0,4
101691,0,39,13184,1,U,A,0,0.2,,0,24,0,22.0,15.67,,26,11,0,3
153389,0,08,10883,1,H,A,9,0.1,55.0,0,56,0,18.0,12.86,6.0,10,13,0,2
22253,0,25,10230,2,U,S,0,0.278,87.0,1,62,1,15.0,2.95,1.0,28,12,3,5
59571,0,49,12439,1,U,A,0,0.2,,0,26,0,19.0,20.0,2.0,32,13,0,3
127878,0,30,9107,0,H,A,0,0.063,67.0,0,44,0,15.0,9.4,2.0,23,10,3,1
49791,0,44,9869,1,U,A,1,0.35,41.0,0,65,1,15.0,5.47,3.0,26,15,13,7
115384,0,49,10641,1,U,A,2,0.2,52.0,0,21,0,19.0,13.75,2.0,32,8,2,3
26675,0,41,10604,1,H,N,0,0.143,45.0,0,14,0,21.0,20.0,2.0,31,8,5,1
10384,1,24,16146,1,U,A,0,0.095,73.0,0,83,1,17.0,9.67,,5,16,0,2
174693,0,16,12726,1,U,A,1,0.118,,0,26,0,19.0,20.0,3.0,26,10,1,2
120449,0,41,11184,1,U,F,0,0.143,73.0,0,16,0,21.0,25.0,1.0,99,11,0,1
81945,1,12,20327,1,H,A,0,0.167,33.0,0,23,0,21.0,15.0,6.0,17,13,0,2
115274,0,36,12792,1,U,F,0,0.25,69.0,0,12,0,18.0,15.0,5.0,38,10,0,1
165367,0,35,52169,1,H,F,0,0.25,,0,12,0,18.0,25.0,6.0,35,10,0,1
46194,0,47,10813,0,H,A,0,0.1,82.0,0,63,1,18.0,10.67,3.0,42,13,22,2
53856,0,41,10435,0,U,A,0,0.1,55.0,0,44,0,16.0,10.33,2.0,44,13,0,2
190799,1,40,13134,2,U,S,0,0.235,67.0,1,44,1,17.0,3.06,2.0,17,11,5,4
186460,1,51,7115,2,U,A,0,0.167,,0,29,0,21.0,10.38,,31,12,0,2
71279,0,14,24259,2,U,A,1,0.111,,0,64,1,17.0,15.33,,18,14,0,2
84097,1,13,47973,1,H,F,1,0.2,87.0,0,14,0,17.0,25.0,6.0,59,11,25,1
189199,1,37,16133,1,U,E,0,0.429,,0,11,0,18.0,16.67,,45,4,0,3
79743,0,49,8948,1,U,A,0,0.095,46.0,17,61,1,19.0,9.33,2.0,29,13,0,2
168078,1,12,23786,0,H,S,0,0.19,62.0,1,70,1,19.0,13.67,7.0,16,13,5,4
57677,0,13,19021,0,H,A,0,0.3,49.0,0,46,0,16.0,6.46,7.0,23,8,0,6
154198,0,40,41431,2,U,A,0,0.231,56.0,0,25,0,19.0,10.67,,28,15,0,3
114496,0,27,15823,1,H,A,0,0.167,83.0,0,64,1,18.0,10.09,4.0,46,15,0,3
131537,1,27,9667,4,U,A,1,0.333,,0,32,1,19.0,8.44,,38,14,0,6
10614,0,39,10156,0,H,A,0,0.056,43.0,0,108,1,26.0,8.31,4.0,22,22,0,1
156712,1,06,22267,1,U,F,0,0.2,,0,15,0,17.0,17.5,,33,12,0,1
37569,0,10,5860,0,U,A,0,0.056,,0,42,0,25.0,11.75,,0,9,0,1
122939,0,35,21625,0,H,A,3,0.053,58.0,0,63,1,18.0,13.88,5.0,3,13,3,1
44431,0,29,14929,1,H,A,0,0.067,51.0,0,26,0,16.0,12.5,5.0,86,10,3,1
187532,1,35,19082,3,U,E,1,0.571,,0,15,1,18.0,15.0,,13,7,0,4
9727,1,02,81205,1,H,A,0,0.136,55.0,0,68,0,26.0,81.25,5.0,49,25,10,3
152490,0,18,16205,0,H,A,0,0.1,33.0,0,46,0,18.0,14.0,5.0,24,13,4,2
159891,0,24,19338,1,U,A,0,0.19,59.0,0,62,1,24.0,8.09,,53,11,0,4
31045,0,35,9721,2,H,S,2,0.2,37.0,1,75,1,18.0,13.38,7.0,34,14,3,4
57461,0,11,16826,5,U,S,0,0.4,,1,76,1,15.0,11.82,4.0,33,17,0,8
35463,1,22,25787,2,H,A,0,0.125,60.0,0,67,1,20.0,20.0,7.0,26,11,0,2
168738,0,20,16809,2,U,S,1,0.182,,1,42,1,17.0,16.44,2.0,30,13,0,4
141573,0,26,9720,1,U,A,0,0.105,68.0,14,64,1,19.0,5.71,,41,12,0,2
122162,0,31,8727,0,H,A,0,0.048,43.0,0,49,0,25.0,10.63,4.0,28,11,10,1
161961,0,07,34593,1,U,A,0,0.095,,0,65,1,21.0,21.33,,0,13,0,2
145521,1,02,22684,3,U,S,3,0.182,,1,90,1,19.0,13.66,,10,13,0,4
23765,0,38,11177,2,H,A,4,0.238,61.0,0,62,1,20.0,3.93,5.0,28,11,0,5
149989,0,12,16084,0,H,S,0,0.182,51.0,1,75,1,17.0,12.5,7.0,10,14,0,4
130401,0,15,19190,3,U,S,0,0.3,61.0,1,78,1,17.0,4.6,,52,14,0,6
20271,0,36,6126,1,U,A,0,0.1,,0,54,0,20.0,11.57,,29,13,0,2
177151,0,46,11636,2,U,A,0,0.158,,0,59,1,19.0,8.82,,43,15,0,3
167755,1,13,43571,0,H,A,0,0.063,56.0,0,42,0,19.0,13.0,6.0,41,10,9,1
106846,0,35,14154,1,H,N,41,0.1,,0,15,0,24.0,20.0,2.0,5,7,3,1
23730,0,39,9932,2,H,A,0,0.143,53.0,5,56,1,21.0,22.13,5.0,28,13,11,3
174209,0,02,26943,1,H,A,2,0.143,71.0,0,48,0,16.0,14.71,4.0,43,13,16,3
2170,1,38,15965,7,H,S,0,0.333,67.0,1,90,1,11.0,7.61,3.0,39,29,0,7
184591,0,25,20078,1,H,A,16,0.105,59.0,0,73,1,20.0,16.62,6.0,0,13,20,2
185309,1,27,14381,6,U,S,0,0.4,65.0,1,79,1,15.0,5.2,,21,19,0,8
57976,0,30,10855,1,H,A,0,0.136,76.0,0,57,1,16.0,11.55,2.0,53,13,0,3
165048,0,27,15624,2,H,A,0,0.095,35.0,0,46,0,23.0,25.2,5.0,13,12,1,2
43537,0,10,0,1,U,S,0,0.105,60.0,1,71,1,24.0,25.0,,0,13,0,2
24008,0,42,17036,1,U,A,0,0.056,85.0,0,63,0,17.0,13.57,1.0,40,13,9,1
124931,0,49,11273,3,H,S,2,0.19,,1,47,1,16.0,10.89,5.0,26,14,0,4
52457,0,34,20636,2,H,A,0,0.15,37.0,0,66,1,16.0,11.58,5.0,38,12,4,3
85067,0,45,10665,2,U,N,0,0.182,69.0,0,20,0,19.0,15.0,1.0,42,12,0,2
77703,0,44,13949,2,H,A,0,0.125,,0,63,0,23.0,13.25,2.0,26,10,0,2
143581,0,01,11877,1,H,L,0,0.053,46.0,0,32,0,15.0,11.75,6.0,27,11,4,1
35181,1,12,28892,2,U,A,0,0.136,65.0,5,80,1,18.0,20.88,,16,13,0,3
142705,0,07,7189,1,U,A,3,0.15,53.0,0,28,0,21.0,13.5,,45,6,0,3
36474,1,29,22670,3,H,A,0,0.238,83.0,0,58,1,21.0,6.17,6.0,78,11,12,5
62966,0,12,22388,3,U,S,0,0.2,,1,60,1,21.0,7.76,7.0,13,13,1,4
29724,1,43,9796,2,H,S,3,0.333,61.0,1,69,1,15.0,5.61,1.0,19,12,0,6
18345,0,47,9448,1,H,A,0,0.105,61.0,0,64,1,16.0,5.08,1.0,32,12,0,2
128079,0,44,16243,1,H,A,3,0.091,,7,73,1,19.0,15.6,3.0,32,14,0,2
77647,0,40,16591,5,H,S,0,0.421,37.0,1,53,1,18.0,11.95,4.0,33,14,0,8
49223,0,34,18070,2,H,A,1,0.125,71.0,0,32,0,22.0,11.67,2.0,36,10,4,2
155426,0,08,11072,1,U,F,0,0.2,56.0,0,14,0,17.0,15.0,2.0,28,11,0,1
63209,0,43,10636,2,H,A,0,0.133,23.0,0,25,0,25.0,15.67,3.0,33,11,0,2
5420,0,11,46496,3,U,S,0,0.333,36.0,1,80,1,19.0,6.59,5.0,46,8,3,5
74472,0,49,11966,0,U,A,0,0.071,70.0,0,31,1,26.0,12.5,4.0,28,6,0,1
94307,1,07,13817,3,H,S,0,0.389,77.0,1,46,1,16.0,9.17,1.0,54,9,7,7
151768,0,20,17171,3,H,A,0,0.19,50.0,3,58,1,22.0,5.89,6.0,63,13,1,4
141786,0,24,22875,5,H,S,0,0.444,75.0,1,47,1,18.0,5.42,2.0,59,12,1,8
135763,0,08,13293,1,H,A,1,0.15,51.0,0,32,0,23.0,8.0,4.0,19,11,0,3
65322,0,17,19190,1,U,A,0,0.053,66.0,0,53,0,16.0,12.83,,47,14,0,1
23417,0,51,10769,0,H,A,0,0.091,70.0,0,43,0,18.0,31.25,5.0,40,15,6,2
128493,0,44,10708,2,U,A,0,0.167,,0,53,0,21.0,12.71,,33,11,0,2
11053,0,24,16252,0,U,A,3,0.1,71.0,0,97,0,26.0,8.37,,36,28,0,2
140010,0,35,32034,1,H,A,0,0.1,61.0,0,47,0,24.0,13.0,4.0,60,11,0,2
131675,0,27,11959,2,H,A,9,0.278,83.0,0,32,0,19.0,10.0,4.0,24,12,11,5
20035,0,38,10064,1,H,F,53,0.143,75.0,0,15,0,20.0,20.0,2.0,13,10,0,1
112101,0,51,9542,0,H,A,0,0.1,,0,36,0,24.0,7.0,1.0,38,9,1,1
93537,0,10,7157,1,U,A,0,0.167,,0,42,0,16.0,21.5,,42,14,0,2
31247,0,51,6562,1,U,S,0,0.182,85.0,1,79,1,16.0,11.2,1.0,31,14,0,4
54828,1,50,6834,4,H,S,0,0.25,71.0,1,59,1,16.0,7.82,3.0,37,16,0,5
12547,0,16,13519,1,H,A,5,0.143,79.0,3,91,1,19.0,10.91,5.0,44,29,9,3
172314,0,13,46647,0,U,A,0,0.1,60.0,0,58,0,18.0,8.71,,65,13,0,2
148779,0,02,16535,2,H,N,0,0.333,78.0,0,19,0,16.0,6.25,4.0,47,11,4,3
42021,0,10,9481,0,H,A,0,0.182,39.0,0,22,0,20.0,12.5,2.0,54,11,0,2
166337,1,13,60492,0,H,N,0,0.0,43.0,0,13,0,,15.0,7.0,49,8,0,0
95261,0,49,11968,3,H,A,1,0.263,,0,32,1,17.0,4.43,1.0,31,14,20,5
77279,0,44,13557,2,H,A,0,0.105,45.0,12,79,1,23.0,13.26,4.0,20,11,1,2
138945,1,28,16919,0,H,A,0,0.059,68.0,0,25,0,24.0,11.0,5.0,67,9,5,1
9942,0,18,17433,0,U,A,3,0.0,46.0,0,76,0,,38.0,,37,26,0,0
151054,1,20,18096,2,H,S,0,0.19,79.0,1,85,1,19.0,12.04,5.0,32,14,1,4
157518,0,13,34760,1,H,F,0,0.143,71.0,0,13,0,21.0,15.0,6.0,49,8,16,1
18921,0,49,11269,1,H,E,0,0.154,57.0,0,34,0,15.0,8.5,5.0,37,9,0,2
86899,0,27,12896,2,H,A,1,0.214,57.0,0,25,0,22.0,11.67,4.0,34,12,0,3
17567,0,15,23154,1,U,A,0,0.1,,0,20,0,24.0,14.0,5.0,13,9,0,1
151625,0,10,12849,3,U,S,4,0.25,,1,36,1,18.0,8.43,,85,12,0,4
52787,0,24,28424,2,U,A,2,0.118,41.0,0,31,0,16.0,10.5,4.0,50,13,0,2
73299,0,41,8708,2,H,A,0,0.267,87.0,0,26,0,15.0,16.6,4.0,39,13,2,4
82409,0,36,14925,6,H,A,0,0.409,,0,40,1,21.0,9.08,4.0,57,12,10,9
122850,0,02,24465,1,H,A,0,0.167,65.0,0,50,1,17.0,6.89,2.0,30,13,5,3
89572,0,27,8741,1,H,F,0,0.2,45.0,0,13,0,16.0,15.0,4.0,29,11,0,1
47137,0,32,9542,1,H,A,4,0.182,49.0,0,31,0,21.0,9.67,3.0,43,10,0,2
62281,0,27,13116,2,U,N,0,0.286,,0,16,0,18.0,17.5,2.0,17,13,0,2
4300,0, .,15011,3,U,A,0,0.278,68.0,0,122,1,17.0,10.64,4.0,0,38,0,5
58154,0,51,5719,3,U,S,0,0.222,,1,60,1,20.0,3.17,,37,9,0,4
155973,0,27,17990,4,U,A,4,0.316,,0,33,1,19.0,7.32,,13,13,0,6
18200,0,47,12464,1,U,A,0,0.214,53.0,0,28,0,19.0,10.5,7.0,33,15,0,3
155078,0,49,12076,1,H,A,0,0.1,50.0,0,37,0,16.0,10.5,5.0,28,13,0,2
17118,0,46,16193,0,U,E,0,0.5,,0,10,0,15.0,15.0,2.0,62,8,0,1
168189,1,02,23035,3,H,N,0,0.308,47.0,0,23,1,15.0,8.0,6.0,14,13,0,4
168666,0,03,13469,7,U,S,0,0.5,,1,34,1,17.0,4.0,,46,13,0,9
80715,0,41,15169,7,U,S,0,0.667,7.0,1,70,1,15.0,4.63,,75,14,0,12
25393,0,27,14058,0,H,A,0,0.188,55.0,0,59,0,19.0,21.57,4.0,27,13,2,3
46201,1,14,28668,2,H,N,0,0.25,67.0,0,23,1,21.0,15.0,7.0,23,13,0,3
2244,0,17,11988,3,H,A,0,0.176,53.0,7,70,1,21.0,17.78,5.0,18,27,10,3
71100,0,40,13225,2,H,S,0,0.278,,1,56,1,16.0,6.36,6.0,35,14,1,5
81180,0,49,10524,1,U,A,1,0.118,51.0,0,30,0,15.0,13.67,3.0,21,11,3,2
