CONTROL_NUMBER,DONATED,CLUSTER_CODE,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,LIFETIME_GIFT_AMOUNT,IN_HOUSE,SES,PUBLISHED_PHONE,OVERLAY_SOURCE,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,MEDIAN_HOUSEHOLD_INCOME,LAST_GIFT_AMT,MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,WEALTH_RATING,MONTHS_SINCE_LAST_GIFT,DONOR_GENDER
92121,1,40,20.0,15.0,45.0,0,2,1,B,A,3,449,15.0,29,33.0,78,,20,M
74303,1,45,16.0,17.14,120.0,0,2,0,P,A,4,225,25.0,53,57.0,81,2.0,16,M
70146,1,40,16.0,6.88,165.0,0,2,1,B,S,4,509,12.0,137,59.0,94,8.0,16,F
13887,0,45,15.0,5.73,149.0,1,2,1,B,S,3,211,10.0,137,77.0,70,5.0,15,M
98147,0,53,18.0,16.0,32.0,0,3,0,M,A,2,196,17.0,29,,79,,18,M
959,1,28,24.0,7.3,73.0,0,2,1,B,A,3,349,15.0,89,53.0,89,8.0,24,F
109427,0,51,15.0,13.0,52.0,0,3,0,N,A,2,166,20.0,53,,89,,15,F
185517,1,13,18.0,8.57,60.0,1,1,1,B,A,6,607,0.0,29,64.0,88,,8,M
59622,0,39,16.0,7.89,71.0,0,2,0,B,A,3,236,10.0,101,71.0,65,,16,M
10151,0,25,,12.0,144.0,0,2,1,P,A,0,140,18.0,137,62.0,14,1.0,26,M
176806,0,23,16.0,36.11,325.0,0,1,0,N,A,1,321,50.0,113,47.0,55,7.0,16,M
47418,0,13,18.0,11.67,70.0,0,1,1,B,A,3,523,15.0,41,22.0,78,,18,F
116394,0,46,17.0,15.0,30.0,0,2,0,N,A,2,282,25.0,29,,76,,17,F
152745,0,24,25.0,11.08,144.0,0,1,0,M,A,1,483,15.0,125,,75,0.0,25,U
36588,0,19,,20.0,20.0,0,2,1,B,N,0,403,20.0,29,38.0,92,,22,F
58447,1,40,16.0,9.2,46.0,0,2,1,B,A,4,300,10.0,41,67.0,57,,16,F
133828,0,45,26.0,12.67,76.0,0,2,0,P,A,1,192,15.0,89,45.0,63,6.0,26,M
22007,0,43,21.0,13.57,95.0,0,2,0,P,A,1,223,15.0,77,50.0,75,3.0,21,M
36518,0,21,19.0,15.0,60.0,0,3,0,N,S,4,267,15.0,29,,60,,19,M
189826,0,48,18.0,12.0,120.0,1,2,0,B,S,6,184,15.0,65,,77,2.0,18,M
151587,0,07,16.0,6.69,107.0,0,2,0,N,S,2,187,16.0,125,58.0,27,6.0,16,U
73786,1,12,17.0,8.0,56.0,0,1,1,B,S,4,558,10.0,53,74.0,72,9.0,17,M
100501,0,12,17.0,9.75,39.0,0,1,1,B,A,4,485,10.0,29,,86,,17,M
133660,0,24,23.0,10.33,31.0,0,1,0,N,A,1,201,16.0,41,,35,,23,F
90674,0,01,26.0,13.67,82.0,0,1,1,P,A,1,352,20.0,89,75.0,43,8.0,26,U
133163,1,39,19.0,15.0,30.0,0,2,1,B,N,2,188,20.0,29,52.0,65,,19,M
31631,0,27,26.0,18.33,55.0,0,2,1,B,A,1,302,25.0,41,,77,,26,F
151547,1,08,,15.0,15.0,0,3,1,B,N,0,228,15.0,29,65.0,46,,23,M
147801,0,13,18.0,7.24,123.0,0,1,1,B,A,1,587,14.0,137,85.0,70,8.0,18,M
126195,0,15,15.0,20.0,20.0,0,1,1,B,F,1,291,20.0,17,47.0,64,,15,F
109592,0,43,18.0,7.67,69.0,0,2,0,B,A,2,228,14.0,137,70.0,85,5.0,18,M
90842,0,27,17.0,10.14,71.0,0,2,1,B,A,1,370,20.0,77,73.0,93,5.0,17,M
177131,1,27,17.0,12.25,49.0,0,2,1,M,N,3,223,10.0,29,76.0,52,,15,F
143845,0,02,29.0,18.57,130.0,0,1,0,N,A,1,521,25.0,77,64.0,84,7.0,18,U
65115,0,41,17.0,16.25,65.0,0,3,0,P,N,2,280,10.0,17,,83,,15,F
54966,0,50,18.0,11.11,100.0,0,3,0,B,A,1,165,20.0,137,57.0,80,1.0,18,M
8730,0,30,17.0,8.83,353.0,1,3,0,N,S,8,573,10.0,137,,84,1.0,17,F
116715,0,06,15.0,8.23,247.0,0,2,1,B,S,7,400,10.0,89,53.0,79,8.0,15,F
157307,1,03,16.0,25.0,25.0,0,1,0,P,F,1,481,25.0,17,37.0,48,,16,M
11317,1,40,16.0,7.08,85.0,1,2,1,B,S,7,274,9.0,41,69.0,66,7.0,16,F
10594,0,35,26.0,10.38,135.0,1,1,0,N,A,3,412,12.0,113,,78,1.0,26,M
73272,1,40,18.0,12.88,103.0,0,2,1,B,A,1,437,25.0,137,74.0,83,6.0,18,F
88508,0,40,19.0,8.77,114.0,0,2,0,P,S,7,357,10.0,41,57.0,46,7.0,19,M
126080,0,01,17.0,6.0,30.0,0,1,1,B,A,4,157,10.0,41,76.0,5,,17,F
169589,0,40,21.0,15.0,15.0,0,2,0,N,F,1,263,15.0,17,,71,,21,F
88797,0,12,26.0,26.25,210.0,0,1,0,N,A,1,454,35.0,137,41.0,78,7.0,26,F
55755,0,23,17.0,10.86,76.0,0,1,1,B,A,7,429,12.0,41,66.0,89,,17,F
70835,1,51,18.0,6.11,55.0,0,3,1,B,A,5,207,7.0,101,78.0,88,1.0,18,F
89033,0,19,16.0,32.43,227.0,0,2,0,N,A,5,356,40.0,41,,65,7.0,16,M
91942,1,16,17.0,3.59,97.0,0,2,0,M,S,8,357,5.0,137,74.0,98,5.0,17,M
86420,1,40,15.0,5.08,122.0,0,2,0,B,S,7,408,5.0,125,54.0,81,8.0,15,F
147904,1,13,24.0,12.14,85.0,0,1,0,P,A,3,630,16.0,77,82.0,96,9.0,24,F
157322,0,13,16.0,12.4,62.0,0,1,1,B,S,2,922,16.0,53,75.0,90,9.0,16,F
22106,0,46,26.0,20.71,145.0,0,2,1,B,A,1,237,30.0,137,49.0,74,3.0,26,F
33064,0,24,16.0,8.67,26.0,0,1,0,B,N,3,406,7.0,17,44.0,73,,16,M
92301,0,14,22.0,8.75,35.0,0,1,1,B,A,3,878,10.0,29,67.0,96,,18,M
34457,0, .,15.0,12.0,120.0,0,?,0,P,L,4,163,20.0,89,83.0,69,0.0,15,F
168557,0,13,17.0,30.0,120.0,0,1,1,B,A,1,564,35.0,77,7.0,95,8.0,17,F
100077,0,10,20.0,25.0,25.0,0,4,0,N,F,1,154,25.0,17,,42,,20,F
101098,0,24,20.0,7.45,82.0,0,1,1,B,A,3,479,11.0,89,70.0,65,9.0,20,F
40096,0,30,16.0,13.0,26.0,0,3,1,B,N,2,197,16.0,17,75.0,32,,16,F
41447,0,12,19.0,6.13,49.0,0,1,0,N,A,5,232,10.0,41,,7,,19,F
17820,0,14,22.0,9.17,266.0,0,1,0,N,S,2,535,10.0,137,,85,9.0,22,F
125133,0,13,19.0,7.6,38.0,0,1,1,P,A,1,672,15.0,65,35.0,92,,19,F
38245,1,07,16.0,10.0,50.0,0,2,0,B,A,2,344,20.0,65,67.0,67,,16,M
49925,0,15,21.0,9.0,207.0,0,1,1,P,S,5,419,10.0,137,59.0,79,9.0,21,F
170621,0,02,16.0,4.71,80.0,0,1,1,B,A,2,488,11.0,137,61.0,84,,16,M
138074,0,12,21.0,10.56,95.0,0,1,1,N,S,5,485,10.0,53,41.0,75,7.0,21,M
118346,0,36,26.0,8.25,66.0,0,2,1,B,A,1,199,25.0,137,84.0,69,,26,M
41384,1,21,19.0,9.43,132.0,0,3,0,P,S,5,318,13.0,77,46.0,46,6.0,19,F
130375,0,11,19.0,14.14,99.0,0,1,0,M,A,2,396,25.0,113,53.0,74,7.0,19,M
121673,0,01,17.0,15.25,61.0,0,1,1,B,A,2,173,30.0,65,34.0,41,4.0,17,F
18262,0,24,18.0,6.11,110.0,0,1,1,B,S,11,452,8.0,65,63.0,84,,18,M
9218,0,37,18.0,9.25,259.0,1,2,0,P,A,4,241,16.0,137,81.0,86,3.0,18,M
19647,0,17,16.0,7.89,71.0,0,2,1,B,A,2,289,15.0,89,85.0,22,,16,F
99685,0,18,21.0,5.07,76.0,0,2,1,B,S,6,419,5.0,113,42.0,83,,21,M
164912,0,13,17.0,12.5,50.0,0,1,0,P,A,3,619,13.0,29,45.0,95,,17,F
58130,1,51,17.0,5.11,138.0,0,3,0,P,S,5,149,15.0,113,,81,1.0,17,F
72425,0,45,18.0,8.25,33.0,0,2,1,B,A,4,290,10.0,29,50.0,93,,18,M
138966,0, .,21.0,15.0,15.0,0,?,1,P,F,1,241,15.0,17,65.0,63,,21,M
184691,0,24,20.0,12.75,51.0,0,1,1,B,A,3,642,15.0,41,67.0,83,,20,F
162833,0,03,18.0,9.0,45.0,0,1,0,N,A,1,342,15.0,77,,49,,18,F
108995,0,24,20.0,12.0,144.0,0,1,0,B,S,4,595,16.0,101,70.0,86,,20,M
179028,0,20,17.0,13.5,81.0,0,2,0,N,A,4,396,30.0,41,,62,,17,M
26607,0, .,17.0,15.71,110.0,0,?,1,M,A,1,365,20.0,101,,85,3.0,17,M
71704,0,15,25.0,10.44,94.0,0,1,1,B,A,3,397,15.0,101,59.0,42,7.0,25,M
6123,0,35,17.0,13.78,261.9,1,1,1,B,S,4,474,19.0,137,17.0,92,7.0,17,M
63990,1,36,19.0,23.33,70.0,0,2,0,P,A,3,244,25.0,29,53.0,74,,19,M
76165,1,30,22.0,10.6,106.0,0,3,1,B,S,7,314,10.0,41,78.0,61,,22,F
40388,0,40,22.0,9.78,88.0,0,2,1,B,A,2,410,15.0,113,43.0,93,,22,M
132459,0,42,20.0,11.67,35.0,0,1,0,P,A,3,319,15.0,29,41.0,63,,20,M
21539,1,46,18.0,3.66,106.0,0,2,0,P,S,8,334,3.0,113,57.0,85,8.0,18,M
1329,0, .,17.0,11.25,45.0,0,?,0,P,N,3,259,14.0,29,65.0,59,,17,M
33069,1,27,18.0,13.0,26.0,0,2,1,P,A,2,254,20.0,29,29.0,55,,18,F
147989,0,07,17.0,7.77,171.0,0,2,1,B,A,1,251,10.0,137,81.0,13,,17,M
160827,0,27,20.0,8.33,25.0,0,2,0,N,N,2,453,10.0,17,,71,,18,F
142705,0,07,21.0,13.5,54.0,0,2,0,N,A,3,153,16.0,41,53.0,34,,21,F
138180,0,33,17.0,14.78,532.0,0,3,1,N,S,11,354,28.0,77,,29,9.0,17,M
111136,0,37,17.0,8.18,90.0,0,2,1,B,A,2,194,25.0,113,76.0,67,3.0,17,M
103452,0,53,15.0,7.2,36.0,0,3,1,B,A,5,191,6.0,29,54.0,76,,15,M
5059,0,37,24.0,11.63,93.0,1,2,1,M,A,2,366,15.0,77,,96,5.0,24,F
17967,0,50,26.0,10.75,43.0,0,3,0,P,A,2,215,20.0,29,,63,,26,M
35355,1,35,19.0,4.59,101.0,0,1,0,B,S,7,422,5.0,101,86.0,86,8.0,18,M
171143,1,42,17.0,23.57,165.0,0,1,0,N,A,5,385,32.0,41,66.0,73,3.0,17,M
69997,1,40,18.0,15.54,202.0,0,2,1,B,A,5,545,30.0,137,,96,9.0,18,M
73946,0,45,20.0,7.55,83.0,0,2,1,N,A,1,215,10.0,113,,86,,18,M
167538,1,07,18.0,11.5,46.0,0,2,0,N,A,3,325,15.0,41,65.0,54,,18,F
113728,1,28,20.0,15.0,15.0,0,2,1,B,F,1,244,15.0,17,78.0,73,,20,M
71616,1,18,26.0,27.63,221.0,0,2,1,M,A,4,397,34.0,65,41.0,94,6.0,15,M
1101,1,43,13.0,11.58,278.0,0,2,0,P,A,8,198,15.0,101,55.0,71,2.0,9,F
88116,0,22,17.0,6.68,127.0,0,1,1,B,S,4,869,5.0,137,85.0,96,6.0,16,F
23773,0,11,18.0,10.5,42.0,0,1,0,N,A,4,61,25.0,29,,8,,18,M
27042,0,43,20.0,15.0,15.0,0,2,0,P,F,1,269,15.0,17,71.0,82,,20,M
188191,0,22,19.0,15.57,109.0,0,1,1,N,E,3,363,20.0,137,,53,1.0,19,M
167615,0,17,16.0,25.0,25.0,0,2,0,N,F,1,304,25.0,17,,10,,16,M
181429,0,44,18.0,7.0,49.0,0,2,1,P,A,3,306,15.0,41,,88,,18,U
73296,0,36,21.0,15.0,15.0,0,2,1,B,F,1,201,15.0,17,80.0,47,,21,F
68404,0,02,21.0,7.0,112.0,0,1,1,B,A,2,533,12.0,113,67.0,98,8.0,21,M
189394,0,50,24.0,14.69,191.0,1,3,0,B,S,4,323,10.0,89,77.0,62,1.0,24,F
106058,0,36,19.0,9.71,68.0,0,2,0,N,A,2,287,20.0,101,58.0,80,6.0,19,F
189200,0,29,21.0,15.0,30.0,0,2,1,N,E,1,295,20.0,41,,88,,21,F
58174,0,51,23.0,11.56,104.0,0,3,1,N,S,6,130,18.0,41,,77,,23,F
89998,0,18,20.0,11.0,77.0,0,2,0,P,A,2,473,17.0,77,61.0,89,7.0,20,M
30331,0,40,17.0,8.94,143.0,0,2,0,B,A,2,404,12.0,137,51.0,88,7.0,17,F
163480,0,01,18.0,12.5,25.0,0,1,1,P,A,2,446,20.0,29,45.0,81,,18,F
1799,1,27,16.0,9.24,194.0,0,2,1,B,A,8,358,9.0,77,,83,9.0,4,M
35953,0,18,17.0,10.0,30.0,0,2,1,M,N,2,347,10.0,17,57.0,83,,17,F
23073,0,35,20.0,20.0,20.0,0,1,0,N,F,1,421,20.0,17,,88,,20,U
30255,0,27,17.0,9.84,187.0,0,2,1,B,S,4,232,12.0,89,84.0,53,3.0,17,M
177083,0,27,24.0,15.0,15.0,0,2,0,P,N,1,258,15.0,29,47.0,67,,24,M
29589,1,21,18.0,8.17,147.0,0,3,0,N,S,5,282,8.0,65,49.0,86,3.0,18,M
80508,0,42,15.0,4.8,72.0,0,1,1,B,A,4,440,5.0,137,78.0,91,8.0,15,F
83656,0,01,21.0,25.0,25.0,0,1,0,P,F,1,453,25.0,17,25.0,92,,21,F
21484,0,41,19.0,15.0,15.0,0,3,0,P,F,1,236,15.0,17,57.0,73,,19,F
3660,0,18,16.0,13.73,206.0,0,2,1,M,A,8,400,20.0,77,,81,5.0,15,M
124810,0, .,21.0,10.11,192.0,0,?,1,B,S,4,326,15.0,113,49.0,84,8.0,21,M
20593,0,40,17.0,15.0,45.0,0,2,0,P,A,2,261,20.0,41,,54,3.0,17,F
120066,0,36,21.0,16.0,32.0,0,2,0,P,A,1,263,17.0,41,49.0,73,,21,F
35700,1,17,16.0,7.84,149.0,0,2,0,B,S,4,271,3.0,77,39.0,21,6.0,15,F
111795,1, .,22.0,5.0,75.0,0,?,0,N,A,2,208,5.0,137,,58,,18,U
18953,1,14,17.0,7.33,110.0,0,1,0,P,S,6,580,11.0,113,54.0,96,9.0,17,F
187611,0,40,17.0,11.0,66.0,0,2,0,N,E,3,415,15.0,41,,89,,17,F
79263,0,24,25.0,12.33,37.0,0,1,1,B,A,3,456,15.0,29,53.0,93,,25,F
50869,0,18,19.0,12.0,180.0,0,2,0,P,A,2,361,20.0,137,47.0,83,,19,F
90493,0,24,20.0,12.31,160.0,0,1,1,B,A,1,623,25.0,125,69.0,97,,20,F
58528,0,50,16.0,16.83,101.0,0,3,1,B,A,1,168,25.0,65,46.0,78,7.0,16,M
137393,0, .,17.0,20.0,20.0,0,?,0,P,F,1,191,20.0,17,,94,,17,M
171475,0,16,15.0,20.0,40.0,0,2,0,B,L,2,408,15.0,29,73.0,83,,15,F
108684,0,30,16.0,20.0,20.0,0,3,1,B,F,1,188,20.0,17,51.0,65,,16,M
121863,0,21,15.0,12.5,25.0,0,3,0,B,A,2,223,15.0,29,,72,,15,U
70597,0,43,16.0,10.17,61.0,0,2,0,P,A,5,229,14.0,41,55.0,91,,16,F
171227,1,16,16.0,7.6,38.0,0,2,0,N,A,3,354,10.0,41,,72,,16,M
14504,0,40,23.0,10.3,237.0,1,2,1,B,A,3,368,20.0,137,58.0,75,7.0,23,M
27310,1,39,18.0,10.0,20.0,0,2,1,B,A,2,457,15.0,29,76.0,90,,18,M
107709,0,40,26.0,28.33,85.0,0,2,0,B,A,2,260,30.0,41,,67,,26,M
62482,0,25,20.0,8.17,98.0,0,2,0,N,S,2,314,10.0,125,41.0,33,6.0,20,F
74021,0,51,24.0,4.79,115.0,0,3,0,P,S,8,226,5.0,77,,88,1.0,24,F
177394,0,27,17.0,7.33,44.0,0,2,0,B,A,4,374,11.0,65,51.0,79,7.0,17,F
6695,1,27,15.0,5.65,192.0,1,2,1,B,S,7,299,8.0,137,31.0,62,3.0,15,M
25576,1,11,16.0,7.82,86.0,0,1,1,B,A,1,317,15.0,89,83.0,55,7.0,16,M
161135,0,36,20.0,8.8,44.0,0,2,1,P,A,4,222,11.0,41,,59,,20,M
155642,1,25,17.0,9.0,90.0,0,2,0,N,S,5,176,13.0,53,,13,1.0,17,U
26283,0,27,17.0,16.67,50.0,0,2,0,P,A,2,489,20.0,41,37.0,91,,17,F
24330,0,39,15.0,8.0,32.0,0,2,0,N,A,4,323,7.0,29,,92,,15,F
11887,0, .,25.0,75.25,602.0,1,?,1,M,A,2,544,198.0,41,40.0,59,8.0,4,M
43974,1,18,18.0,3.82,42.0,0,2,1,B,A,6,452,6.0,77,51.0,87,,18,M
168032,0,13,15.0,15.0,45.0,0,1,1,B,L,2,472,15.0,29,69.0,72,,15,M
37427,0,02,18.0,13.75,110.0,0,1,0,P,A,3,496,25.0,77,55.0,62,9.0,18,F
79924,0,53,15.0,3.32,73.0,0,3,1,N,E,3,218,10.0,89,77.0,70,2.0,15,M
111942,0,51,24.0,11.5,69.0,0,3,0,N,A,3,176,15.0,77,,86,1.0,24,F
88862,0,14,24.0,20.0,20.0,0,1,0,P,N,1,964,20.0,29,53.0,98,,24,F
33922,0,17,22.0,18.0,36.0,0,2,1,B,A,2,277,21.0,29,57.0,49,,22,M
128431,0,22,18.0,12.5,25.0,0,1,0,N,A,2,519,15.0,29,,87,,18,F
131419,0,35,15.0,9.67,58.0,0,1,1,M,A,3,477,10.0,41,,89,8.0,15,M
41297,0,09,15.0,9.67,58.0,0,3,1,B,A,2,157,15.0,77,58.0,34,5.0,15,M
162785,0,19,19.0,12.33,37.0,0,2,0,P,A,1,404,15.0,41,57.0,66,,19,M
826,0,41,12.0,11.58,220.0,0,3,0,N,A,9,178,16.0,65,17.0,80,1.0,4,F
50546,0,44,21.0,15.43,108.0,0,2,1,B,A,2,423,20.0,65,49.0,84,5.0,21,F
25441,0,40,18.0,4.64,51.0,0,2,0,N,S,5,377,5.0,41,,82,,18,F
73740,1,17,25.0,8.2,41.0,0,2,0,N,A,1,274,15.0,77,,79,,25,M
191110,0,12,16.0,20.0,20.0,0,1,1,P,F,1,556,20.0,17,43.0,84,,16,F
15668,1,44,26.0,9.33,28.0,0,2,1,B,A,1,383,20.0,77,56.0,78,,26,M
15648,1,28,22.0,8.95,197.0,0,2,1,B,A,3,379,16.0,137,,44,5.0,22,F
119190,0,40,19.0,20.0,60.0,0,2,1,B,A,2,326,20.0,65,72.0,58,6.0,19,M
86787,0,41,18.0,41.2,824.0,0,3,1,B,S,4,200,90.0,137,,71,0.0,18,M
172329,0,30,15.0,8.67,26.0,0,3,0,P,N,3,270,11.0,29,61.0,69,,15,F
126367,0,41,20.0,12.67,114.0,0,3,1,M,A,3,168,20.0,137,,85,2.0,20,F
79868,1,49,15.0,9.5,95.0,0,2,0,P,A,2,274,15.0,137,74.0,75,3.0,15,M
7452,0,24,15.0,12.79,179.0,1,1,1,B,L,2,432,27.0,137,86.0,78,7.0,15,F
162945,1,10,18.0,4.5,99.0,0,4,1,B,S,8,132,5.0,101,85.0,1,0.0,18,F
2087,0,39,15.0,6.27,94.0,0,2,0,P,A,9,290,5.0,41,,62,,15,M
170652,1,07,18.0,12.17,73.0,0,2,0,P,A,3,290,20.0,65,69.0,38,3.0,18,F
63238,0,41,18.0,7.22,65.0,0,3,0,B,A,2,354,15.0,137,65.0,88,,18,F
18256,0,34,23.0,7.89,71.0,0,1,1,B,A,6,388,10.0,41,67.0,72,,23,F
67961,1,08,22.0,15.0,45.0,0,3,0,N,A,2,293,15.0,41,45.0,57,4.0,22,U
27010,1,40,17.0,10.38,249.0,0,2,0,B,A,1,468,12.0,137,,71,7.0,17,U
79116,1,27,16.0,5.0,40.0,0,2,1,M,A,5,311,5.0,65,61.0,58,,16,F
176450,0,49,18.0,4.29,73.0,0,2,1,N,A,5,301,5.0,137,,82,,18,F
39115,0,08,15.0,9.2,46.0,0,3,1,B,A,4,270,9.0,29,75.0,80,,15,F
