CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_STAR_STATUS,CARD_PROM_12,FREQUENCY_STATUS_97NK,DONOR_GENDER,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,LIFETIME_PROM,PCT_OWNER_OCCUPIED,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,LIFETIME_GIFT_AMOUNT,WEALTH_RATING,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_PROP,FILE_AVG_GIFT,RECENT_CARD_RESPONSE_PROP
158082,0,06,1,6,2,U,18,21.0,55,75,458,4,185.0,7.0,26.0,22.67,0.182,16.82,0.273
148336,0,11,0,4,1,F,18,10.0,22,73,483,2,30.0,,20.0,15.0,0.143,15.0,0.333
83200,0,14,0,6,1,M,19,15.0,38,91,547,2,75.0,9.0,25.0,0.0,0.1,18.75,0.0
39105,0,33,1,6,2,F,17,7.0,75,65,236,2,93.0,4.0,10.0,0.0,0.1,4.89,0.0
177487,0,37,0,4,1,M,19,0.0,13,0,0,1,15.0,,15.0,0.0,0.2,15.0,0.0
150172,0,19,0,6,1,F,23,5.0,25,69,447,1,45.0,,25.0,20.0,0.071,22.5,0.143
94884,1,18,0,6,1,M,18,10.0,42,72,388,1,90.0,7.0,35.0,0.0,0.053,30.0,0.0
150818,0,08,0,6,1,M,23,15.0,69,60,245,2,345.0,1.0,20.0,20.0,0.091,18.16,0.091
65415,0,13,0,6,3,F,16,6.0,20,98,425,3,38.0,,16.0,13.0,0.375,12.67,0.5
46619,0,37,0,6,3,F,18,7.0,34,61,318,3,43.0,7.0,12.0,0.0,0.231,8.6,0.0
166353,0,13,0,6,3,U,20,20.0,42,97,1186,4,101.0,9.0,25.0,21.25,0.211,16.83,0.444
71862,0,39,1,6,3,F,15,7.0,34,83,261,5,58.0,2.0,10.0,10.0,0.294,8.29,0.444
139282,1,13,0,4,1,M,18,12.0,48,66,497,2,65.0,,17.0,17.0,0.118,13.0,0.286
187686,0, .,0,2,2,M,16,20.0,17,99,671,2,40.0,,25.0,10.0,0.25,13.33,0.25
134516,0,06,0,6,1,M,18,20.0,39,89,384,2,53.0,7.0,25.0,0.0,0.105,13.25,0.0
25678,1,23,0,5,2,M,16,10.0,57,86,302,3,71.0,,15.0,13.5,0.167,8.88,0.25
121019,0,32,0,6,1,F,17,15.0,29,66,178,2,55.0,,35.0,27.5,0.125,27.5,0.25
82627,0,12,0,6,3,M,16,3.0,23,97,553,3,35.0,,13.0,11.67,0.273,11.67,0.6
11731,0,43,1,6,2,M,16,26.0,70,68,146,1,348.0,2.0,56.0,56.0,0.053,43.5,0.111
40381,0,28,1,6,4,F,16,5.0,48,93,318,5,74.0,7.0,10.0,7.5,0.278,8.22,0.25
57996,0,36,4,5,1,F,16,11.0,78,76,173,5,285.0,5.0,12.0,9.0,0.238,8.64,0.2
88766,1,14,1,6,2,M,17,10.0,39,95,715,4,77.0,9.0,15.0,12.0,0.2,11.0,0.182
167934,1,18,0,4,1,F,24,16.0,60,88,423,2,118.0,3.0,21.0,21.0,0.095,10.73,0.1
20721,1,46,1,6,2,F,17,6.0,50,71,238,5,102.0,7.0,11.0,10.0,0.263,8.5,0.364
178345,0,24,0,4,1,U,16,0.0,13,93,658,1,15.0,,15.0,0.0,0.2,15.0,0.0
4062,0,14,0,5,1,M,20,10.0,59,99,778,1,60.0,9.0,15.0,0.0,0.056,12.0,0.0
31702,0,49,0,4,1,F,21,12.0,52,83,291,1,56.0,3.0,15.0,15.0,0.077,9.33,0.2
147305,1,13,0,6,2,M,19,6.0,41,91,618,2,62.0,7.0,16.0,0.0,0.111,12.4,0.0
25459,0,49,0,5,1,F,16,10.0,61,83,256,2,100.0,4.0,20.0,20.0,0.105,14.29,0.111
23495,0,25,1,6,4,F,17,4.0,39,85,366,5,51.0,,5.0,4.0,0.455,3.0,0.667
61745,1,36,0,4,1,M,18,5.0,21,92,315,2,35.0,,20.0,0.0,0.154,17.5,0.0
158850,0,40,0,3,1,M,20,0.0,13,79,529,1,15.0,,15.0,15.0,0.143,15.0,0.333
147636,1,18,1,6,4,M,17,2.0,43,62,420,5,47.0,5.0,5.0,5.0,0.263,4.27,0.222
171920,0,08,0,4,1,F,20,0.0,15,44,197,1,15.0,,15.0,0.0,0.167,15.0,0.0
96630,0, .,1,6,2,M,18,22.0,74,73,206,5,225.0,2.0,25.0,11.0,0.227,9.78,0.182
23130,0,39,0,4,1,F,26,5.0,40,73,265,1,37.0,4.0,15.0,0.0,0.071,12.33,0.0
172288,0, .,5,6,1,M,21,15.0,60,78,454,4,377.0,,20.0,16.67,0.222,12.16,0.3
145646,0,16,0,6,4,F,17,7.0,28,87,492,7,50.0,,10.0,6.4,0.5,6.25,0.625
124209,0,39,0,4,1,M,26,10.0,64,87,292,2,102.0,3.0,15.0,0.0,0.118,10.2,0.0
118862,1,12,0,6,3,M,19,10.0,46,95,554,3,68.0,9.0,14.0,12.0,0.158,8.5,0.375
124847,1,52,0,5,2,F,15,35.0,64,80,197,3,222.0,8.0,40.0,26.0,0.15,20.18,0.1
40748,0,52,0,3,1,F,20,0.0,15,63,213,1,15.0,,15.0,15.0,0.143,15.0,0.333
64581,0,40,0,6,1,M,18,19.0,25,96,213,2,51.0,,25.0,20.0,0.133,17.0,0.125
77349,0,44,1,6,2,F,18,5.0,52,70,340,5,87.0,6.0,10.0,5.33,0.238,7.25,0.273
188594,0,15,0,8,1,M,6,10.0,62,11,400,1,160.0,8.0,25.0,0.0,0.048,20.0,0.0
114492,0,22,0,6,2,F,25,15.0,67,44,253,3,262.0,8.0,25.0,22.5,0.143,17.47,0.2
141891,0,39,12,5,1,U,20,5.0,76,71,325,2,134.0,4.0,10.0,8.5,0.118,5.36,0.286
37321,0,29,0,6,2,M,24,15.0,59,87,309,4,152.0,6.0,20.0,17.67,0.19,12.67,0.273
127320,1,12,0,5,1,F,16,0.0,14,88,375,1,20.0,,20.0,20.0,0.2,20.0,0.5
96907,0,34,12,6,1,F,16,15.0,60,99,398,1,159.0,7.0,20.0,20.0,0.053,12.23,0.111
97015,1,24,0,6,4,F,20,10.0,47,90,551,6,72.0,,13.0,8.5,0.286,6.55,0.4
30861,0,34,0,6,3,M,18,6.0,35,39,252,4,53.0,,11.0,9.0,0.2,7.57,0.2
108976,1, .,5,6,1,M,21,20.0,77,84,794,2,220.0,,25.0,25.0,0.105,13.75,0.1
177479,0,37,0,5,1,U,16,0.0,13,65,224,1,20.0,,20.0,20.0,0.25,20.0,0.5
2464,1, .,1,11,4,M,6,6.0,75,72,195,11,266.0,2.0,11.0,8.0,0.579,7.82,0.545
149717,0,03,0,6,2,M,22,0.0,23,64,557,2,50.0,,25.0,25.0,0.154,25.0,0.167
26021,0,12,0,6,2,M,18,7.0,55,87,488,2,83.0,8.0,17.0,15.0,0.105,13.83,0.125
68344,0,10,0,6,1,F,24,10.0,47,56,200,4,169.0,2.0,20.0,15.0,0.19,14.08,0.273
40605,1,23,0,5,4,F,15,3.0,57,88,212,4,64.0,,6.0,5.5,0.222,4.92,0.286
133648,1,27,0,6,3,F,19,9.0,61,72,293,5,122.0,8.0,14.0,13.0,0.227,9.38,0.273
169924,0,37,0,6,1,M,19,20.0,47,65,169,1,125.0,0.0,45.0,0.0,0.077,31.25,0.0
113728,1,28,0,3,1,M,20,0.0,13,73,244,1,15.0,,15.0,0.0,0.167,15.0,0.0
18067,0,47,0,5,1,F,19,12.0,61,69,288,2,72.0,,15.0,0.0,0.143,8.0,0.0
148877,0,24,1,4,3,M,15,2.0,71,92,613,6,118.0,8.0,7.0,5.5,0.286,5.9,0.4
58463,1,51,0,6,2,M,19,28.0,55,80,176,3,189.0,2.0,33.0,30.5,0.136,21.0,0.182
141493,1,03,1,6,2,F,17,7.0,76,66,449,3,106.0,,10.0,10.0,0.158,5.3,0.125
32485,1,36,0,6,2,F,15,20.0,69,82,293,3,140.0,4.0,25.0,0.0,0.143,11.67,0.0
107938,0,08,0,2,1,U,16,10.0,38,88,307,1,120.0,6.0,15.0,15.0,0.083,9.23,0.2
122465,1,24,0,6,3,F,21,5.0,26,95,906,5,36.0,,10.0,8.0,0.357,7.2,0.429
101170,0,36,1,6,3,M,19,15.0,61,77,209,5,189.0,5.0,20.0,13.33,0.227,12.6,0.273
123287,0,17,1,6,3,F,18,5.0,57,92,597,4,70.0,6.0,10.0,7.0,0.2,7.78,0.111
13348,0,20,1,6,4,M,15,12.0,90,61,425,5,157.0,5.0,15.0,10.0,0.238,9.24,0.2
23353,0,47,1,6,2,F,18,20.0,55,73,244,3,183.0,3.0,25.0,25.0,0.136,14.08,0.091
82698,1,11,0,6,2,F,16,6.0,24,77,473,2,41.0,,16.0,16.0,0.143,13.67,0.167
72359,0,39,0,4,1,F,22,10.0,23,90,358,2,30.0,,20.0,20.0,0.143,15.0,0.167
100691,1,31,1,6,4,M,17,4.0,70,16,196,7,96.0,0.0,6.0,4.5,0.368,4.0,0.364
70165,0,28,0,6,1,M,17,5.0,30,91,381,2,45.0,,25.0,22.5,0.111,22.5,0.25
139563,1,11,1,6,4,M,15,5.0,62,67,541,5,133.0,,9.0,9.0,0.238,7.39,0.273
162796,0,01,0,5,1,M,18,0.0,13,9,340,1,23.0,,23.0,23.0,0.2,23.0,0.5
28001,0,40,0,6,1,M,17,10.0,49,92,306,1,103.0,5.0,15.0,15.0,0.056,10.3,0.125
97931,0,45,1,6,2,M,19,40.0,57,79,258,3,270.0,2.0,50.0,35.0,0.15,27.0,0.1
177281,0,43,1,6,2,F,18,11.0,61,69,150,1,144.0,1.0,13.0,0.0,0.05,9.6,0.0
35906,1,40,0,5,3,F,15,11.0,19,81,284,3,46.0,,21.0,18.0,0.429,15.33,0.667
110248,0,15,0,6,2,U,18,5.0,58,16,264,2,85.0,9.0,15.0,0.0,0.095,10.63,0.0
66257,0,16,0,6,2,F,18,10.0,48,70,359,3,60.0,6.0,15.0,12.0,0.188,10.0,0.286
67745,0,10,0,4,1,F,17,10.0,25,55,117,2,30.0,,20.0,20.0,0.143,15.0,0.167
82596,0,12,0,3,1,F,18,0.0,11,96,352,1,20.0,,20.0,0.0,0.25,20.0,0.0
128779,0,10,13,4,1,F,17,31.98,62,89,231,1,128.02,3.0,35.0,0.0,0.056,16.0,0.0
130977,0,24,1,4,3,F,18,13.0,75,61,489,5,253.0,8.0,16.0,15.25,0.227,9.37,0.364
133314,0,40,1,6,3,F,18,11.0,54,86,468,5,157.0,7.0,16.0,13.0,0.25,11.21,0.273
98443,0,39,6,5,1,M,24,9.0,76,82,326,2,162.0,4.0,14.0,14.0,0.118,9.0,0.125
10189,0,11,0,5,1,F,15,15.0,65,65,486,0,69.0,7.0,18.0,0.0,0.0,9.86,0.0
54347,0,51,0,5,1,F,16,0.0,14,71,175,1,50.0,,50.0,0.0,0.2,50.0,0.0
20008,0,27,0,6,1,F,21,10.0,34,69,270,1,40.0,,20.0,0.0,0.053,13.33,0.0
144671,0,08,1,6,2,F,19,23.0,68,70,360,4,209.0,3.0,33.0,0.0,0.2,19.0,0.0
97063,0,41,0,2,1,F,25,10.0,19,79,323,1,65.0,,20.0,20.0,0.091,16.25,0.2
36774,1,12,0,4,1,M,19,10.0,22,83,435,2,20.0,,15.0,5.0,0.154,10.0,0.2
85637,0,53,0,6,1,F,18,20.0,73,65,114,2,208.0,0.0,25.0,0.0,0.095,13.87,0.0
150711,0,27,1,6,2,M,18,15.0,66,86,482,4,185.0,6.0,25.0,13.33,0.2,15.42,0.3
157961,0,02,1,6,2,M,17,16.0,71,79,583,4,270.0,8.0,21.0,18.33,0.182,15.0,0.273
170813,0,18,0,4,1,M,22,6.0,22,80,333,2,26.0,,16.0,16.0,0.154,13.0,0.167
132750,0,36,0,6,1,M,18,6.0,45,69,238,2,92.0,2.0,16.0,14.0,0.095,13.14,0.091
31662,0,27,0,4,1,M,20,0.0,14,85,349,1,20.0,,20.0,0.0,0.143,20.0,0.0
34068,0,26,0,6,4,M,15,5.0,26,39,297,6,47.0,,10.0,8.0,0.429,6.71,0.429
170446,0,43,4,5,1,M,21,15.0,61,65,182,4,103.0,0.0,17.0,14.5,0.211,9.36,0.2
4300,0, .,0,6,2,M,15,14.0,122,47,244,5,649.0,7.0,18.0,16.0,0.278,10.64,0.375
56379,0,51,1,6,4,M,19,22.0,38,77,163,8,133.0,3.0,25.0,14.0,0.444,12.09,0.556
167640,0,14,0,6,4,M,22,5.0,36,88,562,9,64.0,,7.0,5.29,0.429,4.92,0.636
76900,0,11,0,5,1,F,26,13.0,44,45,184,2,107.0,,20.0,20.0,0.182,13.38,0.333
168672,1,31,0,6,4,F,15,10.0,37,3,77,5,90.0,,15.0,12.5,0.263,10.0,0.222
31017,0,32,0,4,1,F,19,10.0,33,35,162,1,30.0,0.0,15.0,0.0,0.067,10.0,0.0
27767,0,24,7,6,3,M,15,13.0,66,95,618,4,124.0,9.0,16.0,10.0,0.2,8.86,0.111
66296,0,21,1,5,4,F,19,4.0,43,75,370,7,29.0,,5.0,2.4,0.5,2.07,0.714
58290,0,48,5,5,1,M,26,15.0,68,76,214,2,97.0,5.0,20.0,10.0,0.095,8.82,0.1
120467,0,53,0,6,2,F,20,5.0,65,76,145,3,126.0,1.0,10.0,10.0,0.15,8.4,0.111
76936,0,40,0,2,1,F,15,10.0,67,79,393,1,118.0,8.0,15.0,0.0,0.063,9.08,0.0
135804,0,08,0,5,1,M,20,0.0,17,57,270,1,28.0,,28.0,28.0,0.143,28.0,0.333
155855,0,29,0,4,2,F,16,12.0,19,66,215,3,44.0,,22.0,11.0,0.231,14.67,0.286
141489,0,04,5,3,1,F,26,7.0,67,72,410,2,112.0,3.0,10.0,10.0,0.133,6.59,0.125
29777,1,24,0,6,3,F,19,2.0,21,91,380,3,32.0,,12.0,11.0,0.3,10.67,0.4
137842,0,27,5,6,1,F,22,15.0,39,55,348,3,66.0,,20.0,10.0,0.143,9.43,0.2
107408,0,45,1,5,2,M,17,8.0,66,79,217,2,70.0,2.0,10.0,10.0,0.133,4.67,0.333
82466,0,07,0,6,4,F,19,7.0,58,65,319,5,118.0,,10.0,7.33,0.25,6.94,0.3
105923,1,16,1,6,4,F,17,7.0,56,81,322,5,123.0,,9.0,8.0,0.333,5.86,0.571
107257,0,31,0,5,1,F,17,0.0,16,51,247,1,33.0,,33.0,33.0,0.2,33.0,0.5
105445,0,51,0,6,2,M,19,15.0,48,67,155,3,62.0,1.0,20.0,15.0,0.176,10.33,0.286
183725,0,43,0,4,1,F,19,0.0,16,86,261,1,20.0,,20.0,20.0,0.143,20.0,0.333
39374,0,07,0,5,1,F,26,20.0,60,83,306,1,95.0,7.0,30.0,0.0,0.053,19.0,0.0
18327,0,47,0,6,3,F,21,15.0,63,78,281,5,179.0,7.0,25.0,17.33,0.238,13.77,0.273
99711,0,11,0,6,4,M,18,2.0,52,80,449,6,57.0,,7.0,6.67,0.316,5.7,0.333
58239,0,28,1,6,2,M,18,11.0,66,66,211,3,106.0,4.0,15.0,15.0,0.158,8.83,0.1
88797,0,12,0,5,1,F,26,15.0,67,78,454,1,210.0,7.0,35.0,0.0,0.053,26.25,0.0
29418,0,43,0,4,1,F,18,5.0,21,74,264,2,35.0,,20.0,17.5,0.154,17.5,0.333
