CONTROL_NUMBER,DONATED,CLUSTER_CODE,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,FREQUENCY_STATUS_97NK,INCOME_GROUP,RECENT_CARD_RESPONSE_PROP,LIFETIME_CARD_PROM,DONOR_AGE,URBANICITY,LAST_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,MEDIAN_HOME_VALUE,HOME_OWNER,PCT_ATTRIBUTE4,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_COUNT
175902,1,28,0,40,3,1.0,0.2,23,,C,10.0,61,351,82,807,H,54,15.0,4
32441,0,33,0,77,4,4.0,0.444,20,69.0,C,7.0,46,213,96,687,H,86,21.0,6
12394,0,49,1,32,3,2.0,0.364,17,30.0,R,25.0,62,332,87,522,U,30,23.0,5
23634,0,50,0,35,3,3.0,0.286,27,51.0,R,3.0,63,152,70,430,H,44,17.0,4
148931,0,28,0,32,2,,0.091,29,,C,36.0,64,454,87,1953,U,45,18.0,3
52752,0,30,0,36,1,4.0,0.333,9,76.0,C,15.0,21,218,51,528,H,35,24.0,2
97049,1,24,1,28,2,7.0,0.111,31,60.0,C,20.0,72,448,83,816,H,13,19.0,3
48487,1,50,1,21,1,3.0,0.0,27,51.0,R,34.0,68,170,73,364,H,36,26.0,1
135589,0,18,0,22,1,3.0,0.1,31,80.0,S,12.0,75,324,63,669,H,8,18.0,2
90938,1,36,0,34,1,,0.25,20,68.0,T,20.0,53,271,96,785,U,48,24.0,2
137614,0,53,0,39,1,1.0,0.143,11,25.0,R,15.0,31,176,78,376,U,53,19.0,2
180175,1,17,0,26,2,,0.2,31,70.0,S,15.0,71,297,42,938,U,20,24.0,3
157754,0,13,0,29,3,4.0,0.556,30,53.0,S,5.0,67,539,83,2866,U,50,18.0,8
146827,0,19,1,18,3,6.0,0.273,33,67.0,S,15.0,72,417,67,2051,H,25,21.0,5
148189,0,11,0,15,2,5.0,0.2,24,81.0,S,10.0,62,587,77,4481,H,19,22.0,4
60861,0,12,0,37,1,,0.0,28,55.0,S,40.0,70,525,91,1155,U,41,26.0,1
126195,0,15,4,10,1,7.0,0.0,6,47.0,S,20.0,12,291,64,874,H,23,15.0,1
105768,0,16,0,39,1,4.0,0.091,17,34.0,S,32.0,40,343,82,601,U,41,18.0,3
133391,1,44,0,35,3,7.0,0.5,23,60.0,R,10.0,56,331,85,772,U,60,18.0,5
79043,0,16,1,28,2,5.0,0.25,8,52.0,S,15.0,18,292,67,547,H,45,20.0,1
20631,1,40,0,31,2,3.0,0.333,18,42.0,T,15.0,44,311,81,615,H,27,15.0,5
19647,0,17,0,25,2,1.0,0.0,21,85.0,S,15.0,55,289,22,770,H,9,16.0,2
111081,1,29,5,40,3,5.0,0.6,9,69.0,C,7.0,23,211,50,707,U,45,15.0,4
93794,0,24,0,32,2,,0.273,26,7.0,C,14.0,60,383,60,1168,U,50,21.0,4
124980,0,11,29,44,1,5.0,0.25,7,,S,25.0,18,392,50,881,H,22,24.0,1
187639,1,23,0,30,4,,0.5,8,,C,10.0,18,527,73,1327,U,47,21.0,3
29366,0,35,0,31,1,7.0,0.5,6,45.0,T,25.0,14,646,93,1372,H,23,16.0,1
14770,0,34,0,42,1,7.0,0.143,32,83.0,T,10.0,114,649,75,1223,H,32,19.0,2
106965,0,17,0,31,1,7.0,0.2,20,43.0,S,27.0,57,315,62,581,H,45,17.0,1
155330,0,35,0,39,3,,0.364,30,17.0,T,11.0,76,424,94,1916,U,34,19.0,7
36500,0,10,0,7,4,5.0,0.5,10,55.0,U,5.0,24,259,77,792,H,32,17.0,4
141720,1,35,0,44,1,6.0,0.333,9,43.0,T,16.0,22,673,94,1569,H,6,21.0,2
129367,0,17,0,31,1,6.0,0.167,9,41.0,S,15.0,22,322,51,1042,H,14,18.0,2
60943,0,27,0,28,1,,0.0,25,,C,10.0,60,283,90,475,U,28,18.0,2
4522,1,13,0,27,2,,0.25,17,83.0,S,10.0,70,523,87,2356,U,66,16.0,3
137845,1,24,11,59,3,2.0,0.333,17,51.0,C,8.0,43,379,85,676,H,34,18.0,5
82739,1,17,0,41,1,5.0,0.111,14,35.0,S,20.0,32,266,19,604,H,63,18.0,2
112822,0,49,2,40,1,1.0,0.0,22,83.0,R,20.0,58,313,85,569,U,21,18.0,1
71513,0,14,0,45,2,2.0,0.25,33,72.0,S,10.0,72,432,79,532,H,34,15.0,3
70679,0,30,0,37,2,5.0,0.125,14,51.0,C,30.0,38,251,75,312,H,18,26.0,2
190295,0,44,1,22,1,,0.0,14,61.0,R,16.0,25,360,58,953,U,39,18.0,2
22150,1,41,0,35,3,4.0,0.3,31,53.0,T,7.0,63,228,75,639,H,45,16.0,4
28093,0,38,0,30,3,4.0,0.182,16,,T,17.0,37,278,65,779,H,29,17.0,4
87417,0,43,0,30,1,2.0,0.182,23,47.0,R,25.0,64,236,70,619,U,28,27.0,4
41322,0,33,0,43,3,6.0,0.333,10,79.0,C,6.0,27,514,93,1258,H,64,21.0,3
20488,1,36,0,34,2,2.0,0.222,21,55.0,T,10.0,54,198,62,425,U,35,16.0,3
131229,0,30,0,27,1,6.0,0.0,4,61.0,C,25.0,11,212,51,648,U,30,15.0,1
102503,0,13,0,42,1,7.0,0.1,21,59.0,S,30.0,60,333,34,3228,H,41,26.0,2
170317,0,27,0,36,3,5.0,0.667,7,29.0,C,10.0,16,222,68,813,H,40,16.0,3
179697,0,11,0,42,1,7.0,0.3,29,59.0,S,30.0,66,430,67,1764,H,44,24.0,3
31000,0,51,0,33,1,2.0,0.0,6,59.0,R,25.0,12,207,87,365,U,20,15.0,1
23765,0,38,4,31,3,5.0,0.182,28,61.0,T,6.0,62,256,51,589,H,28,20.0,5
49655,0,47,0,20,3,,0.222,20,,R,5.0,48,115,72,335,U,41,19.0,4
114049,0,36,0,43,4,3.0,0.5,10,49.0,T,14.0,24,279,62,417,H,36,15.0,5
4726,0,42,0,36,1,1.0,0.222,41,17.0,R,10.0,130,258,64,921,U,36,19.0,4
110189,0,32,0,24,2,4.0,0.286,10,63.0,C,15.0,23,234,84,386,H,38,22.0,2
62742,0,49,0,31,4,,0.455,29,64.0,R,5.0,68,227,82,418,U,30,17.0,9
13089,1,40,0,26,1,4.0,0.0,21,35.0,T,25.0,84,462,90,782,H,17,26.0,2
10064,1,41,0,25,1,5.0,0.0,14,,T,18.0,41,270,66,694,H,8,,0
140592,0,41,0,23,1,,0.125,26,63.0,T,14.0,64,159,73,255,U,74,16.0,1
158205,0,02,0,25,2,,0.222,14,51.0,U,15.0,34,767,93,3195,U,17,15.0,4
118493,0,48,0,41,4,2.0,0.545,34,79.0,R,25.0,89,171,76,420,U,60,15.0,7
164986,1,14,0,30,3,6.0,0.143,11,68.0,S,14.0,25,658,93,3142,H,22,18.0,4
96469,0,30,0,27,1,4.0,0.111,13,47.0,C,30.0,30,196,62,322,H,26,18.0,3
14638,1,29,0,49,1,,0.0,18,,C,50.0,60,267,89,1128,U,66,25.0,2
160349,0,27,1,45,4,,0.5,10,,C,7.0,24,218,22,1228,U,31,18.0,5
24979,0,22,1,33,2,2.0,0.182,16,25.0,C,20.0,37,620,87,1271,U,31,24.0,3
100430,1,13,0,28,1,,0.273,21,57.0,S,25.0,52,662,72,2083,U,26,16.0,3
149152,1,14,0,19,1,6.0,0.0,5,53.0,S,20.0,11,842,93,4507,H,40,19.0,1
43564,1,28,0,49,1,6.0,0.25,6,52.0,C,20.0,15,373,85,1165,H,40,24.0,1
96093,1,40,0,29,3,5.0,0.5,21,,T,8.0,52,365,86,537,H,45,17.0,5
81616,1,09,0,33,4,4.0,0.429,17,,U,3.0,47,191,55,1429,H,43,16.0,7
4881,1,22,0,20,3,1.0,0.545,17,23.0,C,9.0,57,100,15,599,U,31,16.0,7
153776,1,29,0,37,2,,0.2,9,67.0,C,50.0,21,192,84,1211,U,74,19.0,2
73992,0,28,0,44,3,3.0,0.3,31,84.0,C,5.0,82,248,80,992,H,61,23.0,6
24997,1,39,0,24,1,4.0,0.25,6,50.0,T,20.0,15,282,87,474,H,17,24.0,1
67159,0,21,0,40,1,5.0,0.286,11,45.0,S,24.0,24,231,47,756,U,40,23.0,2
16962,0,40,0,29,4,6.0,0.455,24,51.0,T,10.0,63,369,84,730,H,6,16.0,5
157058,0,14,0,34,4,6.0,0.3,16,51.0,S,10.0,37,1500,97,5939,H,29,18.0,6
28147,0,13,0,36,1,5.0,0.0,18,78.0,S,16.0,53,1148,98,5042,H,52,18.0,2
161142,0,53,0,21,1,2.0,0.143,10,57.0,R,20.0,21,228,73,757,H,38,19.0,2
110789,1,47,0,24,2,4.0,0.0,32,67.0,R,15.0,74,129,64,324,H,41,18.0,3
172235,0,11,1,32,1,,0.091,19,,S,25.0,44,432,68,1751,U,19,29.0,2
2052,0,14,0,33,4,,0.375,17,,S,10.0,44,591,98,1213,U,53,17.0,5
177041,1,46,0,48,2,,0.333,15,,R,15.0,37,259,80,661,U,41,20.0,3
169840,0,27,0,42,2,2.0,0.182,33,84.0,C,19.0,72,238,62,1410,H,42,18.0,4
136745,1,23,0,35,2,,0.125,15,,C,20.0,47,344,46,852,U,58,24.0,3
121003,0,30,0,16,1,,0.125,13,,C,15.0,32,167,53,270,U,9,21.0,2
96727,0,34,0,32,1,3.0,0.0,25,,T,10.0,63,230,74,693,U,34,26.0,1
88405,0,24,1,32,2,5.0,0.3,21,,C,50.0,55,467,85,1091,H,20,22.0,4
99216,0,37,0,35,1,4.0,0.0,26,44.0,T,50.0,64,209,71,384,H,61,30.0,1
180510,1,34,0,41,1,2.0,0.182,30,76.0,T,13.0,77,392,82,1625,U,49,16.0,3
144034,0,10,0,9,1,1.0,0.1,31,41.0,U,25.0,67,230,24,1642,U,39,25.0,2
100324,1,13,0,26,1,5.0,0.333,5,48.0,S,20.0,13,577,97,1783,H,56,23.0,1
127475,0,11,0,25,1,7.0,0.5,6,44.0,S,20.0,14,454,50,1407,H,47,17.0,1
145701,0,08,0,28,1,5.0,0.333,7,,U,25.0,17,394,44,2329,H,25,20.0,1
88735,1,18,0,22,4,2.0,0.455,29,70.0,S,10.0,72,129,41,617,H,38,21.0,8
149336,0,09,0,0,4,,0.364,32,,U,5.0,80,266,14,1845,U,0,18.0,7
131595,0,15,2,25,4,,0.333,18,31.0,S,7.0,43,308,86,653,U,22,21.0,5
181931,1,03,0,47,2,2.0,0.333,25,78.0,U,12.0,62,221,57,430,H,44,20.0,3
160975,1,38,5,30,1,,0.333,9,,T,15.0,24,471,70,1209,U,12,15.0,2
106686,0,42,0,27,3,4.0,0.4,32,7.0,R,10.0,73,192,69,384,U,47,16.0,5
115091,0,41,0,28,2,2.0,0.455,20,53.0,T,25.0,48,187,81,298,H,58,19.0,5
84483,0,30,0,29,3,2.0,0.25,12,67.0,C,34.0,29,283,84,454,U,33,23.0,5
10467,1,35,2,30,3,4.0,0.0,26,74.0,T,10.0,96,541,90,1089,H,20,18.0,4
96175,1,41,0,5,4,1.0,0.364,17,82.0,T,6.0,40,60,2,258,U,19,20.0,10
77260,1,44,0,28,3,4.0,0.111,25,70.0,R,10.0,61,391,77,870,U,33,17.0,5
147462,0,20,0,28,2,4.0,0.143,17,,S,25.0,37,377,79,1639,H,50,23.0,2
72431,0,35,2,29,1,5.0,0.5,5,57.0,T,15.0,13,518,97,767,U,37,19.0,1
86714,1,45,0,29,2,2.0,0.222,31,72.0,R,10.0,73,203,76,318,U,38,18.0,3
118033,0,46,0,29,1,5.0,0.2,8,,R,16.0,25,232,78,457,U,42,17.0,2
80999,0,46,0,40,3,1.0,0.429,11,65.0,R,7.0,24,239,87,645,H,42,18.0,4
142409,1,49,0,25,1,3.0,0.333,24,75.0,R,10.0,60,356,71,607,U,15,17.0,4
12853,1,41,5,42,2,4.0,0.25,32,70.0,T,14.0,126,196,34,614,U,40,15.0,3
127166,1,13,0,23,4,7.0,0.455,34,71.0,S,20.0,84,612,79,1490,H,38,18.0,7
26665,1,41,0,36,1,,0.444,22,,T,25.0,46,268,67,670,U,54,21.0,4
75133,0,35,0,37,4,5.0,0.625,12,65.0,T,10.0,29,494,89,1156,H,20,18.0,5
71551,0,11,0,34,1,7.0,0.0,13,57.0,S,20.0,35,456,77,924,H,12,19.0,2
35465,0,25,1,30,1,6.0,0.333,6,49.0,C,20.0,15,298,44,646,H,20,21.0,1
119746,0,24,2,25,2,3.0,0.0,21,56.0,C,35.0,58,513,90,891,H,5,,0
26408,0,12,1,30,2,5.0,0.25,7,65.0,S,15.0,17,444,85,835,H,26,23.0,1
130936,1,31,0,33,1,2.0,0.273,22,82.0,C,15.0,57,190,52,684,H,45,18.0,4
122348,0,43,0,34,3,4.0,0.0,16,,R,7.0,42,277,88,467,U,34,17.0,3
142163,1,40,0,33,2,4.0,0.125,19,,T,5.0,55,447,92,1270,H,11,20.0,3
154382,0,26,0,29,1,5.0,0.5,6,17.0,C,25.0,14,263,54,1252,H,44,16.0,1
181080,0,40,0,25,4,3.0,0.375,19,41.0,T,5.0,44,354,66,1118,H,22,16.0,5
87758,0,02,0,32,1,5.0,0.333,6,45.0,U,25.0,15,661,98,1571,H,38,23.0,1
168238,0,02,0,43,1,5.0,0.5,5,53.0,U,15.0,14,767,94,4269,H,59,17.0,1
129244,0,17,3,28,1,2.0,0.1,15,36.0,S,20.0,32,322,51,701,H,18,17.0,3
120869,0,01,0,27,1,5.0,0.0,30,70.0,U,150.0,73,758,30,3500,U,26,18.0,1
145786,1,05,0,31,1,5.0,0.125,23,78.0,U,15.0,56,498,91,2126,U,31,24.0,2
99986,0,03,0,40,1,1.0,0.182,29,79.0,U,15.0,69,209,50,1443,U,46,22.0,4
89954,0,14,0,34,1,5.0,0.0,27,82.0,S,20.0,64,632,97,1528,H,40,18.0,1
99685,0,18,1,38,3,6.0,0.556,27,42.0,S,5.0,64,419,83,734,H,22,21.0,6
29760,0,47,0,25,1,,0.0,22,,R,25.0,55,193,66,474,U,38,18.0,1
52159,0,43,0,26,2,,0.333,23,56.0,R,11.0,61,266,87,520,U,19,21.0,4
55442,1,50,0,22,1,3.0,0.125,20,72.0,R,15.0,52,142,81,382,U,37,21.0,1
48650,0,49,2,30,2,,0.0,26,62.0,R,12.0,60,244,79,528,U,33,19.0,2
174039,0,01,0,22,1,2.0,0.286,12,35.0,U,15.0,31,645,74,4356,U,22,23.0,2
68534,1,18,0,32,3,3.0,0.286,20,80.0,S,7.0,49,431,95,651,H,41,15.0,4
116215,0,12,1,43,1,4.0,0.0,9,39.0,S,21.0,23,503,82,839,H,5,19.0,2
173997,1,01,1,39,1,4.0,0.25,16,60.0,U,20.0,38,365,32,3500,H,26,20.0,2
114995,0,45,0,40,3,,0.1,29,,R,25.0,71,167,78,404,U,47,19.0,4
46422,0,41,0,50,1,4.0,0.0,6,65.0,T,25.0,14,171,85,684,H,69,16.0,1
19581,1,18,0,37,1,5.0,0.1,33,60.0,S,25.0,76,427,92,821,H,54,20.0,2
65358,0,18,0,37,2,5.0,0.0,12,51.0,S,15.0,29,515,97,856,H,31,15.0,4
49914,0,35,0,33,1,5.0,0.111,18,,T,15.0,47,627,84,1741,U,33,18.0,2
127579,0,30,0,15,2,4.0,0.333,15,53.0,C,9.0,41,99,57,364,H,43,20.0,2
69885,0,46,0,28,1,3.0,0.4,8,68.0,R,15.0,21,213,83,667,U,49,22.0,2
39569,0,13,0,39,1,7.0,0.167,16,86.0,S,16.0,47,603,91,2300,H,45,24.0,2
186375,1,23,0,39,1,,0.5,6,,C,10.0,21,340,57,1060,U,54,18.0,1
63660,0,45,0,31,3,,0.25,27,,R,3.0,68,257,78,425,U,38,17.0,5
82407,0,44,0,42,1,5.0,0.222,22,60.0,R,15.0,55,376,94,790,H,13,21.0,2
80550,0,44,0,29,2,4.0,0.182,23,57.0,R,10.0,58,349,86,613,H,20,19.0,3
173443,0,10,0,0,2,,0.5,12,,U,15.0,34,0,0,0,U,0,15.0,3
172258,0,07,3,30,4,3.0,0.286,11,37.0,U,5.0,24,318,16,919,U,10,15.0,4
9348,1,35,0,34,2,4.0,0.364,34,83.0,T,14.0,101,378,84,450,H,30,17.0,4
22123,0,37,0,45,1,,0.333,6,,T,15.0,13,114,45,575,U,48,18.0,1
171367,0,46,0,48,1,5.0,0.0,31,69.0,R,10.0,69,352,81,980,H,19,17.0,2
16771,1,35,0,32,3,6.0,0.2,19,77.0,T,5.0,50,709,91,2018,H,9,19.0,3
20779,0,46,0,24,2,,0.143,20,,R,15.0,57,226,77,680,U,32,16.0,3
30468,0,47,0,29,1,6.0,0.182,21,55.0,R,20.0,51,209,81,367,H,30,17.0,4
112943,1,35,2,42,4,6.0,0.636,33,61.0,T,13.0,85,345,74,855,H,40,19.0,9
126500,0,24,0,34,4,1.0,0.571,11,57.0,C,10.0,26,168,52,373,U,34,17.0,8
165934,0,24,4,32,1,6.0,0.143,15,55.0,C,15.0,38,495,61,2148,H,12,16.0,1
135480,0,12,0,26,3,4.0,0.3,30,63.0,S,17.0,81,463,91,939,H,13,16.0,4
160433,0,36,2,40,2,,0.0,13,,T,15.0,40,265,71,1135,U,46,18.0,2
56449,1,43,1,19,4,,0.571,25,,R,5.0,64,381,88,640,U,32,15.0,5
53954,0,53,0,28,1,2.0,0.2,26,84.0,R,10.0,65,195,77,364,U,35,17.0,4
9376,0,24,0,31,3,5.0,0.0,27,47.0,C,5.0,82,547,92,1023,H,15,15.0,2
123669,1,35,0,29,2,,0.182,28,37.0,T,10.0,66,554,77,923,U,26,21.0,4
175298,0,07,0,26,3,4.0,0.444,13,62.0,U,15.0,31,295,66,613,H,27,20.0,4
57604,0,43,1,22,3,2.0,0.3,22,,R,5.0,54,129,60,423,U,34,15.0,4
77465,0,30,0,25,4,5.0,0.444,16,48.0,C,7.0,40,227,48,416,H,42,15.0,6
163903,0,03,0,27,2,5.0,0.364,33,,U,13.0,81,398,55,3428,H,48,20.0,4
173571,1,38,2,29,2,,0.125,13,,T,30.0,34,521,73,2575,U,19,17.0,2
160610,1,46,9,48,1,,0.5,5,,R,15.0,13,368,69,848,U,25,17.0,1
106209,0,41,0,49,4,2.0,0.7,15,68.0,T,6.0,34,199,62,288,U,41,17.0,8
78588,1,05,0,31,4,2.0,0.375,18,37.0,U,5.0,44,278,52,836,H,35,21.0,4
104331,0,25,2,3,1,,0.2,29,75.0,C,17.0,76,127,18,569,U,0,16.0,2
189394,0,50,0,20,1,1.0,0.182,25,77.0,R,10.0,68,323,62,920,U,57,24.0,4
79387,1,36,2,27,3,3.0,0.5,15,74.0,T,7.0,33,295,82,571,H,44,17.0,7
71426,0,30,0,9,1,,0.0,16,39.0,C,20.0,42,102,36,271,U,50,24.0,1
97240,0,41,0,26,3,1.0,0.364,17,57.0,T,25.0,43,237,58,293,H,52,19.0,7
41477,0,21,0,28,4,2.0,0.5,22,81.0,S,6.0,55,509,95,1430,U,29,17.0,4
4501,0,45,1,27,4,,0.273,27,81.0,R,10.0,100,173,70,290,U,55,17.0,6
186472,0,39,0,38,1,3.0,0.0,18,31.0,T,5.0,48,323,92,672,H,10,18.0,1
93876,0,10,0,24,1,2.0,0.5,5,57.0,U,20.0,12,285,58,563,U,39,18.0,1
