CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_RESPONSE_COUNT,RECENCY_STATUS_96NK,LIFETIME_MIN_GIFT_AMT,LIFETIME_GIFT_COUNT,MONTHS_SINCE_LAST_GIFT,LIFETIME_CARD_PROM,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_GIFT_AMT,LIFETIME_PROM,DONOR_AGE,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,URBANICITY,CARD_PROM_12,FILE_AVG_GIFT,LAST_GIFT_AMT,LIFETIME_AVG_GIFT_AMT
58934,1,51,1,F,15.0,1,17,5,15.0,15.0,13,,17,17.0,R,4,15.0,15.0,15.0
36507,0,10,6,A,10.0,13,18,30,20.0,17.17,67,83.0,119,18.0,U,6,14.0,20.0,14.0
111915,0,36,2,A,3.0,32,25,31,12.0,11.5,81,,131,25.0,T,5,8.63,12.0,8.63
62362,0,11,3,S,5.0,6,16,18,20.0,20.0,44,56.0,57,16.0,S,6,13.67,20.0,13.67
83261,0,11,4,S,5.0,5,17,14,15.0,12.25,32,60.0,42,17.0,S,6,10.8,15.0,10.8
71553,0,17,3,A,10.0,6,18,15,20.0,13.33,41,42.0,53,19.0,S,6,13.67,20.0,13.67
52261,0,49,1,F,5.0,2,9,6,20.0,20.0,16,63.0,17,17.0,R,5,12.5,5.0,12.5
20278,0,35,2,A,5.0,9,16,32,30.0,27.5,74,,127,16.0,T,5,14.67,30.0,14.67
143408,0,10,7,S,5.0,9,17,13,15.0,8.57,32,67.0,32,17.0,U,6,8.11,8.0,8.11
148989,0,24,4,A,5.0,9,18,20,14.0,11.75,49,,53,18.0,C,6,10.67,14.0,10.67
22425,1,43,1,A,10.0,11,18,25,20.0,10.0,66,59.0,113,18.0,R,4,13.82,10.0,13.82
59142,0,44,2,A,3.0,9,24,22,15.0,15.0,54,,88,24.0,R,5,8.44,15.0,8.44
159826,1,27,2,A,10.0,21,18,30,20.0,10.0,74,73.0,127,18.0,C,4,10.76,10.0,10.76
82835,0,12,3,A,10.0,4,23,12,20.0,17.0,28,58.0,33,23.0,S,6,15.25,15.0,15.25
70366,0,45,4,A,9.75,4,22,14,15.0,12.05,32,49.0,36,22.0,R,6,12.05,15.0,12.05
82495,0,22,5,A,5.0,7,18,15,25.0,18.0,41,67.0,57,18.0,C,6,15.14,25.0,15.14
162676,1,13,1,N,25.0,1,24,7,25.0,25.0,17,39.0,24,24.0,S,4,25.0,25.0,25.0
175906,0,20,8,S,3.0,24,15,28,6.0,5.0,72,,104,15.0,S,5,4.88,5.0,4.88
63436,1,36,2,A,5.0,3,22,11,15.0,15.0,32,67.0,52,22.0,T,4,11.67,15.0,11.67
122167,1,25,0,A,10.0,5,19,16,20.0,0.0,47,,89,,C,4,12.4,20.0,12.4
184584,1,12,7,S,15.0,13,17,20,25.0,22.43,51,41.0,53,17.0,S,6,21.69,25.0,21.69
46461,1,27,6,A,10.0,6,16,12,15.0,11.33,32,79.0,33,16.0,C,6,11.33,13.0,11.33
78978,0,12,6,S,2.0,10,18,19,10.0,6.33,47,48.0,56,18.0,S,6,5.5,8.0,5.5
107692,0,49,3,A,5.0,12,18,29,16.0,14.67,64,,119,18.0,R,6,10.08,16.0,10.08
35866,0,26,4,A,5.0,6,19,17,19.0,12.25,39,58.0,44,19.0,C,6,10.83,15.0,10.83
165131,0,18,2,A,5.0,7,18,24,20.0,17.5,58,49.0,99,18.0,S,6,14.29,20.0,14.29
20747,0,28,4,A,3.0,7,15,18,10.0,9.0,44,73.0,65,15.0,C,6,7.0,10.0,7.0
125533,0,13,1,F,25.0,1,20,6,25.0,25.0,16,,20,20.0,S,5,25.0,25.0,25.0
167782,0,11,2,A,5.0,4,20,15,15.0,12.5,39,49.0,52,20.0,S,5,10.0,15.0,10.0
83616,0,09,1,A,15.0,2,20,12,20.0,20.0,28,85.0,42,20.0,U,4,17.5,20.0,17.5
41931,0,38,6,S,5.0,10,17,17,12.0,10.17,44,80.0,44,17.0,T,6,9.7,12.0,9.7
34897,0,27,4,A,5.0,8,25,17,15.0,11.25,42,74.0,44,25.0,C,6,9.0,15.0,9.0
158494,0,19,3,A,5.0,4,24,16,20.0,18.33,37,69.0,44,24.0,S,6,15.0,15.0,15.0
77057,1,16,2,A,10.0,3,19,13,15.0,13.5,33,61.0,53,19.0,S,6,12.33,15.0,12.33
14638,1,29,2,A,10.0,5,25,18,50.0,50.0,60,,56,25.0,C,6,33.0,50.0,33.0
121168,0,02,1,F,20.0,1,20,6,20.0,20.0,14,35.0,20,20.0,U,4,20.0,20.0,20.0
20061,0,39,3,L,10.0,8,15,22,50.0,36.33,55,41.0,63,15.0,T,6,26.88,50.0,26.88
171129,0,12,6,S,2.0,39,21,27,10.0,8.5,70,71.0,105,21.0,S,3,5.87,8.0,5.87
134114,0,24,3,N,10.0,3,19,9,15.0,12.33,24,,24,19.0,C,6,12.33,12.0,12.33
30450,1,28,2,A,15.0,5,17,20,50.0,50.0,50,73.0,77,17.0,C,6,31.0,50.0,31.0
76544,0,43,3,A,3.0,10,17,25,13.0,10.33,61,78.0,90,17.0,R,6,8.0,13.0,8.0
29587,1,30,3,S,2.0,14,17,22,10.0,9.33,58,61.0,116,20.0,C,4,5.57,6.0,5.57
19241,0,34,3,S,2.0,14,19,28,10.0,9.33,67,,122,19.0,T,5,5.0,10.0,5.0
78447,1,03,4,S,3.0,15,17,22,7.0,6.0,47,70.0,130,17.0,U,4,5.13,7.0,5.13
87541,1,44,1,A,2.0,8,25,17,15.0,5.0,43,52.0,52,28.0,R,6,5.63,15.0,5.63
46203,1,03,4,A,4.0,5,17,10,10.0,8.75,26,60.0,28,17.0,U,6,7.8,10.0,7.8
50160,0,40,3,A,5.0,4,26,12,50.0,28.33,29,,35,26.0,T,5,22.5,50.0,22.5
95437,0,44,1,F,23.0,1,17,6,23.0,23.0,15,46.0,17,17.0,R,5,23.0,23.0,23.0
125444,1,10,2,A,3.0,21,20,19,12.0,10.0,54,49.0,112,20.0,U,3,7.14,10.0,7.14
61256,0,35,3,A,15.0,3,18,13,35.0,25.0,30,61.0,33,18.0,T,6,25.0,35.0,25.0
44814,0,41,1,A,5.0,5,20,16,16.0,16.0,41,34.0,54,20.0,T,5,10.4,16.0,10.4
153097,0,01,3,A,3.0,12,18,28,18.0,18.0,72,76.0,102,18.0,U,6,14.33,18.0,14.33
182639,0,48,3,N,10.0,3,18,9,20.0,15.0,23,64.0,24,18.0,R,6,15.0,10.0,15.0
13503,0,38,1,F,15.0,2,16,6,18.0,18.0,31,,19,16.0,T,4,16.5,18.0,16.5
129184,1,44,5,A,5.0,6,19,13,20.0,19.0,35,65.0,45,19.0,R,6,16.67,20.0,16.67
178009,1,45,8,S,3.0,27,17,33,6.0,4.88,79,79.0,129,17.0,R,5,4.04,5.0,4.04
91719,0,48,3,A,20.0,3,19,11,25.0,21.67,27,55.0,29,19.0,R,6,21.67,25.0,21.67
166752,0,13,2,A,10.0,2,24,10,18.0,14.0,24,53.0,33,24.0,S,4,14.0,18.0,14.0
75265,0,41,1,A,10.0,18,17,24,15.0,10.0,63,47.0,88,17.0,T,6,12.33,10.0,12.33
144725,0,02,5,S,10.0,10,23,23,45.0,36.2,59,67.0,68,23.0,U,6,27.2,42.0,27.2
18802,1,40,2,A,10.0,6,16,23,20.0,20.0,60,46.0,87,16.0,T,6,14.5,20.0,14.5
190715,0,13,1,N,20.0,1,23,5,20.0,20.0,14,75.0,23,23.0,S,3,20.0,20.0,20.0
23927,0,40,1,A,15.0,4,24,18,25.0,25.0,48,,67,24.0,T,6,20.5,25.0,20.5
119345,0,40,1,N,15.0,1,24,6,15.0,15.0,15,77.0,24,24.0,T,3,15.0,15.0,15.0
177487,0,37,1,F,15.0,1,19,5,15.0,15.0,13,43.0,19,19.0,T,4,15.0,15.0,15.0
7238,1,36,3,A,2.0,13,18,30,15.0,11.67,68,,130,18.0,T,6,5.54,10.0,5.54
117863,0,39,6,S,3.0,18,24,28,20.0,11.0,71,41.0,113,24.0,T,6,7.67,10.0,7.67
13300,1,10,3,A,5.0,14,13,16,10.0,9.33,59,77.0,128,16.0,U,5,6.64,7.0,6.64
74853,0,49,3,S,10.0,13,20,33,50.0,46.67,79,70.0,128,20.0,R,6,31.92,50.0,31.92
105268,0,53,5,A,10.0,10,18,26,25.0,22.2,63,39.0,91,18.0,R,6,18.9,25.0,18.9
59571,0,49,3,A,10.0,3,19,11,25.0,20.0,26,,32,19.0,R,6,20.0,25.0,20.0
93681,1,08,1,A,10.0,6,17,17,16.0,16.0,47,74.0,79,17.0,U,4,12.33,16.0,12.33
170067,0,46,2,A,3.0,6,18,19,15.0,14.0,48,,67,18.0,R,6,9.0,15.0,9.0
143168,1,03,6,A,5.0,9,17,16,5.0,5.0,36,,41,17.0,U,6,5.0,5.0,5.0
130061,0,08,1,A,5.0,4,26,15,15.0,15.0,41,48.0,63,26.0,U,4,9.25,15.0,9.25
94438,0,05,2,A,5.0,9,18,31,16.0,15.0,67,64.0,119,18.0,U,6,11.0,16.0,11.0
66087,1,38,2,A,2.0,15,22,31,15.0,15.0,66,47.0,128,22.0,T,6,7.87,15.0,7.87
164981,0,14,1,F,15.0,1,21,5,15.0,15.0,13,66.0,21,21.0,S,3,15.0,15.0,15.0
151766,1,20,6,A,3.0,12,16,14,5.0,4.0,34,71.0,64,16.0,S,4,4.0,3.0,4.0
155311,0,36,2,A,5.0,4,23,15,15.0,15.0,39,70.0,52,23.0,T,5,11.5,15.0,11.5
188466,0, .,5,S,3.0,21,6,19,7.0,3.8,39,,79,18.0,?,7,4.62,3.0,4.62
118112,0,36,2,A,20.0,2,23,10,20.0,20.0,22,47.0,27,23.0,T,5,20.0,20.0,20.0
44840,0,45,4,A,25.0,7,19,22,100.0,67.5,56,62.0,68,19.0,R,6,56.43,100.0,56.43
39438,1,24,6,A,3.0,7,18,12,5.0,4.17,26,73.0,33,18.0,C,6,4.14,4.0,4.14
104202,0,30,6,S,1.0,18,17,21,6.0,4.33,54,6.0,70,17.0,C,6,3.17,6.0,3.17
63568,0,42,3,A,2.0,7,21,17,15.0,11.67,47,,78,21.0,R,5,7.71,5.0,7.71
130980,0,42,1,F,25.0,1,17,6,25.0,25.0,14,39.0,17,17.0,R,5,25.0,25.0,25.0
4002,0, .,3,A,5.0,16,16,29,12.5,11.67,110,77.0,128,16.0,?,5,9.59,12.5,9.59
155350,0,02,7,A,4.0,8,16,11,7.0,5.86,26,64.0,31,16.0,U,6,5.63,7.0,5.63
61078,0,44,8,S,5.0,15,18,15,10.0,8.75,37,44.0,40,18.0,R,6,7.93,10.0,7.93
15797,0,30,3,S,6.0,30,20,33,35.0,33.33,89,59.0,130,20.0,C,6,24.27,30.0,24.27
151352,0,12,1,F,20.0,1,21,6,20.0,20.0,15,,21,21.0,S,4,20.0,20.0,20.0
169663,0,28,1,F,28.0,1,16,6,28.0,28.0,13,71.0,16,16.0,C,5,28.0,28.0,28.0
153053,1,04,1,A,5.0,4,21,12,16.0,16.0,37,,57,21.0,U,2,9.75,16.0,9.75
190518,0,36,2,A,5.0,9,21,23,15.0,14.0,52,65.0,107,21.0,T,6,9.11,15.0,9.11
57057,0,36,2,A,5.0,2,17,7,25.0,15.0,21,,31,17.0,T,4,15.0,25.0,15.0
39667,1,18,3,A,10.0,7,20,24,16.0,15.0,62,75.0,92,20.0,S,6,13.71,15.0,13.71
46497,0,28,2,A,5.0,10,26,22,18.0,17.0,54,72.0,92,26.0,C,5,10.8,18.0,10.8
122348,0,43,3,S,3.0,7,17,16,10.0,7.33,42,,61,17.0,R,6,5.71,7.0,5.71
168101,0,08,3,A,5.0,7,25,25,26.0,17.0,63,75.0,91,25.0,U,6,16.14,21.0,16.14
64305,0,49,1,F,20.0,1,16,6,20.0,20.0,14,49.0,16,16.0,R,5,20.0,20.0,20.0
44666,0,28,3,A,5.0,4,18,13,20.0,11.67,34,,41,18.0,C,6,10.0,20.0,10.0
96253,0,36,1,A,5.0,9,16,28,25.0,25.0,66,75.0,101,29.0,T,6,16.33,25.0,16.33
128024,0,37,0,S,5.0,13,23,24,25.0,0.0,62,69.0,89,,T,6,11.54,25.0,11.54
161242,0,42,1,A,5.0,20,26,32,16.0,15.0,76,67.0,124,26.0,R,5,12.1,15.0,12.1
160748,0,41,8,S,5.0,25,19,25,25.0,18.5,64,,81,19.0,T,6,11.76,18.0,11.76
112837,0,47,3,A,10.0,3,16,11,15.0,12.33,30,63.0,33,16.0,R,5,12.33,15.0,12.33
106637,0,45,2,A,2.0,17,17,29,27.0,21.0,73,,128,17.0,R,4,14.94,15.0,14.94
73303,0,39,7,A,5.0,11,15,18,13.0,9.0,45,60.0,52,15.0,T,6,8.09,11.0,8.09
85432,0,44,8,A,2.0,11,15,15,15.0,5.88,35,85.0,40,15.0,R,6,5.27,10.0,5.27
128147,0,21,5,A,6.0,6,16,10,10.0,8.0,26,36.0,28,16.0,S,6,8.33,6.0,8.33
10773,0, .,3,S,2.0,21,4,19,10.0,7.0,75,,126,17.0,?,4,6.67,10.0,6.67
37709,0,09,2,A,15.0,2,16,9,15.0,15.0,24,65.0,29,16.0,U,4,15.0,15.0,15.0
101201,1,45,5,S,5.0,27,15,32,10.0,6.8,84,71.0,130,17.0,R,6,6.3,6.0,6.3
86770,0,45,5,A,1.0,19,18,28,20.0,12.0,67,,105,18.0,R,6,7.74,5.0,7.74
111453,1,22,4,A,5.0,4,15,9,11.0,8.75,24,,29,15.0,C,5,8.75,10.0,8.75
147165,0,02,1,A,10.0,24,18,29,30.0,25.0,73,,129,18.0,U,4,18.5,25.0,18.5
62665,0,36,2,A,10.0,5,18,18,18.0,16.5,50,62.0,65,18.0,T,6,13.8,15.0,13.8
106610,1,36,1,A,5.0,8,24,22,15.0,15.0,56,68.0,93,24.0,T,4,10.5,15.0,10.5
167098,0,11,0,A,3.0,8,25,23,40.0,0.0,60,57.0,79,,S,6,14.13,40.0,14.13
141224,0,17,2,A,5.0,6,24,16,20.0,18.5,43,,64,24.0,S,4,12.33,20.0,12.33
37472,1,31,1,F,20.0,1,16,6,20.0,20.0,14,,16,16.0,C,5,20.0,20.0,20.0
34616,0,38,1,A,10.0,5,21,20,18.0,18.0,55,64.0,80,21.0,T,4,14.0,18.0,14.0
49085,0,36,3,A,10.0,3,19,11,20.0,15.33,24,66.0,31,19.0,T,6,15.33,20.0,15.33
51000,0,40,3,A,5.0,3,15,9,20.0,10.67,22,34.0,28,15.0,T,5,10.67,7.0,10.67
15902,0,44,2,A,10.0,2,18,9,20.0,15.0,22,33.0,31,18.0,R,4,15.0,20.0,15.0
120639,0,31,5,A,5.0,10,18,23,25.0,24.8,61,,86,19.0,C,6,19.4,25.0,19.4
130357,0,11,2,A,15.0,2,18,10,20.0,17.5,23,,27,18.0,S,5,17.5,20.0,17.5
89092,0,35,1,A,20.0,5,21,22,32.0,32.0,58,48.0,92,21.0,T,6,25.8,32.0,25.8
14259,0,37,1,N,10.0,4,4,10,20.0,10.0,34,83.0,23,16.0,T,6,15.0,20.0,15.0
52592,1,39,4,A,5.0,11,18,23,12.0,10.75,55,55.0,75,18.0,T,6,9.09,10.0,9.09
49455,1,24,2,A,3.0,10,18,25,20.0,15.0,57,75.0,105,18.0,C,6,6.9,20.0,6.9
90816,1,20,13,S,5.0,35,18,27,27.0,22.69,72,44.0,91,18.0,S,6,17.8,27.0,17.8
83681,0,02,1,N,15.0,1,24,6,15.0,15.0,16,34.0,24,24.0,U,3,15.0,15.0,15.0
83173,0,15,2,A,15.0,3,24,16,40.0,32.5,35,50.0,42,24.0,S,6,26.67,40.0,26.67
187712,0,20,4,E,5.0,12,20,9,20.0,15.0,22,,52,20.0,S,2,10.33,15.0,10.33
88609,0,02,6,S,3.0,16,17,25,10.0,8.0,61,65.0,81,17.0,U,6,7.06,10.0,7.06
137178,0,29,2,A,8.0,2,18,8,16.0,12.0,21,65.0,33,18.0,C,4,12.0,16.0,12.0
42348,0,30,2,A,1.0,24,21,26,10.0,6.5,65,37.0,124,21.0,C,5,2.71,10.0,2.71
29382,0,36,3,N,5.0,3,16,9,10.0,8.33,23,,24,16.0,T,6,8.33,10.0,8.33
7301,1, .,6,S,3.0,34,4,35,13.0,10.33,123,79.0,129,18.0,?,7,9.12,10.0,9.12
162656,1,40,2,A,10.0,5,18,21,25.0,20.0,55,,68,18.0,T,6,17.4,20.0,17.4
148877,0,24,6,S,5.0,20,15,31,7.0,5.5,71,76.0,118,15.0,C,4,5.9,5.0,5.9
171367,0,46,2,A,2.0,17,17,31,11.0,10.0,69,69.0,119,17.0,R,5,6.47,10.0,6.47
144020,0,10,1,A,5.0,3,21,13,15.0,15.0,37,57.0,52,21.0,U,4,10.33,15.0,10.33
65415,0,13,3,N,10.0,3,16,8,16.0,12.67,20,61.0,23,16.0,S,6,12.67,16.0,12.67
103157,0,42,2,A,5.0,4,20,16,15.0,14.0,39,53.0,52,20.0,R,6,11.0,15.0,11.0
62232,1,34,3,A,10.0,5,16,16,20.0,17.0,39,55.0,51,16.0,T,5,14.6,17.0,14.6
73504,1,46,1,A,10.0,7,19,19,20.0,20.0,52,58.0,75,19.0,R,6,13.86,20.0,13.86
2162,0,36,4,A,5.0,13,19,28,15.0,10.5,78,,93,19.0,T,9,9.69,7.0,9.69
171337,0,34,2,A,5.0,3,18,11,15.0,13.0,29,57.0,44,18.0,T,4,10.33,15.0,10.33
55051,0,47,2,A,15.0,2,19,9,17.0,16.0,21,38.0,29,19.0,R,4,16.0,17.0,16.0
92494,0,46,1,F,25.0,1,17,6,25.0,25.0,14,55.0,17,17.0,R,5,25.0,25.0,25.0
81029,0,46,3,S,4.0,14,19,30,10.0,8.33,68,48.0,124,19.0,R,6,6.71,10.0,6.71
90361,0,11,2,A,5.0,5,26,19,25.0,22.5,50,34.0,81,26.0,S,5,16.2,25.0,16.2
59192,0,30,5,A,10.0,5,15,12,25.0,17.8,31,48.0,32,15.0,C,6,17.8,19.0,17.8
170768,0,07,3,A,5.0,4,18,13,15.0,10.0,32,,40,18.0,U,6,8.75,15.0,8.75
25107,1,49,4,S,5.0,17,17,28,10.0,6.0,67,49.0,104,17.0,R,6,5.82,7.0,5.82
35728,1,39,2,A,4.0,9,23,23,24.0,21.0,53,49.0,79,23.0,T,6,11.33,24.0,11.33
7103,0, .,2,A,5.0,11,23,26,15.0,10.0,73,67.0,93,26.0,?,6,12.36,10.0,12.36
69404,0,35,0,A,25.0,3,17,17,50.0,0.0,42,50.0,52,,T,5,41.67,50.0,41.67
117780,0,41,4,A,5.0,40,26,30,17.0,13.0,79,76.0,130,26.0,T,4,11.75,16.0,11.75
64141,0,35,2,A,5.0,8,19,24,50.0,37.5,59,51.0,80,19.0,T,6,18.13,50.0,18.13
52091,0,49,6,A,5.0,9,17,18,5.0,5.0,38,,47,17.0,R,6,5.0,5.0,5.0
100127,0,16,4,A,3.0,11,19,23,15.0,10.0,59,54.0,76,19.0,S,6,9.55,10.0,9.55
186295,0,02,9,S,5.0,25,9,31,15.0,12.56,90,64.0,60,13.0,U,12,11.32,10.0,11.32
25690,0,15,3,A,10.0,33,26,33,50.0,43.0,89,74.0,129,28.0,S,4,32.06,10.0,32.06
3009,1,08,4,A,5.0,16,16,25,15.0,11.5,74,49.0,77,22.0,U,6,9.88,15.0,9.88
154935,0,40,2,A,5.0,3,18,15,25.0,22.5,37,54.0,44,18.0,T,6,16.67,25.0,16.67
22900,1,31,2,A,10.0,6,17,22,31.0,20.5,54,,81,17.0,C,6,21.33,10.0,21.33
75613,0,39,2,L,5.0,4,15,15,15.0,15.0,38,60.0,56,15.0,T,5,11.25,15.0,11.25
91421,0, .,3,A,5.0,4,20,14,15.0,11.67,35,33.0,44,20.0,?,5,10.0,15.0,10.0
21548,0,49,3,S,5.0,10,17,22,13.0,5.67,58,,80,17.0,R,5,8.3,7.0,8.3
171948,0,08,1,A,10.0,6,17,21,34.0,34.0,51,74.0,92,17.0,U,6,25.33,34.0,25.33
42550,0,28,1,F,15.0,1,20,4,15.0,15.0,13,70.0,20,20.0,C,3,15.0,15.0,15.0
169041,0,46,1,N,15.0,1,24,6,15.0,15.0,19,,24,24.0,R,3,15.0,15.0,15.0
99736,1,36,1,A,3.0,21,26,23,17.0,17.0,59,46.0,94,26.0,T,4,5.57,17.0,5.57
101947,0,24,2,A,25.0,2,19,12,50.0,37.5,28,31.0,33,19.0,C,6,37.5,50.0,37.5
148993,0,22,2,A,3.0,8,19,22,17.0,16.0,53,65.0,69,19.0,C,6,10.13,17.0,10.13
34311,0,24,2,A,3.0,13,19,26,14.0,12.0,70,59.0,128,19.0,C,4,7.54,10.0,7.54
120822,0,49,4,A,3.0,16,21,28,9.0,5.75,68,70.0,110,21.0,R,6,5.88,6.0,5.88
10587,0,26,4,S,3.0,27,7,25,14.0,12.0,90,,81,18.0,C,7,9.52,10.0,9.52
32634,0,48,5,A,3.0,26,15,32,10.0,8.0,77,81.0,130,15.0,R,5,5.23,10.0,5.23
64481,0,37,1,A,2.0,6,25,18,20.0,10.0,44,41.0,53,28.0,T,6,7.83,20.0,7.83
81322,1,51,2,S,3.0,18,21,32,17.0,15.0,80,,131,21.0,R,6,10.06,15.0,10.06
107895,1,08,7,S,2.0,42,15,29,5.0,3.57,74,50.0,113,15.0,U,4,3.19,5.0,3.19
127171,1,42,2,A,3.0,6,17,18,15.0,15.0,48,81.0,73,17.0,R,6,9.0,15.0,9.0
111507,0,40,1,A,5.0,14,25,18,50.0,10.0,47,87.0,105,25.0,T,3,17.93,10.0,17.93
163783,0,05,1,F,20.0,1,16,6,20.0,20.0,14,39.0,16,16.0,U,5,20.0,20.0,20.0
6789,1,53,1,A,5.0,20,18,30,50.0,36.0,101,80.0,105,33.0,R,6,26.95,25.0,26.95
140928,1,18,7,S,10.0,18,18,29,35.0,20.29,72,69.0,111,19.0,S,6,20.94,25.0,20.94
17578,0,35,4,A,10.0,4,20,12,10.0,10.0,31,31.0,33,20.0,T,6,10.0,10.0,10.0
37342,1,06,1,E,25.0,1,15,4,25.0,25.0,11,61.0,15,15.0,U,3,25.0,25.0,25.0
15975,0,43,6,A,2.0,16,16,17,5.0,4.67,37,,57,16.0,R,6,3.63,5.0,3.63
121394,0,21,1,F,17.0,1,20,5,17.0,17.0,15,,20,20.0,S,4,17.0,17.0,17.0
135343,0,10,3,A,5.0,4,15,11,12.0,10.67,32,46.0,45,15.0,U,5,9.25,12.0,9.25
48487,1,50,1,A,5.0,13,26,27,34.0,34.0,68,51.0,102,26.0,R,5,10.0,34.0,10.0
31685,0,28,3,A,1.0,30,19,32,12.0,10.67,78,71.0,128,19.0,C,5,3.83,10.0,3.83
81252,0,35,5,S,1.5,24,16,30,16.0,4.4,73,81.0,127,16.0,T,5,4.67,5.0,4.67
69318,0,40,1,A,20.0,5,18,17,50.0,25.0,40,53.0,44,33.0,T,6,28.0,50.0,28.0
22262,0,41,3,A,5.0,3,21,10,20.0,13.67,26,87.0,29,21.0,T,6,13.67,20.0,13.67
131039,0,35,5,A,10.0,5,20,13,12.0,10.6,28,74.0,35,20.0,T,6,10.6,11.0,10.6
187450,0,44,5,E,3.0,5,15,5,8.0,5.6,13,,29,15.0,R,2,5.6,6.0,5.6
103691,0,53,1,A,5.0,9,18,18,20.0,10.0,44,83.0,52,31.0,R,5,10.44,15.0,10.44
53753,1,11,2,A,3.0,13,19,28,50.0,20.0,70,44.0,99,19.0,S,6,15.85,20.0,15.85
157422,0,04,2,A,10.0,3,19,11,15.0,12.5,25,,35,19.0,U,5,11.67,15.0,11.67
63195,0,43,2,A,3.0,2,26,9,15.0,9.0,24,,30,26.0,R,4,9.0,15.0,9.0
69979,0,49,6,S,6.0,8,18,13,12.0,10.5,31,45.0,33,18.0,R,6,9.38,10.0,9.38
