CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_MIN_GIFT_AMT,SES,LIFETIME_PROM,PCT_ATTRIBUTE1,LIFETIME_AVG_GIFT_AMT,NUMBER_PROM_12,RECENT_AVG_CARD_GIFT_AMT,LAST_GIFT_AMT,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,FILE_AVG_GIFT,LIFETIME_CARD_PROM,PCT_ATTRIBUTE4,PER_CAPITA_INCOME,DONOR_GENDER,PEP_STAR,MEDIAN_HOME_VALUE
52861,0,27,3.0,2,40,0,8.63,13,9.43,10.0,S,13,8.63,17,24,9524,F,1,476
154760,0,10,5.0,4,32,0,9.0,9,0.0,17.0,A,1,9.0,12,9,7248,U,0,845
112367,1,36,2.0,2,72,0,5.58,12,7.0,7.0,S,4,5.58,31,46,11682,F,1,516
186343,0,24,5.0,1,77,13,8.92,22,9.6,15.0,S,7,8.92,26,14,12344,M,1,802
157104,0,11,3.0,1,56,0,7.53,8,8.67,10.0,A,3,7.53,24,43,33967,F,1,3737
135284,1,02,20.0,1,26,0,20.0,10,20.0,20.0,A,1,20.0,10,57,20962,F,0,1172
77160,0,49,2.0,2,78,0,3.36,11,3.8,4.0,S,8,3.36,32,31,13011,M,1,522
111065,0,41,5.0,3,61,0,10.88,12,15.5,15.0,A,2,10.88,24,57,12947,F,0,543
15088,0,49,10.0,2,73,0,20.0,14,0.0,25.0,A,2,20.0,33,30,13060,M,0,595
184978,0,22,10.0,1,36,1,14.0,12,18.0,20.0,A,3,14.0,15,20,23051,M,0,1172
66199,1,16,3.0,2,32,0,4.67,16,5.33,6.0,A,7,4.67,12,36,18681,F,1,646
150497,1,14,10.0,1,23,0,17.5,12,0.0,25.0,N,2,17.5,9,27,23333,M,0,3343
73915,1,21,1.0,3,75,0,3.52,10,3.6,3.0,S,8,3.52,31,30,11725,F,1,563
58865,0,49,5.0,2,63,1,13.75,11,0.0,25.0,A,1,13.75,28,31,10472,M,1,421
15700,0,43,5.0,2,61,0,9.58,12,0.0,10.0,A,2,9.58,27,35,11251,F,0,519
20776,0,47,10.0,2,48,1,15.0,10,0.0,20.0,A,1,15.0,17,32,9564,M,0,504
163308,0,01,5.0,1,23,0,7.75,13,7.0,10.0,A,4,7.75,10,10,16656,M,1,4833
144437,0,04,5.0,2,23,1,9.5,12,5.0,14.0,A,4,9.5,10,43,19440,F,0,3608
118344,0,36,3.0,2,71,0,7.86,15,9.5,6.0,A,7,7.86,30,34,9928,F,1,429
70574,0,43,1.25,2,67,0,3.18,12,4.33,5.0,S,4,3.18,27,37,10950,M,1,394
18091,0,22,5.0,1,58,0,15.78,11,20.0,25.0,A,3,15.78,23,30,19130,M,1,810
93671,0,10,10.0,4,34,0,13.33,12,20.0,20.0,A,2,13.33,14,42,5729,F,0,443
169231,1,27,5.0,2,74,3,9.76,14,14.25,10.0,S,4,9.76,28,33,12811,M,1,952
99322,0,35,20.0,1,24,1,23.33,14,20.0,20.0,N,3,23.33,9,17,25507,F,0,1844
121193,0,10,3.0,4,57,0,11.11,13,0.0,15.0,A,3,11.11,24,30,10634,F,0,511
44637,0,40,3.0,2,76,1,20.92,15,25.0,25.0,A,3,20.92,31,41,15513,U,0,744
43409,0,40,3.0,2,50,0,4.75,12,5.0,8.0,A,6,4.75,21,18,12196,F,0,884
72471,0,30,6.0,3,30,5,8.44,13,10.0,6.0,A,6,8.44,12,23,8776,F,1,316
153239,0,03,20.0,1,26,8,20.0,13,20.0,20.0,A,3,20.0,11,26,18135,M,0,2706
171475,0,16,15.0,2,21,0,20.0,11,20.0,15.0,L,2,20.0,10,46,19712,F,0,1185
80910,0,36,2.0,2,59,0,6.94,10,0.0,10.0,A,3,6.94,23,38,11902,F,1,384
89948,0,15,5.0,1,64,0,12.33,12,20.0,20.0,A,1,12.33,24,0,21283,M,1,1573
180617,1,25,2.5,2,81,0,7.48,13,15.0,10.0,S,5,7.48,34,31,13090,M,1,824
92205,0,23,10.0,1,71,0,21.82,12,0.0,20.0,A,1,21.82,33,46,17335,F,0,1490
12621,0,39,3.0,2,92,0,13.15,28,12.0,17.0,A,3,13.15,30,27,9964,M,1,501
114837,0,51,20.0,3,20,1,20.0,12,20.0,20.0,N,2,20.0,9,32,8850,M,0,356
107298,1,18,5.0,2,61,1,38.0,15,75.0,33.0,A,2,38.0,24,19,0,F,0,0
17880,0,32,25.0,3,13,1,25.0,11,0.0,25.0,F,1,25.0,6,31,7914,F,0,396
175935,1,20,15.0,2,13,0,15.0,11,0.0,15.0,F,1,15.0,5,35,9862,F,0,541
107692,0,49,5.0,2,64,0,10.08,13,15.0,16.0,A,3,10.08,29,32,9559,M,1,272
145899,1,17,10.0,2,26,0,14.0,13,20.0,20.0,A,3,14.0,11,42,26286,F,0,1491
41384,1,21,5.0,3,59,0,9.43,13,12.67,13.0,S,5,9.43,23,28,11779,F,1,556
63300,0,27,5.0,2,35,0,15.0,11,0.0,30.0,A,2,15.0,14,50,13259,M,0,456
22324,0,36,5.0,2,84,0,7.26,13,10.0,5.0,S,3,7.26,33,36,13596,F,1,617
108905,1,24,5.0,1,61,4,12.53,13,13.5,20.0,A,6,12.53,24,32,14303,F,1,708
161764,0,41,5.0,3,56,0,14.14,13,23.0,25.0,A,3,14.14,23,0,37190,F,0,4058
133660,0,24,5.0,1,32,0,10.33,12,16.0,16.0,A,1,10.33,11,47,9765,F,0,452
13581,0,43,5.0,2,142,0,23.03,38,30.0,30.0,S,6,23.03,43,19,9765,M,1,578
78447,1,03,3.0,1,47,0,5.13,6,6.0,7.0,S,4,5.13,22,65,15809,F,1,885
42165,1,40,10.0,2,53,0,16.5,13,0.0,19.0,A,3,16.5,20,41,12868,M,0,734
153501,0,05,5.0,2,44,4,11.0,12,15.0,15.0,A,3,11.0,18,53,19023,F,0,2000
135092,0,15,3.0,1,50,0,12.44,10,16.14,18.0,S,11,12.44,18,50,35028,F,1,1659
190863,0,24,6.0,1,25,2,10.5,12,12.0,12.0,A,3,10.5,11,4,16892,M,0,1930
137888,0,46,5.0,2,61,0,12.1,15,17.0,20.0,S,3,12.1,24,0,9402,F,1,674
129653,1,14,15.0,1,15,0,15.0,10,0.0,15.0,F,1,15.0,6,28,20295,M,0,1208
70075,0,16,5.0,2,84,0,11.71,13,17.5,25.0,S,3,11.71,33,99,20399,F,1,525
43537,0,10,5.0,4,71,0,25.0,13,50.0,60.0,S,2,25.0,30,0,0,U,1,0
59626,0,41,3.0,3,66,0,11.0,14,17.33,19.0,A,4,11.0,28,12,11767,F,1,493
81621,0,16,3.0,2,54,0,10.63,13,10.0,25.0,A,3,10.63,23,48,14536,M,0,505
103452,0,53,6.0,3,24,0,7.2,15,6.67,6.0,A,5,7.2,10,36,9549,M,1,317
166508,1,03,10.0,1,34,0,13.67,12,0.0,20.0,A,2,13.67,14,90,25733,M,0,2901
24432,0,30,15.0,3,12,0,15.0,10,0.0,15.0,F,1,15.0,5,0,7011,F,0,234
98248,0,53,5.0,3,70,0,13.82,14,0.0,20.0,S,3,13.82,29,38,11059,F,1,308
24153,0,36,5.0,2,65,1,15.11,15,0.0,20.0,A,1,15.11,27,47,12754,F,0,788
118357,0,42,3.0,1,55,0,9.6,15,11.5,14.0,A,5,9.6,21,59,20691,F,1,883
117514,0,13,5.0,1,34,0,11.33,13,10.5,12.0,A,4,11.33,15,70,10467,F,0,504
168547,0,18,3.0,2,78,0,6.46,11,0.0,12.0,A,1,6.46,29,38,18288,M,1,1375
113106,0,30,10.0,3,16,0,15.0,13,20.0,10.0,N,1,15.0,6,18,14322,F,0,375
22692,0,47,5.0,2,25,0,7.5,13,8.0,6.0,A,3,7.5,10,41,12137,F,1,630
32843,1,30,15.0,3,28,0,15.0,10,0.0,15.0,A,1,15.0,11,10,10785,M,0,546
79906,0,46,5.0,2,44,0,10.33,9,0.0,20.0,A,1,10.33,17,40,11385,M,1,538
146487,0,07,2.0,2,67,2,5.05,11,5.0,5.0,S,3,5.05,24,23,19752,M,1,2131
107085,0,53,2.0,3,72,0,9.35,13,10.0,10.0,S,4,9.35,27,48,9358,M,1,150
97838,0,43,10.0,2,24,0,13.33,12,13.33,10.0,A,3,13.33,11,26,12906,F,0,467
20031,1,40,50.0,2,14,27,50.0,11,50.0,50.0,F,1,50.0,6,6,13810,F,1,754
146014,0,03,15.0,1,14,0,15.0,11,15.0,15.0,F,1,15.0,5,36,20976,U,0,3189
2687,0,22,3.0,1,92,0,6.23,25,6.43,3.0,S,8,6.23,36,0,16553,F,1,629
52619,0,53,10.0,3,33,0,14.5,12,16.0,20.0,A,3,14.5,16,36,7788,M,0,310
128599,1,27,5.0,2,30,0,8.2,12,8.2,10.0,A,5,8.2,13,53,13514,M,1,441
178622,0,35,20.0,1,15,0,20.0,7,20.0,20.0,N,1,20.0,6,37,23124,M,0,2010
118140,0,34,15.0,1,60,0,18.78,13,25.0,25.0,A,2,18.78,24,17,16119,F,1,852
126520,0,52,2.0,3,76,1,6.47,13,10.0,10.0,S,4,6.47,33,52,4302,U,1,232
62152,0,44,5.0,2,76,0,8.25,16,11.0,10.0,S,4,8.25,30,25,15810,M,1,874
115636,0,14,3.0,1,70,0,7.6,11,10.0,10.0,A,2,7.6,25,0,27739,F,1,1147
45551,1,21,10.0,3,22,0,12.5,11,12.5,15.0,A,2,12.5,9,0,0,U,0,0
83173,0,15,15.0,1,35,0,26.67,12,25.0,40.0,A,2,26.67,16,30,26749,F,0,1418
187922,0,29,5.0,2,31,0,11.09,7,15.0,16.0,E,2,11.09,13,91,14309,M,1,531
52461,0,36,5.0,2,58,0,5.0,12,5.0,5.0,S,6,5.0,24,49,10793,M,1,575
117552,1,14,5.0,1,40,0,13.75,12,20.0,20.0,A,1,13.75,18,8,41814,F,0,2650
71613,0,25,4.0,2,71,0,7.3,12,6.0,4.0,A,6,7.3,32,39,16336,M,1,558
136745,1,23,5.0,1,47,0,10.69,8,20.0,20.0,S,3,10.69,15,58,19967,F,1,852
21635,0,51,5.0,3,58,0,9.54,13,12.0,10.0,A,3,9.54,22,31,9289,F,1,432
137191,0,29,5.0,2,43,0,7.13,14,7.67,8.0,A,4,7.13,18,82,19797,M,0,574
2991,0,44,3.0,2,88,1,5.95,31,5.67,5.0,A,5,5.95,33,21,12145,F,1,684
2085,1,27,10.0,2,85,0,19.31,27,20.75,20.0,A,6,19.31,31,10,14762,M,1,852
13574,0,40,0.0,2,93,0,7.55,35,10.0,5.0,A,3,7.55,30,41,17327,M,0,734
144113,0,10,3.0,4,71,0,7.95,13,13.0,14.0,A,4,7.95,29,0,33566,F,1,5000
22924,1,32,3.0,3,72,0,4.94,11,10.0,10.0,E,2,4.94,28,29,8438,F,1,536
123871,1,24,5.0,1,65,0,8.8,12,0.0,15.0,S,2,8.8,27,32,33254,M,1,1324
1245,0,16,5.0,2,96,0,12.69,25,15.0,15.0,A,2,12.69,36,43,13621,F,0,728
130157,0,05,18.0,2,13,0,18.0,11,18.0,18.0,F,1,18.0,5,81,22042,M,0,1177
45327,0,16,15.0,2,13,1,15.0,8,15.0,15.0,F,1,15.0,5,43,15630,M,0,865
122810,0,24,10.0,1,48,0,16.5,13,15.0,15.0,A,2,16.5,18,9,19016,F,0,894
126553,0,24,3.0,1,67,2,7.2,14,0.0,4.0,S,4,7.2,24,28,12905,M,1,683
59167,0,33,15.0,3,13,2,15.0,11,0.0,15.0,F,1,15.0,5,47,12518,U,0,471
35264,0,24,10.0,1,59,0,10.64,12,10.0,10.0,A,4,10.64,26,36,21781,F,0,1085
46657,0,44,5.0,2,60,0,11.3,13,20.0,22.0,A,2,11.3,27,0,17413,M,0,875
113879,0,36,3.0,2,38,0,7.75,11,15.0,15.0,A,1,7.75,13,29,11133,M,0,290
176574,0,49,5.0,2,57,0,17.11,13,20.0,25.0,S,2,17.11,24,39,10058,U,1,552
42548,1,41,3.0,3,68,0,8.77,14,0.0,11.0,A,2,8.77,28,59,6768,F,1,398
69997,1,40,3.0,2,72,0,15.54,13,23.33,30.0,A,5,15.54,29,40,18492,M,0,1072
160938,0,27,15.0,2,13,2,15.0,8,15.0,15.0,F,1,15.0,5,10,15143,M,0,857
72833,0,40,10.0,2,68,0,14.63,13,0.0,21.0,A,2,14.63,30,28,14656,F,0,791
105657,0,46,5.0,2,73,0,11.7,17,15.0,16.0,N,2,11.7,30,37,12863,M,1,393
110404,0,47,5.0,2,39,0,10.5,10,15.0,17.0,A,2,10.5,15,41,9785,F,0,432
31911,1,12,3.0,1,32,15,4.29,15,3.5,5.0,A,5,4.29,13,14,13480,F,1,800
44316,0,29,10.0,2,46,0,24.44,14,30.6,50.0,S,5,24.44,20,82,17366,M,1,1063
53448,1,13,20.0,1,15,0,20.0,7,20.0,20.0,N,1,20.0,6,60,27280,F,0,1318
13617,0, .,20.0,?,105,0,36.71,38,60.0,60.0,L,2,36.71,24,0,13401,M,0,824
185254,0,35,5.0,1,71,0,12.2,23,0.0,20.0,A,1,12.2,23,18,20484,M,0,1249
144111,0,10,10.0,4,35,0,20.0,12,0.0,25.0,L,1,20.0,14,0,33566,M,0,5000
626,0,36,5.0,2,45,0,7.5,16,7.6,10.0,S,6,7.5,17,37,11819,M,1,689
43764,0,26,10.0,2,60,0,14.7,15,14.67,12.0,S,4,14.7,23,63,18554,M,1,912
15042,0,44,5.0,2,62,0,10.25,10,20.0,20.0,A,1,10.25,24,30,13151,F,1,727
110765,0,36,10.0,2,68,0,11.5,13,11.0,11.0,A,4,11.5,29,90,8358,M,1,317
125352,0,17,3.0,2,61,6,11.6,13,0.0,22.0,S,2,11.6,24,24,12987,M,1,537
191487,0, .,5.0,?,71,0,8.47,12,11.0,12.0,S,5,8.47,31,61,9383,F,1,1563
119278,0,12,20.0,1,30,0,22.5,14,20.0,25.0,A,2,22.5,12,43,14056,M,0,1375
93193,0,05,15.0,2,13,0,15.0,11,15.0,15.0,F,1,15.0,5,47,12592,M,0,650
182243,1,16,3.0,2,50,9,8.3,12,10.0,12.0,S,4,8.3,21,32,15179,F,1,876
25290,0,40,5.0,2,66,0,10.31,13,12.0,14.0,A,3,10.31,24,33,16299,F,1,904
145004,0,03,5.0,1,69,0,26.36,13,25.0,25.0,A,2,26.36,27,5,31468,M,1,3293
97552,1,30,8.0,3,20,21,14.0,10,0.0,20.0,A,2,14.0,8,9,8763,F,0,226
169374,0,18,10.0,2,24,0,10.0,12,10.0,10.0,A,4,10.0,10,16,15879,F,1,1621
43862,0,29,2.0,2,82,0,5.63,13,10.0,12.0,S,5,5.63,34,0,14808,F,1,801
54905,0,49,7.0,2,61,1,14.75,12,20.0,19.0,A,2,14.75,28,27,15756,F,0,735
157322,0,13,5.0,1,42,0,12.4,13,16.0,16.0,S,2,12.4,17,61,44728,F,1,5864
160827,0,27,5.0,2,17,0,8.33,12,10.0,10.0,N,2,8.33,8,8,14950,F,0,1429
86723,0,27,3.0,2,48,6,7.0,13,8.0,8.0,S,4,7.0,19,25,11161,F,1,449
168448,0,02,3.0,1,58,1,6.93,9,0.0,11.0,A,1,6.93,22,42,24588,F,1,3396
112253,0,28,3.0,2,56,0,13.17,13,0.0,36.0,A,1,13.17,24,64,14684,F,0,660
49109,1,45,3.0,2,30,1,5.29,12,6.5,5.0,A,4,5.29,13,34,10581,U,0,394
54026,0,45,20.0,2,58,0,27.14,13,20.0,25.0,A,2,27.14,23,42,11209,M,0,378
173272,0,42,20.0,1,14,7,20.0,12,20.0,20.0,F,1,20.0,6,35,14319,F,0,1297
178293,1,11,4.0,1,57,0,8.58,12,11.0,10.0,A,1,8.58,23,34,30096,F,1,1862
76749,0,41,5.0,3,52,2,8.56,12,10.0,10.0,A,4,8.56,21,45,13315,F,0,572
45377,0,05,3.0,2,85,1,13.83,12,15.86,4.0,S,12,13.83,31,29,22090,M,1,1025
92065,0,24,5.0,1,38,0,11.43,13,15.0,15.0,A,5,11.43,16,30,15472,F,0,893
46497,0,28,5.0,2,54,0,10.8,11,0.0,18.0,A,2,10.8,22,57,17542,M,0,830
77413,0,38,3.0,2,45,0,6.38,8,7.75,10.0,A,5,6.38,19,21,14031,F,1,619
143790,1,13,10.0,1,29,0,16.0,14,17.5,15.0,A,5,16.0,11,80,91205,F,1,5907
70992,0,40,10.0,2,26,0,17.5,13,25.0,25.0,A,2,17.5,11,37,13238,M,0,544
97602,0,30,3.0,3,68,0,6.95,9,10.0,10.0,E,2,6.95,29,27,11446,U,1,350
183459,0,51,1.0,3,53,0,6.08,13,7.5,10.0,A,5,6.08,22,29,11290,U,1,463
78274,0,08,5.0,3,38,0,13.75,11,15.0,20.0,L,2,13.75,15,21,8975,F,0,354
51127,0,39,3.0,2,34,0,4.18,12,4.4,5.0,S,8,4.18,15,19,13276,M,1,630
70819,0,49,2.0,2,70,0,6.65,12,9.33,10.0,A,3,6.65,29,23,10900,F,1,485
135589,0,18,5.0,2,75,0,11.45,12,15.0,12.0,A,2,11.45,31,8,12318,U,1,669
49984,0,39,3.0,2,36,35,16.67,13,18.0,20.0,A,6,16.67,15,19,9883,M,0,607
170489,1,35,20.0,1,23,0,20.0,12,0.0,20.0,A,2,20.0,9,18,16285,F,0,2128
33699,0,53,1.0,3,66,0,3.39,11,5.14,4.0,S,9,3.39,33,34,11805,F,1,483
148636,1,07,5.0,2,55,0,11.0,13,15.0,10.0,A,3,11.0,21,41,13896,F,0,2392
38591,1,19,4.0,2,82,0,12.42,12,13.0,13.0,A,2,12.42,29,4,14564,M,1,1040
179626,0,02,15.0,1,13,0,15.0,10,15.0,15.0,F,1,15.0,5,52,29344,F,0,2281
49793,0,47,12.0,2,43,2,30.0,13,40.0,50.0,S,8,30.0,17,51,8846,F,1,390
19280,0,44,5.0,2,21,1,10.0,10,10.0,15.0,A,2,10.0,8,19,12218,F,0,724
99878,0,39,3.0,2,33,0,10.0,13,9.67,17.0,S,4,10.0,14,24,11738,F,1,596
181735,0,37,25.0,2,14,0,25.0,9,25.0,25.0,N,1,25.0,6,60,13316,M,0,706
86478,0,27,15.0,2,16,2,15.0,7,15.0,15.0,N,1,15.0,6,42,10627,F,0,487
16777,1,11,5.0,1,20,0,15.0,10,5.0,25.0,E,2,15.0,7,25,19681,F,0,964
93637,0,16,0.08,2,66,0,8.39,12,10.0,10.0,A,5,8.39,30,42,17887,F,1,1568
186773,1,20,3.0,2,70,0,4.85,12,5.8,8.0,S,5,4.85,26,48,14988,F,1,722
172552,0,51,5.0,3,38,0,10.33,9,0.0,15.0,A,1,10.33,15,40,9771,M,0,735
132179,1,44,5.0,2,55,2,11.22,12,14.0,15.0,A,2,11.22,21,26,10468,F,0,728
683,1,14,3.0,1,131,2,4.75,26,5.29,5.0,N,10,4.75,51,14,26427,F,1,2257
58428,0,51,5.0,3,61,0,11.8,10,0.0,16.0,A,1,11.8,28,29,6916,F,1,369
94660,0,05,5.0,2,43,0,20.0,13,50.0,50.0,A,2,20.0,18,52,13574,F,0,804
70597,0,43,5.0,2,34,1,10.17,13,11.25,14.0,A,5,10.17,14,34,8259,F,1,443
120867,0,10,10.0,4,63,0,15.5,13,0.0,10.0,S,2,15.5,24,40,4314,F,1,458
115901,0,12,5.0,1,73,0,8.42,13,11.4,11.0,S,6,8.42,32,0,17103,F,1,867
89971,0,42,10.0,1,15,0,12.5,7,12.5,15.0,N,2,12.5,7,20,17611,F,0,1305
142848,0,03,13.0,1,26,0,16.5,10,16.5,20.0,A,2,16.5,10,54,46964,F,0,5806
109327,0,27,5.0,2,58,1,7.45,12,10.0,5.0,S,2,7.45,21,9,43133,F,1,1085
13249,0, .,3.0,?,79,0,4.89,24,6.2,7.0,A,7,4.89,29,0,19716,M,1,846
174426,0, .,10.0,?,39,0,12.83,13,11.0,20.0,A,3,12.83,17,0,15347,F,1,839
34925,0,12,6.0,1,44,1,8.8,13,11.33,12.0,A,4,8.8,18,21,18198,M,1,969
52415,0,51,3.0,3,49,0,11.6,10,0.0,15.0,A,2,11.6,18,12,8323,M,0,367
80958,0,44,5.0,2,78,0,15.96,12,0.0,25.0,A,1,15.96,31,39,13019,F,1,528
139062,1, .,5.0,?,58,0,10.31,11,16.0,16.0,S,3,10.31,26,0,9711,F,1,592
188778,1, .,5.0,?,60,0,13.25,14,0.0,20.0,A,3,13.25,25,0,10611,U,0,635
99989,0,10,3.0,4,72,0,7.0,12,10.0,10.0,S,3,7.0,31,38,7060,F,1,301
132349,0,22,5.0,1,30,0,8.9,8,8.6,11.0,S,8,8.9,13,50,21736,F,1,942
160493,0,27,10.0,2,45,0,12.83,13,15.0,16.0,A,2,12.83,17,8,9509,F,1,1313
20346,0,47,50.0,2,17,4,50.0,11,0.0,50.0,F,1,50.0,6,23,8991,F,0,446
36697,0,13,5.0,1,41,0,7.4,9,0.0,15.0,A,1,7.4,15,68,23179,F,0,1316
63375,0,49,5.0,2,27,0,13.33,14,5.0,20.0,A,3,13.33,9,30,12700,F,0,483
184564,0,27,28.0,2,14,5,28.0,11,28.0,28.0,F,1,28.0,6,13,13319,M,0,688
139999,0,27,5.0,2,34,0,11.67,12,20.0,20.0,A,2,11.67,13,16,10809,F,0,808
42337,0,37,5.0,2,23,0,10.0,13,10.0,15.0,N,2,10.0,10,59,14305,U,0,573
84403,0,44,20.0,2,14,1,20.0,8,20.0,20.0,N,1,20.0,5,28,12278,F,0,608
126862,0,35,3.0,1,25,0,11.5,9,0.0,20.0,A,1,11.5,11,20,16805,M,0,882
903,0,25,1.0,2,33,10,4.2,14,5.75,5.0,A,4,4.2,13,10,9075,F,1,528
174494,0,40,5.0,2,56,0,8.78,13,0.0,15.0,A,1,8.78,24,31,15361,F,0,935
44814,0,41,5.0,3,41,0,10.4,11,0.0,16.0,A,1,10.4,16,11,9149,M,0,549
167272,0,03,3.0,1,75,0,8.85,16,10.0,10.0,S,7,8.85,31,31,21007,F,1,3512
3638,1, .,10.0,?,40,0,12.2,26,13.0,14.0,A,3,12.2,12,0,20137,F,0,951
110068,0,36,3.0,2,70,0,11.13,14,15.0,16.0,S,6,11.13,29,47,10835,M,1,380
166850,0,42,5.0,1,46,4,8.9,13,8.33,10.0,A,4,8.9,19,34,22212,U,0,2426
52776,0,30,10.0,3,70,0,17.22,15,25.0,25.0,A,2,17.22,31,6,10487,F,1,544
138966,0, .,15.0,?,13,0,15.0,8,15.0,15.0,F,1,15.0,5,0,13963,M,0,1260
180654,0,36,10.0,2,39,0,22.5,13,24.5,25.0,A,3,22.5,16,24,10944,F,0,572
88662,1,18,3.0,2,77,1,8.77,14,12.33,14.0,S,6,8.77,32,38,15134,M,1,1000
119192,0,39,5.0,2,48,0,5.88,12,8.5,10.0,S,3,5.88,17,17,9253,F,1,411
108506,0,12,10.0,1,24,0,13.0,10,13.0,16.0,A,2,13.0,9,42,14619,F,0,847
190018,0,47,15.0,2,7,2,15.0,4,15.0,15.0,E,1,15.0,4,21,13343,U,0,1250
34002,0,39,2.0,2,63,5,8.23,16,0.0,13.0,A,2,8.23,23,27,14194,M,1,729
153309,0,17,4.0,2,65,0,5.33,13,10.0,10.0,S,3,5.33,27,13,23481,F,1,1922
2020,1,14,3.0,1,106,1,7.35,25,9.0,8.0,S,9,7.35,42,28,34382,F,1,3556
116912,0,02,2.0,1,54,0,5.92,13,7.0,5.0,S,5,5.92,19,28,28498,F,1,968
42291,1,48,5.0,2,76,0,10.53,13,10.0,15.0,A,2,10.53,32,60,14886,M,1,568
44406,1,28,2.0,2,63,0,4.63,13,5.0,10.0,A,5,4.63,27,59,17575,F,1,945
63622,0,39,3.0,2,69,0,4.94,11,0.0,10.0,A,1,4.94,28,30,11821,M,1,517
68563,1,13,20.0,1,22,0,22.5,13,22.5,25.0,N,2,22.5,9,51,50910,F,0,2119
186695,0,22,5.0,1,86,0,13.88,19,26.0,10.0,S,2,13.88,34,21,13401,F,1,1051
