CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_GIFT_AMOUNT,PCT_ATTRIBUTE4,FREQUENCY_STATUS_97NK,INCOME_GROUP,FILE_CARD_GIFT,MEDIAN_HOUSEHOLD_INCOME,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_GIFT,WEALTH_RATING,PCT_OWNER_OCCUPIED,URBANICITY,RECENT_AVG_CARD_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_FIRST_GIFT,LIFETIME_GIFT_RANGE,RECENCY_STATUS_96NK,MOR_HIT_RATE
95938,0,30,20.0,28,2,,1,328,0.25,17,,79,C,15.0,1,20,10.0,N,0
127921,0,24,155.0,22,1,7.0,10,407,0.1,18,7.0,67,C,17.0,1,123,15.0,S,1
171420,0,27,82.0,12,1,,4,498,0.0,19,6.0,91,C,0.0,0,112,14.0,A,0
156884,0,02,35.0,29,1,5.0,3,682,0.286,20,9.0,94,U,12.5,2,44,5.0,A,3
38130,0,09,42.0,56,2,4.0,0,180,0.0,20,,40,U,0.0,0,51,7.0,A,2
63990,1,36,70.0,34,2,3.0,0,244,0.0,19,,74,T,0.0,0,32,5.0,A,0
143592,0,03,130.0,63,2,1.0,3,348,0.111,15,8.0,28,U,30.0,1,53,5.0,A,0
17503,0,23,129.0,50,1,6.0,13,346,0.0,19,8.0,58,C,0.0,0,128,8.0,A,0
191064,1,30,52.0,62,4,3.0,8,130,0.667,15,,51,C,5.0,2,104,8.0,A,0
185593,0,36,120.0,38,1,3.0,2,248,0.286,4,,79,T,27.5,2,29,10.0,A,0
52549,1,48,118.0,26,1,7.0,5,202,0.091,16,3.0,54,R,17.0,1,77,22.0,A,1
119915,0,35,59.0,21,1,7.0,3,399,0.0,19,,86,T,0.0,0,101,10.0,A,4
58228,0,43,139.0,28,4,3.0,9,250,0.364,19,8.0,86,R,7.5,4,88,7.0,A,0
180453,0,24,30.0,15,1,7.0,1,472,0.0,18,8.0,84,C,0.0,0,44,0.0,A,1
109230,0,43,70.0,38,1,3.0,2,254,0.1,18,,78,R,25.0,1,40,5.0,A,0
154297,0,40,45.0,36,2,1.0,2,224,0.5,17,,83,T,22.5,2,21,5.0,N,0
120419,0,45,25.0,38,1,2.0,2,191,0.4,16,,69,R,12.5,2,29,15.0,A,0
60477,1,31,15.0,30,1,3.0,1,289,0.5,16,,52,C,15.0,1,16,0.0,F,8
148699,0,20,67.0,19,4,4.0,3,396,0.2,18,,59,S,6.0,2,44,5.0,A,1
110093,0,32,43.0,51,1,2.0,1,195,0.0,18,3.0,52,C,0.0,0,99,10.0,A,0
111129,0,45,136.0,49,2,5.0,9,251,0.182,18,6.0,81,R,10.5,2,92,8.0,S,0
147936,1,01,82.0,37,3,5.0,5,373,0.286,15,,32,U,7.0,2,105,5.0,A,10
88359,0,13,85.0,38,3,5.0,4,901,0.125,16,9.0,89,S,10.0,1,105,5.0,A,25
38777,0,03,25.0,41,1,6.0,0,365,0.0,16,,60,U,0.0,0,16,0.0,F,2
124904,0,43,38.0,26,1,2.0,2,200,0.143,18,,83,R,12.0,1,41,6.0,A,0
186880,1,53,206.0,44,3,2.0,15,138,0.125,4,1.0,74,R,10.0,1,128,7.0,S,6
94060,0,05,437.0,49,4,,21,387,0.364,17,5.0,91,U,11.25,4,124,9.0,S,0
11164,0,02,88.0,85,2,,2,560,0.0,15,,96,U,0.0,0,76,10.0,A,0
62165,0,49,25.0,31,1,5.0,1,326,0.333,21,,79,R,25.0,1,21,0.0,F,25
107720,0,36,90.0,31,2,4.0,4,209,0.286,16,1.0,60,T,10.0,2,81,15.0,A,9
22100,0,46,32.0,43,3,,2,237,0.286,19,,74,R,8.5,2,32,5.0,A,0
28514,1,14,66.0,24,1,6.0,4,871,0.0,25,,98,S,0.0,0,81,12.0,A,3
2491,0,49,217.0,21,3,,4,308,0.0,4,,76,R,0.0,0,83,20.0,A,0
168666,0,03,40.0,46,4,,8,290,0.778,17,,33,U,4.14,7,38,3.0,S,0
68088,0,08,135.0,29,1,2.0,2,304,0.143,15,9.0,79,U,60.0,1,53,35.0,L,2
127527,1,42,86.0,22,2,4.0,6,228,0.2,16,6.0,51,R,11.0,2,80,10.0,A,7
168244,0,03,51.0,50,4,5.0,3,582,0.5,15,,55,U,8.33,3,29,5.0,A,9
66197,0,13,30.0,34,4,3.0,4,449,0.5,16,,98,S,4.5,4,29,3.0,A,9
182440,0,39,51.0,23,4,,8,210,0.7,15,,0,T,4.29,7,40,3.0,S,0
170825,0,35,90.0,36,2,,3,575,0.143,15,8.0,91,T,20.0,1,76,15.0,A,0
33699,0,53,112.0,34,4,,19,218,0.636,21,2.0,68,R,5.14,7,130,5.0,S,0
149135,0,24,130.0,22,1,7.0,4,865,0.222,16,9.0,92,C,37.5,2,75,15.0,A,0
70969,0,44,105.0,25,1,5.0,12,391,0.25,21,8.0,93,R,10.0,2,113,8.0,A,13
18006,0,27,120.0,21,1,4.0,5,221,0.0,18,4.0,54,C,0.0,0,92,12.0,A,0
85390,1,42,209.0,18,2,6.0,10,388,0.273,20,4.0,95,R,11.0,3,76,12.0,A,2
63912,0,40,92.0,35,4,1.0,7,378,0.667,16,,86,T,8.0,6,40,12.0,S,0
121950,0,17,30.0,19,2,4.0,1,236,0.5,15,,35,S,20.0,1,17,10.0,F,3
15322,0,24,53.0,35,3,3.0,3,398,0.375,19,,80,C,13.33,3,32,15.0,A,0
53151,1,50,20.0,44,1,2.0,0,159,0.0,15,,70,R,0.0,0,15,0.0,F,0
66479,0,21,15.0,33,1,1.0,1,354,0.333,21,,75,S,15.0,1,21,0.0,F,0
146036,0,08,64.0,43,3,2.0,5,234,0.4,20,,27,U,10.5,4,40,2.0,A,7
69822,1,40,31.0,16,2,5.0,1,473,0.0,18,,93,T,0.0,0,41,10.0,A,1
53021,0,49,20.0,36,1,7.0,1,263,0.2,19,,75,R,5.0,1,29,10.0,A,0
186693,0,12,194.0,86,1,6.0,7,453,0.1,8,8.0,98,S,22.0,1,125,20.0,A,2
126819,1,42,57.0,40,2,5.0,3,312,0.333,19,,76,R,13.67,3,43,12.0,S,0
177367,0,27,136.0,33,3,,13,158,0.2,18,,23,C,5.0,1,113,8.0,S,0
156715,0,06,25.0,41,2,,2,409,0.5,16,,85,U,12.5,2,20,5.0,N,0
165048,0,27,126.0,13,1,5.0,3,372,0.2,23,7.0,60,C,37.5,2,50,40.0,A,1
53704,0,18,35.0,15,3,5.0,2,426,0.25,18,,94,S,7.0,2,33,6.0,A,0
86083,0,39,42.0,15,3,4.0,7,191,0.455,22,,73,T,5.8,5,44,7.0,A,8
24390,0,35,74.0,20,2,2.0,5,507,0.429,17,9.0,79,T,17.33,3,89,18.0,A,1
804,0,11,114.0,18,3,5.0,8,471,0.2,21,,60,S,7.0,2,124,4.0,A,8
170643,0,07,30.0,22,1,1.0,1,438,0.0,18,,73,U,0.0,0,44,10.0,A,0
86562,0,41,50.0,46,1,2.0,1,210,0.0,18,6.0,81,T,0.0,0,65,10.0,A,17
138307,1,11,62.0,35,1,7.0,2,401,0.1,26,7.0,62,S,17.0,1,56,13.0,A,2
62336,0,20,165.0,22,1,5.0,6,275,0.091,25,6.0,45,S,25.0,1,86,15.0,A,0
120128,1,45,28.0,89,1,5.0,1,277,0.167,19,,73,R,13.0,1,28,2.0,A,11
171785,0,08,45.0,57,1,,3,293,0.25,18,1.0,66,U,10.0,2,43,5.0,A,0
65405,0,07,170.0,52,4,2.0,12,288,0.364,16,7.0,65,U,13.75,4,92,12.0,S,11
183972,0,11,90.0,45,2,5.0,2,256,0.333,17,,55,S,22.5,2,29,5.0,A,0
110425,1,50,40.0,48,1,4.0,1,95,0.0,25,,59,R,0.0,0,39,15.0,A,0
28641,0,13,22.0,48,3,5.0,1,579,0.25,19,,92,S,10.0,1,21,5.0,N,7
111142,1,36,147.0,27,2,3.0,10,222,0.111,17,5.0,85,T,11.0,1,129,6.0,S,5
56400,0,43,108.0,32,4,3.0,12,192,0.455,21,5.0,78,R,5.0,5,68,8.0,S,0
123157,0,12,196.0,31,1,4.0,9,551,0.1,26,9.0,73,S,15.0,1,126,10.0,A,6
30255,0,27,187.0,33,2,1.0,10,232,0.182,17,3.0,53,C,11.0,2,86,10.0,S,18
59285,1,41,60.0,32,1,,3,225,0.0,19,4.0,79,T,0.0,0,104,10.0,A,0
70195,1,21,43.0,28,4,4.0,3,247,0.333,17,,62,S,6.0,3,40,5.0,A,27
6273,0,17,384.0,25,2,2.0,16,266,0.273,21,3.0,55,S,11.0,3,130,7.5,S,8
98113,0,38,135.0,37,1,2.0,7,272,0.1,26,4.0,71,T,20.0,1,122,15.0,A,0
102037,0,49,105.0,21,1,4.0,3,304,0.0,26,6.0,87,R,0.0,0,74,20.0,A,0
8121,0,19,242.0,19,3,4.0,23,239,0.375,16,6.0,81,S,4.67,3,117,9.0,S,5
125607,0,14,88.0,26,2,5.0,4,591,0.3,18,,90,S,14.33,3,41,8.0,A,16
52990,1,40,90.0,34,1,4.0,11,299,0.4,16,,86,T,8.5,2,130,7.0,A,1
89318,0,18,96.0,32,2,,4,481,0.1,16,7.0,95,S,10.0,1,65,15.0,S,0
117180,0,03,135.0,49,1,7.0,6,913,0.111,17,8.0,57,U,23.0,1,126,22.0,F,5
18700,0,32,147.0,0,1,,7,266,0.111,18,3.0,50,C,12.0,1,130,10.0,A,0
3366,0, .,30.0,0,1,4.0,1,965,0.5,5,,96,?,15.0,1,16,15.0,F,0
79641,1,14,159.0,19,2,,9,672,0.1,18,9.0,95,S,10.0,1,128,46.0,S,0
95546,0,21,40.0,37,2,2.0,1,225,0.2,16,,51,S,20.0,1,25,0.0,N,1
185504,0,18,191.0,11,1,5.0,3,185,0.091,12,4.0,52,S,15.0,1,69,45.0,A,0
39201,0,17,25.0,35,1,3.0,1,364,0.333,21,,65,S,25.0,1,21,0.0,F,0
10420,0,14,162.0,36,1,7.0,3,312,0.1,16,9.0,58,S,20.0,1,78,15.0,A,13
25290,0,40,165.0,33,2,2.0,5,543,0.125,18,8.0,91,T,12.0,1,93,9.0,A,1
94779,0,15,106.0,41,2,1.0,8,347,0.125,16,5.0,26,S,10.0,1,113,10.0,A,5
161499,0,11,100.0,33,1,5.0,1,390,0.091,18,6.0,53,S,30.0,1,44,15.0,A,0
190460,0,33,87.0,63,4,,18,158,0.75,15,,90,C,5.0,3,108,4.5,E,0
82843,1,17,71.0,32,3,,6,302,0.125,15,,67,S,7.0,1,76,3.0,A,0
58566,1,40,37.0,41,2,2.0,1,309,0.167,15,,81,T,12.0,1,32,15.0,A,2
40105,1,21,135.0,26,2,4.0,1,228,0.0,17,4.0,45,S,0.0,0,68,20.0,A,0
94882,0,17,42.0,31,4,2.0,3,338,0.375,16,,50,S,5.33,3,38,5.0,A,0
9793,0,03,106.0,49,3,1.0,2,319,0.111,19,,50,U,20.0,1,41,7.0,A,2
154122,0,39,36.0,38,3,5.0,2,334,0.333,19,,65,T,8.5,2,28,8.0,A,0
11870,0, .,155.0,0,1,2.0,1,517,0.0,26,,93,?,0.0,0,41,145.0,A,0
17268,0,50,140.0,42,2,5.0,10,165,0.1,24,1.0,76,R,10.0,1,130,7.0,S,3
34114,0,27,74.0,33,3,5.0,3,327,0.286,16,,78,C,18.5,2,41,17.0,A,1
120408,0, .,70.0,0,2,3.0,1,259,0.125,19,,53,?,10.0,1,35,15.0,A,0
81170,0,44,109.0,19,2,3.0,1,205,0.1,25,5.0,73,R,12.0,1,56,15.0,A,19
8084,0,36,151.0,49,1,1.0,9,250,0.143,15,6.0,68,T,10.0,1,105,11.0,E,0
104215,0,31,15.0,0,1,6.0,0,0,0.0,20,,0,C,0.0,0,20,0.0,F,0
20061,0,39,215.0,4,1,6.0,2,257,0.091,15,6.0,73,T,32.0,1,63,40.0,L,0
134285,0,06,59.0,18,1,4.0,6,96,0.333,16,,19,U,10.33,3,53,10.0,A,6
149775,0,03,26.0,14,1,5.0,1,414,0.167,20,,59,U,10.0,1,29,6.0,A,0
33769,0,48,64.0,44,3,,2,389,0.222,17,,83,R,9.0,2,56,5.0,A,0
137888,0,46,121.0,0,2,5.0,9,164,0.273,20,7.0,38,R,17.0,3,76,15.0,S,0
133486,0,39,105.0,20,3,5.0,11,265,0.273,19,6.0,68,T,7.33,3,120,5.0,S,0
27525,0,35,40.0,33,1,6.0,2,637,0.167,20,9.0,98,T,18.0,1,44,8.0,A,1
57119,1,36,116.0,39,1,2.0,9,247,0.0,25,5.0,67,T,0.0,0,126,18.0,A,23
122295,0,10,61.0,0,1,,3,0,0.1,21,,0,U,20.0,1,57,15.0,A,0
122384,0,43,15.0,28,1,7.0,1,245,0.5,16,,84,R,15.0,1,16,0.0,F,0
55755,0,23,76.0,60,4,5.0,4,429,0.444,17,,89,C,9.75,4,35,11.0,A,1
39348,0,03,210.0,43,2,4.0,2,379,0.0,15,7.0,64,U,0.0,0,112,25.0,A,3
95525,1,46,75.0,39,1,3.0,1,304,0.0,18,6.0,58,R,0.0,0,44,25.0,A,0
60563,0,23,107.0,50,1,6.0,10,413,0.0,18,8.0,64,C,0.0,0,126,12.0,A,1
186830,0,08,188.0,24,1,2.0,3,335,0.0,7,5.0,85,U,0.0,0,76,23.0,A,20
36734,0,21,40.0,20,1,7.0,1,336,0.2,22,,76,S,20.0,1,32,0.0,A,9
171276,0,35,40.0,30,1,7.0,1,545,0.167,15,,92,T,20.0,1,28,0.0,L,0
52040,0,36,146.0,38,3,1.0,6,251,0.273,18,4.0,88,T,15.0,3,54,10.0,S,0
53078,1,35,95.0,35,1,5.0,3,567,0.2,24,9.0,96,T,20.0,2,44,15.0,A,2
146940,1,03,68.0,44,1,7.0,7,518,0.25,21,9.0,39,U,14.0,2,113,12.0,A,0
138925,0,53,32.0,62,3,1.0,1,174,0.2,16,,77,R,10.0,1,32,5.0,A,0
126953,0,53,15.0,77,1,1.0,0,121,0.0,19,,89,R,0.0,0,19,0.0,F,4
47095,0,40,118.0,30,1,4.0,8,363,0.125,18,8.0,90,T,25.0,1,124,22.0,A,6
166578,0,20,117.0,14,1,5.0,7,338,0.25,23,4.0,58,S,13.0,2,123,10.0,A,0
114721,1,26,35.0,24,1,,2,472,0.167,18,6.0,96,C,15.0,1,45,5.0,A,0
148931,0,28,329.0,45,2,,6,454,0.091,18,7.0,87,C,31.0,1,92,16.0,S,0
86917,0,30,74.0,26,1,2.0,4,139,0.0,26,,57,C,0.0,0,103,13.0,A,3
150036,0,17,490.5,18,4,4.0,21,342,0.545,15,4.0,42,S,15.0,6,130,23.5,S,2
21966,1,46,148.0,38,3,3.0,14,285,0.5,19,5.0,84,R,6.0,5,101,7.0,S,0
141665,0,24,15.0,59,1,5.0,1,410,0.5,17,,72,C,15.0,1,17,0.0,F,0
84610,1,24,68.5,13,4,,16,477,0.6,17,8.0,97,C,4.17,6,125,5.0,S,0
