CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_CARD_RESPONSE_COUNT,RECENT_RESPONSE_PROP,MONTHS_SINCE_FIRST_GIFT,LIFETIME_CARD_PROM,IN_HOUSE,HOME_OWNER,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,PCT_ATTRIBUTE4,LIFETIME_GIFT_COUNT,RECENT_AVG_CARD_GIFT_AMT,LIFETIME_GIFT_RANGE,PUBLISHED_PHONE,LIFETIME_AVG_GIFT_AMT,PEP_STAR,LIFETIME_MAX_GIFT_AMT,LIFETIME_GIFT_AMOUNT
149848,0,12,0,0.154,51,13,0,H,513,2,10,3,0.0,15.0,0,10.67,0,20.0,32.0
79288,0,40,2,0.118,123,31,0,H,508,2,14,14,11.0,9.0,1,8.43,1,12.0,118.0
68916,0,11,3,0.182,129,33,0,H,654,4,41,25,23.33,45.0,1,10.04,1,50.0,251.0
40576,0,14,1,0.059,96,22,0,H,649,1,30,7,25.0,15.0,0,16.57,0,25.0,116.0
58725,1,45,1,0.133,76,14,0,H,142,2,25,4,5.0,20.0,1,15.0,0,25.0,60.0
115192,0,53,3,0.136,105,26,0,U,170,3,35,11,13.33,17.0,0,9.55,1,20.0,105.0
132277,0,27,2,0.143,33,9,0,H,234,2,59,2,12.5,15.0,1,12.5,0,20.0,25.0
139999,0,27,1,0.111,41,13,0,U,290,2,16,3,20.0,15.0,0,11.67,0,20.0,35.0
16813,1,24,2,0.444,24,8,0,U,440,4,36,5,6.0,3.0,0,6.6,1,8.0,33.0
68560,0,24,1,0.167,16,6,0,H,1351,1,42,1,15.0,0.0,1,15.0,0,15.0,15.0
104004,1,53,3,0.15,102,30,0,H,192,3,50,12,10.0,8.0,1,6.83,1,11.0,82.0
155449,0,10,0,0.0,65,15,0,H,245,0,49,5,0.0,20.0,0,15.8,0,25.0,79.0
107235,1,13,3,0.143,81,23,0,H,639,3,45,14,10.0,9.0,1,7.21,1,12.0,101.0
137577,1,12,3,0.231,29,8,0,U,505,3,0,5,6.67,5.0,0,7.2,1,10.0,36.0
167265,0,03,1,0.067,99,23,0,H,676,1,59,5,30.0,25.0,0,17.4,0,30.0,87.0
143581,0,01,1,0.053,40,13,0,H,307,1,27,4,20.0,15.0,0,11.75,0,20.0,47.0
157153,1,29,3,0.238,74,24,0,H,286,5,99,12,27.0,25.0,1,19.83,0,30.0,238.0
152318,0,18,2,0.25,101,20,0,H,470,2,28,7,20.5,20.0,1,12.71,0,25.0,89.0
92447,0,12,1,0.143,40,15,0,H,483,3,23,5,11.0,10.0,1,10.6,0,15.0,53.0
117227,0,21,2,0.211,129,33,0,U,487,4,33,25,7.0,8.0,0,5.68,1,10.0,142.0
156695,0, .,2,0.095,41,15,0,H,497,2,0,4,15.0,15.0,1,13.75,0,20.0,55.0
84708,1,39,1,0.143,29,11,0,H,327,2,36,2,10.0,14.0,0,17.0,0,24.0,34.0
89341,0,12,1,0.167,30,9,0,H,481,2,6,2,10.0,10.0,0,15.0,0,20.0,30.0
37904,0,23,1,0.118,32,10,0,H,564,2,61,2,20.0,10.0,1,15.0,0,20.0,30.0
141194,0,17,1,0.143,21,6,0,U,554,1,25,1,20.0,0.0,1,20.0,0,20.0,20.0
115732,0,14,3,0.182,78,24,0,H,760,4,10,13,15.0,15.0,0,10.0,1,17.0,130.0
40396,0,40,1,0.19,128,31,0,H,410,4,47,20,6.0,7.0,1,5.2,1,10.0,104.0
149199,1,02,1,0.2,41,14,0,U,481,4,41,6,10.0,5.0,1,7.67,1,10.0,46.0
151362,0,19,7,0.364,53,19,0,H,430,8,53,15,10.29,11.0,0,9.73,1,16.0,146.0
28001,0,40,1,0.056,64,19,0,H,306,1,59,10,15.0,10.0,1,10.3,0,15.0,103.0
6443,1,37,1,0.053,93,18,1,H,252,1,61,13,25.0,20.0,1,14.69,0,25.0,191.0
21885,1,40,0,0.091,119,31,0,H,401,2,23,18,0.0,23.0,1,27.28,1,38.0,491.0
130585,0,15,0,0.045,88,26,0,H,426,1,67,7,0.0,20.0,0,22.14,0,30.0,155.0
116420,1,14,1,0.15,53,16,0,U,807,3,14,6,10.0,14.0,1,9.33,0,17.0,56.0
116063,1,27,2,0.111,56,16,0,H,339,2,35,5,16.5,15.0,1,10.0,0,20.0,50.0
130745,0,11,3,0.462,53,13,0,H,361,6,19,7,5.67,2.0,1,5.57,0,7.0,39.0
129519,0,20,0,0.063,73,13,0,H,302,1,22,3,0.0,10.0,0,13.33,0,20.0,40.0
58934,1,51,1,0.2,17,5,0,U,169,1,47,1,15.0,0.0,0,15.0,0,15.0,15.0
166276,0,09,3,0.25,75,13,0,U,164,4,45,11,10.0,5.0,0,9.55,0,10.0,105.0
113106,0,30,1,0.2,17,6,0,H,171,1,18,2,20.0,10.0,0,15.0,0,20.0,30.0
98518,0,42,5,0.263,69,21,0,H,445,5,16,10,15.0,12.0,1,12.3,0,15.0,123.0
141834,1,44,2,0.333,28,10,0,H,330,4,38,4,7.5,7.0,0,9.5,1,12.0,38.0
107692,0,49,1,0.143,119,29,0,U,217,3,32,12,15.0,11.0,1,10.08,1,16.0,121.0
189705,0,29,1,0.375,41,7,0,U,320,3,74,5,15.0,10.0,0,9.4,0,15.0,47.0
115204,0,51,0,0.118,104,26,0,U,164,2,39,9,0.0,20.0,0,13.44,1,25.0,121.0
137253,0,29,2,0.105,127,31,0,U,239,2,77,13,13.0,12.0,0,8.46,1,16.0,110.0
7995,0,25,1,0.136,88,28,1,H,127,3,30,29,20.0,15.0,1,12.41,1,20.0,360.0
84940,0,53,3,0.19,77,24,0,U,215,4,41,14,19.67,18.0,1,14.14,1,23.0,198.0
62824,0,51,1,0.2,16,5,0,H,236,1,47,2,18.0,12.0,1,12.0,0,18.0,24.0
83079,0,14,1,0.2,16,6,0,H,353,1,11,1,20.0,0.0,1,20.0,0,20.0,20.0
77723,0,11,0,0.0,18,4,0,U,500,0,38,1,0.0,0.0,0,15.0,0,15.0,15.0
15411,0,36,2,0.211,126,26,0,H,277,4,23,12,6.0,9.0,1,5.0,1,11.0,60.0
188863,0,38,1,0.111,91,23,0,U,255,2,44,9,16.0,11.0,1,12.33,0,16.0,111.0
37402,0,03,0,0.1,127,27,0,U,325,2,21,11,0.0,13.0,0,8.55,1,16.0,94.0
83668,0,01,0,0.105,81,21,0,H,310,2,32,10,0.0,30.0,1,15.1,0,35.0,151.0
14693,0,10,1,0.105,36,12,1,H,121,2,48,3,15.0,35.0,1,23.33,0,35.0,70.0
163139,0,06,0,0.105,68,18,0,H,401,2,46,6,0.0,10.0,0,11.17,0,15.0,67.0
26225,0,11,2,0.158,40,14,0,H,603,3,26,4,10.0,10.0,1,8.5,1,15.0,34.0
141140,0,08,6,0.368,113,30,0,U,216,7,46,23,7.67,7.0,0,6.17,1,10.0,142.0
106318,0,53,3,0.211,57,16,0,U,172,4,60,7,11.67,9.0,1,9.14,1,14.0,64.0
108166,0,39,6,0.5,44,14,0,H,360,9,13,13,3.83,3.0,1,3.62,1,5.0,47.0
122348,0,43,0,0.2,61,16,0,U,277,3,34,7,0.0,7.0,1,5.71,1,10.0,40.0
33442,0,38,2,0.15,113,26,0,U,302,3,20,15,22.5,25.0,0,7.33,0,25.0,110.0
18878,0,39,3,0.182,119,32,0,U,315,4,22,29,7.0,6.0,0,5.07,1,8.0,147.0
59744,1,36,3,0.2,53,15,0,U,284,4,37,7,10.67,9.0,0,9.0,1,12.0,63.0
184075,0,31,1,0.105,76,22,0,H,178,2,46,5,25.0,15.0,1,18.2,0,25.0,91.0
91134,0,26,1,0.5,15,5,0,U,169,2,47,2,20.0,15.0,0,12.5,0,20.0,25.0
169600,0,27,1,0.143,20,6,0,H,263,1,38,1,20.0,0.0,1,20.0,0,20.0,20.0
75228,0,16,2,0.222,106,24,0,H,328,4,26,8,13.0,11.0,1,11.13,1,16.0,89.0
108705,0,40,1,0.118,93,22,0,H,330,2,52,6,20.0,15.0,1,15.17,0,20.0,91.0
43492,1,18,1,0.133,109,23,0,U,240,2,56,12,11.0,11.0,0,7.0,1,13.0,84.0
121264,0,21,5,0.364,52,19,0,U,255,8,41,12,18.6,25.0,0,17.75,1,30.0,213.0
190477,1,42,0,0.045,128,33,1,U,298,1,44,15,0.0,22.0,0,14.67,1,25.0,220.0
45047,0,10,1,0.1,86,24,0,U,226,2,45,13,15.0,15.0,1,14.31,1,20.0,186.0
74186,0, .,3,0.2,126,32,0,U,191,4,0,33,13.67,18.0,0,13.0,1,21.0,429.0
22779,1,36,4,0.235,127,30,0,H,189,4,46,15,20.0,20.0,1,12.53,1,25.0,188.0
1794,0, .,4,0.238,89,41,0,U,244,5,31,19,11.25,15.0,1,11.26,1,20.0,214.0
124042,1,37,2,0.143,95,25,0,H,202,3,64,15,10.5,8.0,0,6.67,1,11.0,100.0
21264,0,51,1,0.143,27,10,0,U,271,2,13,2,15.0,5.0,0,17.5,0,20.0,35.0
8152,0,30,0,0.091,45,17,0,H,253,2,42,10,0.0,20.0,1,14.6,0,20.0,146.0
173994,1,01,1,0.182,24,9,0,U,365,2,26,2,25.0,25.0,1,37.5,0,50.0,75.0
123266,0,16,0,0.182,52,10,0,H,370,2,39,3,0.0,10.0,0,9.0,0,15.0,27.0
172500,0,46,1,0.143,29,11,0,H,221,2,57,2,23.0,15.0,1,30.5,0,38.0,61.0
60934,0,24,2,0.2,33,11,0,H,353,3,38,3,5.0,15.0,1,10.0,1,20.0,30.0
69745,0,44,0,0.067,125,25,0,H,445,1,22,14,0.0,12.0,1,9.93,1,15.0,139.0
154067,1, .,2,0.167,125,29,0,U,381,3,0,12,10.0,13.0,0,8.42,1,16.0,101.0
98225,0,41,1,0.2,17,5,0,H,232,1,47,1,15.0,0.0,1,15.0,0,15.0,15.0
40748,0,52,1,0.143,20,5,0,H,213,1,39,1,15.0,0.0,1,15.0,0,15.0,15.0
8736,0,46,2,0.167,130,27,1,U,260,3,55,22,10.0,9.93,0,6.05,1,10.0,133.07
52116,1,36,3,0.182,112,41,0,H,236,4,34,26,9.67,13.0,1,9.27,1,16.0,241.0
137072,0,40,2,0.133,29,12,0,H,372,2,14,3,17.5,15.0,0,15.0,0,25.0,45.0
142672,0,10,2,0.263,45,17,0,U,240,5,40,9,12.0,11.0,0,10.89,1,16.0,98.0
160433,0,36,0,0.154,113,13,0,U,265,2,46,13,0.0,10.0,0,7.92,1,15.0,103.0
59015,0,39,0,0.167,123,26,0,H,290,3,24,13,0.0,5.0,1,6.31,1,10.0,82.0
56428,0,27,3,0.5,126,19,0,U,504,6,2,27,5.0,3.0,1,4.19,1,6.0,113.0
131404,0,18,0,0.118,103,17,0,H,363,2,5,6,0.0,5.0,1,12.17,0,15.0,73.0
185437,0,21,1,0.1,24,6,0,U,233,1,75,5,15.0,10.0,1,7.0,0,15.0,35.0
70820,0,49,6,0.444,121,33,0,H,301,8,23,32,5.33,4.0,1,4.23,1,7.0,135.5
115430,0,43,0,0.143,113,21,0,U,299,1,35,17,0.0,9.0,1,3.53,1,10.0,60.0
4592,0,13,1,0.105,95,30,1,U,493,2,68,14,45.0,90.0,1,26.93,0,100.0,377.0
52371,0,39,0,0.15,65,18,0,H,312,3,25,6,0.0,15.0,0,12.83,0,20.0,77.0
133495,0,40,1,0.053,53,16,0,H,365,1,39,5,20.0,15.0,1,9.0,1,20.0,45.0
125775,0,38,0,0.154,28,9,0,U,228,2,2,2,0.0,6.0,1,13.0,0,16.0,26.0
38838,0,09,2,0.25,32,11,0,H,476,4,21,4,10.0,10.0,0,9.25,0,15.0,37.0
154122,0,39,2,0.231,28,10,0,H,334,3,38,4,8.5,8.0,0,9.0,1,13.0,36.0
88002,0,34,1,0.143,57,18,0,H,481,3,43,6,15.0,10.0,0,11.67,0,15.0,70.0
98260,0,51,2,0.158,123,31,0,U,235,3,35,12,12.0,12.0,0,7.83,1,15.0,94.0
115334,0,41,1,0.19,42,15,0,U,224,4,0,6,15.0,11.0,1,12.5,0,16.0,75.0
38243,0,20,0,0.053,56,17,0,U,232,1,26,5,0.0,20.0,1,16.0,0,25.0,80.0
137197,0,29,1,0.111,57,15,0,U,182,2,79,4,25.0,25.0,0,20.0,0,30.0,80.0
164024,0, .,0,0.133,30,10,0,H,452,2,0,3,0.0,5.0,0,12.33,0,15.0,37.0
120795,0,24,1,0.154,29,9,0,H,441,2,7,2,13.0,2.0,1,14.0,0,15.0,28.0
112564,1,43,0,0.111,129,27,0,U,307,2,33,18,0.0,7.0,0,6.0,1,10.0,108.0
98821,1,36,2,0.182,44,17,0,U,185,4,47,9,9.5,4.0,1,9.0,0,11.0,81.0
180037,0,18,2,0.136,105,25,0,H,393,3,28,9,14.0,5.0,0,12.44,0,15.0,112.0
121598,0,22,2,0.211,45,16,0,U,350,4,14,6,16.0,15.0,1,15.33,1,25.0,92.0
123528,0,49,1,0.1,81,20,0,H,275,2,25,6,25.0,20.0,0,15.17,0,25.0,91.0
13432,0,37,3,0.3,89,24,1,U,262,6,76,13,5.33,11.0,0,7.31,0,13.0,95.0
127707,0,49,1,0.2,16,6,0,H,260,1,25,1,20.0,0.0,0,20.0,0,20.0,20.0
43769,0,29,3,0.2,103,28,0,H,273,4,67,17,10.0,9.0,1,7.59,1,12.0,129.0
142638,0,10,0,0.25,16,6,0,U,113,1,42,1,0.0,0.0,0,20.0,0,20.0,20.0
171642,0,35,1,0.091,65,21,0,H,471,2,24,5,25.0,25.0,1,21.0,0,30.0,105.0
148852,0,24,1,0.364,31,8,0,H,551,4,5,4,5.0,7.0,0,5.75,0,10.0,23.0
127963,0,31,1,0.143,20,5,0,U,185,1,0,1,15.0,0.0,0,15.0,0,15.0,15.0
169992,1,40,5,0.263,130,30,0,H,395,5,42,23,12.8,11.0,0,8.57,1,14.0,197.0
163591,1,03,0,0.091,79,26,0,U,427,2,30,7,0.0,25.0,0,23.14,1,35.0,162.0
83094,1,39,0,0.133,77,18,0,U,246,2,21,5,0.0,8.0,1,13.6,0,18.0,68.0
79774,0,37,4,0.429,32,11,0,H,246,6,44,6,14.25,17.0,1,11.67,1,20.0,70.0
28373,0,22,1,0.091,74,20,0,H,210,2,53,6,22.0,21.0,0,16.17,0,26.0,97.0
108506,0,12,2,0.154,29,9,0,H,355,2,42,2,13.0,6.0,1,13.0,0,16.0,26.0
84961,0,40,5,0.286,130,26,0,H,464,6,17,28,4.2,5.0,1,4.04,1,7.0,113.0
20188,0,47,3,0.176,81,23,0,U,194,3,23,31,5.0,4.0,0,3.9,1,6.0,121.0
159003,0,13,0,0.071,56,16,0,U,437,1,32,3,0.0,90.0,0,42.0,0,100.0,126.0
66578,0,16,3,0.5,32,8,0,H,388,5,42,5,8.33,7.0,1,9.6,0,12.0,48.0
109548,0,43,1,0.091,45,16,0,H,272,2,33,5,15.0,15.0,1,12.4,1,20.0,62.0
188121,0,49,2,0.15,51,20,1,U,376,3,32,8,20.0,15.0,1,17.5,0,25.0,140.0
180873,0,27,0,0.105,48,15,0,H,406,2,33,4,0.0,15.0,0,9.75,0,20.0,39.0
172839,0,27,1,0.056,53,19,0,U,338,1,26,5,16.0,6.0,0,11.6,0,16.0,58.0
144676,1,08,4,0.238,126,31,0,H,317,5,17,49,7.25,18.0,1,7.57,1,21.0,371.0
82981,0,18,1,0.143,21,6,0,H,381,1,21,1,20.0,0.0,1,20.0,0,20.0,20.0
52990,1,40,2,0.154,130,24,0,H,299,2,34,18,8.5,7.0,1,5.0,1,10.0,90.0
23388,0,40,1,0.125,122,27,0,H,280,2,27,7,20.0,20.0,0,14.29,0,25.0,100.0
162159,0,02,1,0.176,116,19,0,H,468,3,30,14,15.0,10.0,1,11.57,1,15.0,162.0
96448,1,35,1,0.364,122,17,0,U,393,4,45,11,10.0,5.0,1,6.91,0,10.0,76.0
43781,1,26,2,0.273,77,15,0,H,198,3,86,8,8.0,8.0,0,6.13,1,11.0,49.0
158058,1,08,1,0.053,127,28,0,U,430,1,20,18,5.0,5.0,0,7.61,1,10.0,137.0
151768,0,20,3,0.19,75,23,0,H,479,4,63,19,9.0,9.0,0,5.89,1,12.0,112.0
111419,0,36,1,0.105,131,28,0,U,189,2,38,22,10.0,12.0,1,7.23,1,15.0,159.0
21176,0,25,2,0.154,29,9,0,H,158,2,51,2,15.0,10.0,1,15.0,0,20.0,30.0
125310,0,12,0,0.05,53,18,0,H,468,1,37,4,0.0,10.0,1,32.5,0,35.0,130.0
103965,0,43,6,0.438,129,28,0,U,190,7,37,23,2.33,4.0,0,2.13,1,5.0,49.0
19459,0,24,1,0.143,28,10,0,H,577,2,31,3,15.0,12.0,1,9.33,0,15.0,28.0
141266,0,31,2,0.111,56,16,0,U,362,2,38,4,14.5,15.0,0,10.25,0,20.0,41.0
44441,0,45,1,0.19,67,23,0,H,218,4,46,14,15.0,11.0,0,10.5,1,16.0,147.0
73853,0,13,1,0.188,56,16,0,H,405,3,69,4,15.0,7.0,1,19.25,0,22.0,77.0
133285,1,45,1,0.2,16,6,0,U,205,1,42,1,25.0,0.0,0,25.0,0,25.0,25.0
189188,0,27,2,0.6,24,5,0,U,247,3,23,4,8.0,2.0,1,8.5,0,10.0,34.0
29366,0,35,1,0.2,16,6,0,H,646,1,23,1,25.0,0.0,1,25.0,0,25.0,25.0
160997,1,44,2,0.188,40,12,0,U,369,3,25,4,7.5,7.0,0,5.75,0,10.0,23.0
31685,0,28,1,0.143,128,32,0,H,273,3,68,30,10.0,11.0,1,3.83,1,12.0,115.0
59584,0,37,1,0.2,130,19,0,U,326,2,39,15,5.0,2.0,1,5.2,1,7.0,78.0
89421,0,19,1,0.091,24,6,0,H,366,1,24,1,15.0,0.0,0,15.0,0,15.0,15.0
71342,0,40,1,0.2,16,5,0,H,338,1,53,1,15.0,0.0,1,15.0,0,15.0,15.0
131753,0,18,6,0.4,53,19,0,U,539,8,8,21,7.5,12.0,0,6.9,1,15.0,145.0
188913,1,18,6,0.45,129,45,1,U,371,9,20,46,17.0,20.0,1,13.74,1,25.0,632.0
173831,0,39,1,0.2,17,5,0,H,366,1,46,1,15.0,0.0,0,15.0,0,15.0,15.0
36216,0,26,2,0.313,32,12,0,H,310,5,45,5,9.5,15.0,1,12.8,0,20.0,64.0
71312,1,44,5,0.421,110,31,0,H,350,8,12,25,3.4,3.0,1,3.08,1,5.0,77.0
102767,0,51,1,0.2,37,14,0,U,166,4,36,5,7.0,15.0,0,8.6,0,18.0,43.0
17152,0,50,1,0.222,105,18,0,H,207,2,29,19,10.0,17.0,0,9.16,1,20.0,174.0
34087,0,27,1,0.095,68,21,0,H,215,2,35,8,15.0,10.0,1,12.25,0,15.0,98.0
64346,0,27,0,0.167,20,6,0,H,273,1,31,1,0.0,0.0,1,25.0,0,25.0,25.0
836,0,13,0,0.111,64,18,0,H,703,2,63,6,0.0,16.0,1,24.67,0,31.0,148.0
96778,0,22,0,0.056,81,17,0,H,397,1,12,5,0.0,12.0,1,6.6,0,15.0,33.0
189923,0, .,2,0.4,24,9,0,U,190,4,0,6,5.0,7.0,0,5.83,0,11.0,35.0
59225,1,49,3,0.238,126,31,0,U,314,5,33,16,7.67,7.0,0,5.69,1,10.0,91.0
54554,0,21,1,0.045,44,17,0,H,323,1,34,5,25.0,5.0,0,23.0,0,25.0,115.0
125522,1,09,5,0.316,131,32,0,U,218,6,69,41,7.8,7.0,0,5.56,1,9.0,228.0
56169,1,40,1,0.1,24,6,0,H,190,1,46,1,20.0,0.0,1,20.0,0,20.0,20.0
113564,0,25,2,0.133,113,26,0,H,332,2,52,13,15.5,11.0,0,9.92,1,16.0,129.0
105455,0,53,0,0.167,75,19,0,U,190,3,50,7,0.0,12.0,1,11.0,0,17.0,77.0
51467,1,30,3,0.313,30,13,0,U,162,5,48,5,7.33,9.0,1,8.6,1,14.0,43.0
8585,0,04,0,0.0,53,14,0,U,168,0,37,12,0.0,13.0,1,10.42,0,18.0,125.0
150060,1,03,1,0.045,77,25,0,U,357,1,61,12,25.0,15.0,0,17.92,1,25.0,215.0
18543,1,36,4,0.238,87,23,0,U,243,5,53,11,11.5,11.0,1,9.09,1,14.0,100.0
29589,1,21,1,0.238,65,22,0,U,282,5,29,18,8.0,9.0,0,8.17,1,12.0,147.0
168189,1,02,3,0.308,27,10,0,H,637,4,14,4,7.33,5.0,0,8.0,1,10.0,32.0
68716,0,18,0,0.053,56,18,0,U,423,1,13,4,0.0,6.0,0,14.0,1,16.0,56.0
159623,1,27,1,0.063,72,15,0,U,217,1,27,5,16.0,11.0,0,9.8,0,16.0,49.0
176153,0,18,1,0.2,16,5,0,U,360,1,43,1,15.0,0.0,0,15.0,0,15.0,15.0
48135,1,24,3,0.318,52,20,0,H,275,7,54,15,7.33,7.0,1,6.87,1,10.0,103.0
148141,1,24,4,0.3,76,23,0,U,661,6,23,11,12.25,3.0,1,11.0,1,13.0,121.0
63185,0,51,1,0.238,65,20,0,U,276,5,24,16,3.0,7.0,0,3.81,1,10.0,61.0
45423,0,28,2,0.231,25,10,0,U,222,3,35,3,10.0,0.0,0,10.0,0,10.0,30.0
161969,0,11,3,0.263,106,31,0,H,535,5,47,12,15.67,18.0,1,13.58,1,25.0,163.0
24659,0,40,7,0.5,63,21,0,H,327,10,28,16,9.86,8.0,0,8.44,1,11.0,135.0
25043,0,51,0,0.105,65,17,0,U,236,2,33,5,0.0,10.0,0,12.0,0,20.0,60.0
13188,1,51,2,0.095,93,27,0,U,236,2,0,11,87.5,80.0,0,47.18,1,100.0,519.0
181080,0,40,3,0.333,68,19,0,H,354,5,22,8,4.33,7.0,0,5.13,0,9.0,41.0
186795,0, .,0,0.2,103,15,1,U,258,3,0,29,0.0,13.0,0,8.41,1,16.0,244.0
70696,1,27,1,0.158,126,28,0,H,356,3,27,12,12.0,9.0,1,6.75,1,12.0,81.0
176361,0,18,1,0.1,79,23,0,H,408,2,11,6,26.0,21.0,0,18.83,0,26.0,113.0
12350,0,35,1,0.136,89,27,0,H,425,3,0,8,100.0,80.0,1,55.63,0,100.0,445.0
119368,1,22,0,0.071,74,19,0,U,291,1,11,6,0.0,9.0,1,11.5,0,15.0,69.0
124984,0,18,2,0.308,29,10,0,U,208,4,18,5,7.5,6.0,0,7.0,1,10.0,35.0
43549,0,10,0,0.059,56,15,0,U,0,1,0,4,0.0,5.0,0,11.75,0,15.0,47.0
126838,0,36,4,0.2,121,33,0,U,247,4,36,17,8.75,12.0,0,8.94,1,15.0,152.0
136635,0,35,0,0.053,41,13,0,H,700,1,8,2,0.0,2.0,1,16.0,0,17.0,32.0
121590,1,02,2,0.2,100,21,0,U,524,3,0,19,15.0,15.0,1,10.74,1,20.0,204.0
93532,0,10,0,0.5,15,4,0,H,240,1,22,1,0.0,0.0,0,20.0,0,20.0,20.0
177752,0,34,3,0.333,29,10,0,H,520,4,23,4,12.67,22.0,1,12.0,1,25.0,48.0
174039,0,01,2,0.125,44,12,0,U,645,2,22,3,13.5,5.0,0,12.33,0,15.0,37.0
126809,0,49,1,0.375,31,12,0,H,266,6,9,7,25.0,19.0,0,12.29,1,25.0,86.0
106530,0,49,0,0.053,104,27,0,U,257,1,34,14,0.0,12.0,0,12.0,1,17.0,168.0
58954,0,51,1,0.238,130,32,0,U,185,5,34,29,5.0,6.0,1,5.03,1,8.0,146.0
5537,0, .,3,0.182,128,35,1,U,300,4,0,37,11.0,13.0,0,6.27,1,15.0,232.0
105412,0,45,2,0.143,126,31,0,U,201,3,44,19,17.0,24.0,0,12.0,1,25.0,228.0
27387,1,40,3,0.136,68,21,0,H,511,3,27,8,14.0,15.0,1,12.63,0,20.0,101.0
143714,0,10,3,0.231,29,10,0,H,93,3,32,4,10.0,0.0,0,10.0,1,10.0,40.0
30623,0,41,1,0.167,19,6,0,U,256,1,0,1,20.0,0.0,0,20.0,0,20.0,20.0
114995,0,45,1,0.19,110,29,0,U,167,4,47,20,5.0,23.0,0,7.5,1,25.0,150.0
61586,1,38,0,0.118,81,19,0,H,247,2,37,8,0.0,5.0,1,12.63,1,15.0,101.0
5592,0,14,0,0.045,106,31,1,H,555,1,15,12,0.0,95.0,1,50.42,0,100.0,605.0
144970,0,03,3,0.286,29,11,0,U,443,4,11,4,10.67,2.0,0,11.0,0,12.0,44.0
109099,1,40,4,0.294,41,14,0,H,313,5,22,7,7.75,7.0,1,6.43,1,10.0,45.0
